player,nation,position,age,nineties,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribble_challenges,dribble_tackle_pct,dribbled_past,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors,fbref_comp_id,season
Mauro Zárate,ARG,,32.0,5.4,6.0,4.0,1.0,4.0,1.0,2.0,3.0,66.7,1.0,3.0,0.0,3.0,2.0,8.0,1.0,0.0,21.0,2019
Ramón Ábila,ARG,,29.0,5.2,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,21.0,2019
Emmanuel Más,ARG,,30.0,4.9,10.0,4.0,5.0,5.0,0.0,5.0,9.0,55.6,4.0,6.0,2.0,4.0,7.0,17.0,9.0,0.0,21.0,2019
Paolo Goltz,ARG,,34.0,4.0,6.0,3.0,5.0,1.0,0.0,3.0,5.0,60.0,2.0,3.0,3.0,0.0,8.0,14.0,30.0,0.0,21.0,2019
Daniele De Rossi,ITA,,36.0,3.8,3.0,3.0,1.0,2.0,0.0,1.0,4.0,25.0,3.0,5.0,3.0,2.0,10.0,13.0,9.0,0.0,21.0,2019
Marcos Guillermo Díaz,ARG,,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2019
Marcelo Weigandt,ARG,,19.0,3.0,7.0,6.0,1.0,5.0,1.0,2.0,4.0,50.0,2.0,5.0,3.0,2.0,2.0,9.0,3.0,0.0,21.0,2019
Carlos Zambrano,PER,,30.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0,2019
Gastón Ávila,ARG,,17.0,0.1,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,21.0,2019
Carlos Izquierdoz,ARG,,31.0,19.7,24.0,20.0,22.0,2.0,0.0,11.0,17.0,64.7,6.0,14.0,11.0,3.0,44.0,52.0,40.0,0.0,,2020
Esteban Andrada,ARG,,29.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,,2020
Nicolás Capaldo,ARG,,22.0,17.3,20.0,29.0,6.0,14.0,0.0,7.0,20.0,35.0,13.0,9.0,1.0,8.0,24.0,26.0,9.0,0.0,,2020
Sebastián Villa,COL,,23.0,15.1,6.0,12.0,2.0,3.0,1.0,4.0,13.0,30.8,9.0,8.0,0.0,8.0,10.0,11.0,1.0,0.0,,2020
Jorman Campuzano,COL,,23.0,14.8,29.0,29.0,11.0,18.0,0.0,13.0,23.0,56.5,10.0,14.0,6.0,8.0,20.0,40.0,14.0,0.0,,2020
Julio Buffarini,ARG,,31.0,14.4,10.0,22.0,5.0,5.0,0.0,3.0,8.0,37.5,5.0,2.0,0.0,2.0,26.0,20.0,8.0,0.0,,2020
Carlos Tevez,ARG,,35.0,14.3,8.0,7.0,2.0,6.0,0.0,6.0,10.0,60.0,4.0,5.0,0.0,5.0,5.0,12.0,0.0,0.0,,2020
Leonardo Jara,ARG,,28.0,14.1,25.0,28.0,10.0,12.0,3.0,13.0,22.0,59.1,9.0,14.0,1.0,13.0,18.0,38.0,13.0,0.0,,2020
Eduardo Salvio,ARG,,29.0,13.7,10.0,12.0,2.0,6.0,2.0,6.0,11.0,54.5,5.0,10.0,0.0,10.0,15.0,21.0,2.0,0.0,,2020
Carlos Zambrano,PER,,30.0,13.1,5.0,13.0,4.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,26.0,11.0,18.0,0.0,,2020
Frank Fabra,COL,,28.0,12.7,11.0,13.0,7.0,4.0,0.0,5.0,15.0,33.3,10.0,4.0,2.0,2.0,30.0,30.0,12.0,0.0,,2020
Edwin Cardona,COL,,27.0,12.6,4.0,10.0,1.0,3.0,0.0,1.0,2.0,50.0,1.0,4.0,2.0,2.0,17.0,10.0,2.0,0.0,,2020
Emmanuel Más,ARG,,31.0,11.6,6.0,12.0,5.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,23.0,13.0,9.0,0.0,,2020
Lisandro López,ARG,,30.0,11.3,14.0,15.0,9.0,5.0,0.0,7.0,10.0,70.0,3.0,6.0,3.0,3.0,11.0,19.0,28.0,0.0,,2020
Franco Soldano,ARG,,25.0,10.1,5.0,5.0,0.0,5.0,0.0,1.0,10.0,10.0,9.0,7.0,0.0,7.0,4.0,8.0,3.0,0.0,,2020
Ramón Ábila,ARG,,30.0,9.2,1.0,4.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,2020
Mauro Zárate,ARG,,32.0,7.8,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020
Agustín Rossi,ARG,,24.0,6.0,,0.0,,,,,,,,,,,0.0,0.0,,,,2020
Guillermo Matías Fernández,ARG,,28.0,5.4,11.0,6.0,4.0,6.0,1.0,0.0,10.0,0.0,10.0,5.0,1.0,4.0,9.0,19.0,5.0,0.0,,2020
Agustín Obando,ARG,,19.0,5.2,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,3.0,3.0,3.0,3.0,0.0,,2020
,nan,,,,,,,,,,,,,,,,,,,,,2020
Diego González,ARG,,31.0,4.7,4.0,4.0,2.0,1.0,1.0,4.0,5.0,80.0,1.0,6.0,0.0,6.0,2.0,5.0,0.0,0.0,,2020
Gastón Ávila,ARG,,18.0,4.0,,3.0,,,,,,,,,,,1.0,0.0,,,,2020
Gonzalo Maroni,ARG,,20.0,3.5,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,,2020
Alan Varela,ARG,,18.0,3.2,,6.0,,,,,,,,,,,6.0,0.0,,,,2020
Exequiel Zeballos,ARG,,17.0,2.7,,2.0,,,,,,,,,,,1.0,0.0,,,,2020
Júnior Alonso,PAR,,26.0,1.3,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,0.0,,2020
Emanuel Reynoso,ARG,,24.0,1.2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,,2020
Iván Marcone,ARG,,29.0,1.1,7.0,2.0,3.0,3.0,1.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,0.0,,2020
Walter Bou,ARG,,26.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0,,2020
Luis Vázquez,ARG,,19.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,2020
Carlos Izquierdoz,ARG,,32.0,40.3,65.0,42.0,46.0,19.0,0.0,27.0,49.0,55.1,22.0,34.0,17.0,17.0,90.0,155.0,127.0,1.0,,2021
Agustín Rossi,ARG,,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,,2021
Frank Fabra,COL,,29.0,32.4,63.0,40.0,39.0,17.0,7.0,29.0,53.0,54.7,24.0,25.0,7.0,18.0,46.0,109.0,31.0,0.0,,2021
Sebastián Villa,COL,,24.0,24.9,16.0,9.0,4.0,7.0,5.0,7.0,21.0,33.3,14.0,13.0,0.0,13.0,13.0,29.0,4.0,0.0,,2021
Jorman Campuzano,COL,,24.0,23.4,68.0,41.0,22.0,41.0,5.0,23.0,61.0,37.7,38.0,33.0,4.0,29.0,55.0,123.0,25.0,1.0,,2021
Cristian Medina,ARG,,18.0,23.0,55.0,30.0,13.0,35.0,7.0,17.0,45.0,37.8,28.0,28.0,4.0,24.0,18.0,73.0,10.0,0.0,,2021
Cristian Pavón,ARG,,25.0,22.2,27.0,16.0,8.0,10.0,9.0,12.0,30.0,40.0,18.0,22.0,0.0,22.0,11.0,38.0,3.0,0.0,,2021
Lisandro López,ARG,,31.0,22.2,43.0,34.0,34.0,9.0,0.0,23.0,32.0,71.9,9.0,17.0,12.0,5.0,42.0,85.0,77.0,1.0,,2021
Marcos Rojo,ARG,,30.0,21.9,27.0,15.0,22.0,5.0,0.0,11.0,16.0,68.8,5.0,19.0,9.0,10.0,41.0,68.0,71.0,1.0,,2021
Agustín Almendra,ARG,,20.0,19.5,50.0,34.0,16.0,25.0,9.0,26.0,58.0,44.8,32.0,38.0,5.0,33.0,23.0,73.0,10.0,0.0,,2021
Alan Varela,ARG,,19.0,16.2,45.0,25.0,20.0,23.0,2.0,31.0,54.0,57.4,23.0,25.0,6.0,19.0,27.0,72.0,24.0,0.0,,2021
Luis Vázquez,ARG,,20.0,16.0,10.0,10.0,0.0,5.0,5.0,2.0,13.0,15.4,11.0,4.0,0.0,4.0,2.0,12.0,8.0,0.0,,2021
Carlos Tevez,ARG,,36.0,15.4,6.0,4.0,2.0,1.0,3.0,1.0,11.0,9.1,10.0,5.0,0.0,5.0,2.0,8.0,0.0,0.0,,2021
Carlos Zambrano,PER,,31.0,14.8,17.0,7.0,10.0,7.0,0.0,6.0,10.0,60.0,4.0,10.0,5.0,5.0,20.0,37.0,37.0,0.0,,2021
Nicolás Capaldo,ARG,,23.0,14.6,26.0,15.0,14.0,10.0,2.0,13.0,27.0,48.1,14.0,12.0,3.0,9.0,18.0,44.0,16.0,0.0,,2021
Edwin Cardona,COL,,28.0,14.0,15.0,11.0,6.0,7.0,2.0,9.0,18.0,50.0,9.0,8.0,1.0,7.0,12.0,27.0,5.0,0.0,,2021
Juan Ramírez,ARG,,27.0,12.5,37.0,24.0,9.0,22.0,6.0,15.0,30.0,50.0,15.0,13.0,0.0,13.0,12.0,49.0,3.0,0.0,,2021
Luis Advíncula,PER,,30.0,11.6,18.0,14.0,11.0,6.0,1.0,9.0,14.0,64.3,5.0,8.0,0.0,8.0,9.0,27.0,18.0,0.0,,2021
Norberto Briasco,ARM,,24.0,11.0,14.0,9.0,3.0,5.0,6.0,3.0,16.0,18.8,13.0,9.0,2.0,7.0,5.0,19.0,4.0,0.0,,2021
Esteban Andrada,ARG,,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,,2021
Aaron Nicolás Molinas,ARG,,20.0,10.6,13.0,7.0,5.0,8.0,0.0,7.0,17.0,41.2,10.0,7.0,0.0,7.0,8.0,21.0,2.0,0.0,,2021
Agustín Sández,PAR,,20.0,10.4,32.0,18.0,15.0,12.0,5.0,18.0,27.0,66.7,9.0,12.0,3.0,9.0,11.0,43.0,24.0,0.0,,2021
Marcelo Weigandt,ARG,,21.0,10.4,27.0,19.0,12.0,12.0,3.0,16.0,36.0,44.4,20.0,8.0,2.0,6.0,11.0,38.0,16.0,0.0,,2021
Esteban Rolón,ARG,,25.0,10.0,16.0,10.0,5.0,11.0,0.0,8.0,28.0,28.6,20.0,22.0,8.0,14.0,17.0,33.0,5.0,0.0,,2021
Rodrigo Montes,ARG,,21.0,8.6,19.0,13.0,7.0,9.0,3.0,10.0,25.0,40.0,15.0,10.0,0.0,10.0,13.0,32.0,7.0,0.0,,2021
,nan,,,,,,,,,,,,,,,,,,,,,2021
Julio Buffarini,ARG,,32.0,8.6,22.0,12.0,13.0,8.0,1.0,15.0,28.0,53.6,13.0,7.0,3.0,4.0,13.0,35.0,9.0,0.0,,2021
Diego González,ARG,,32.0,7.9,11.0,6.0,4.0,6.0,1.0,6.0,21.0,28.6,15.0,13.0,0.0,13.0,13.0,24.0,7.0,0.0,,2021
Franco Soldano,ARG,,26.0,6.5,15.0,10.0,3.0,12.0,0.0,5.0,16.0,31.3,11.0,5.0,1.0,4.0,1.0,16.0,12.0,0.0,,2021
Agustín Obando,ARG,,20.0,5.9,5.0,4.0,4.0,1.0,0.0,4.0,10.0,40.0,6.0,6.0,1.0,5.0,2.0,7.0,1.0,0.0,,2021
Gonzalo Maroni,ARG,,21.0,5.7,8.0,3.0,3.0,2.0,3.0,7.0,15.0,46.7,8.0,4.0,0.0,4.0,2.0,10.0,0.0,0.0,,2021
Eros Mancuso,ARG,,21.0,4.7,7.0,4.0,3.0,4.0,0.0,4.0,7.0,57.1,3.0,2.0,0.0,2.0,5.0,12.0,7.0,0.0,,2021
Nicolás Orsini,ARG,,26.0,4.5,2.0,0.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,,2021
Mauro Zárate,ARG,,33.0,4.4,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0,,2021
Eduardo Salvio,ARG,,30.0,4.4,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,0.0,6.0,1.0,2.0,0.0,0.0,,2021
Exequiel Zeballos,ARG,,18.0,3.9,3.0,2.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,,2021
Emmanuel Más,ARG,,32.0,3.8,3.0,3.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,2.0,5.0,8.0,4.0,0.0,,2021
Leonardo Jara,ARG,,29.0,3.5,5.0,4.0,1.0,4.0,0.0,3.0,10.0,30.0,7.0,4.0,1.0,3.0,2.0,7.0,4.0,0.0,,2021
Javier Hernán García,ARG,,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2021
Ezequiél Fernández,ARG,,18.0,2.5,7.0,5.0,3.0,2.0,2.0,3.0,7.0,42.9,4.0,9.0,1.0,8.0,2.0,9.0,2.0,0.0,,2021
Valentín Barco,ARG,,16.0,2.3,5.0,3.0,3.0,1.0,1.0,1.0,2.0,50.0,1.0,4.0,0.0,4.0,6.0,11.0,3.0,0.0,,2021
Vicente Taborda,ARG,,19.0,2.1,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,,2021
Gabriel Vega,ARG,,18.0,2.1,4.0,4.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,4.0,0.0,4.0,3.0,7.0,1.0,0.0,,2021
Gabriel Aranda,ARG,,19.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,5.0,1.0,4.0,3.0,5.0,4.0,0.0,,2021
Balthazar Bernardi,ARG,,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,,2021
Agustín Lastra,ARG,,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Renzo Giampaoli,ARG,,21.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,6.0,13.0,0.0,,2021
Israel Escalante,ARG,,22.0,1.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,,2021
Érik Bodencer,ARG,,20.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,2021
Ezequiel Almirón,ARG,,18.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Nicolás Valentini,ARG,,19.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,,2021
Juan Cabaña,ARG,,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Kevin Duarte,ARG,,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Nahuel Génez,ARG,,17.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Iván Alvariño,ARG,,19.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,2021
Lucas Palma,ARG,,17.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Agustín Rossi,ARG,,26.0,44.2,2.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,9.0,2.0,,2022
Guillermo Matías Fernández,ARG,,30.0,42.2,96.0,57.0,37.0,53.0,6.0,33.0,58.0,56.9,25.0,37.0,4.0,33.0,57.0,153.0,22.0,1.0,,2022
Frank Fabra,COL,,30.0,41.9,72.0,54.0,40.0,22.0,10.0,38.0,63.0,60.3,25.0,34.0,8.0,26.0,69.0,141.0,71.0,1.0,,2022
Luis Advíncula,PER,,31.0,41.1,70.0,46.0,36.0,28.0,6.0,37.0,55.0,67.3,18.0,29.0,8.0,21.0,30.0,100.0,64.0,0.0,,2022
Sebastián Villa,COL,,25.0,32.7,29.0,21.0,10.0,11.0,8.0,13.0,34.0,38.2,21.0,19.0,0.0,19.0,14.0,43.0,7.0,0.0,,2022
Alan Varela,ARG,,20.0,32.3,68.0,40.0,19.0,48.0,1.0,35.0,71.0,49.3,36.0,34.0,16.0,18.0,57.0,125.0,44.0,0.0,,2022
Óscar Romero,PAR,,29.0,31.5,83.0,52.0,33.0,40.0,10.0,37.0,82.0,45.1,45.0,40.0,4.0,36.0,21.0,104.0,11.0,0.0,,2022
Darío Benedetto,ARG,,31.0,30.0,17.0,9.0,2.0,9.0,6.0,4.0,21.0,19.0,17.0,16.0,2.0,14.0,5.0,22.0,18.0,0.0,,2022
Marcos Rojo,ARG,,31.0,28.4,47.0,28.0,34.0,13.0,0.0,23.0,35.0,65.7,12.0,29.0,15.0,14.0,51.0,98.0,94.0,0.0,,2022
Juan Ramírez,ARG,,28.0,24.8,64.0,41.0,18.0,33.0,13.0,33.0,59.0,55.9,26.0,22.0,1.0,21.0,22.0,86.0,7.0,0.0,,2022
Carlos Zambrano,PER,,32.0,24.7,36.0,25.0,27.0,8.0,1.0,13.0,21.0,61.9,8.0,35.0,18.0,17.0,30.0,66.0,88.0,0.0,,2022
Luis Vázquez,ARG,,21.0,21.5,15.0,7.0,0.0,8.0,7.0,4.0,12.0,33.3,8.0,9.0,0.0,9.0,1.0,16.0,15.0,0.0,,2022
Cristian Medina,ARG,,19.0,16.0,59.0,39.0,12.0,34.0,13.0,21.0,38.0,55.3,17.0,25.0,7.0,18.0,8.0,67.0,19.0,0.0,,2022
Carlos Izquierdoz,ARG,,33.0,15.7,28.0,16.0,17.0,10.0,1.0,17.0,23.0,73.9,6.0,10.0,6.0,4.0,33.0,61.0,45.0,0.0,,2022
Jorge Figal,ARG,,27.0,15.1,35.0,21.0,23.0,10.0,2.0,19.0,24.0,79.2,5.0,18.0,13.0,5.0,14.0,49.0,35.0,0.0,,2022
Exequiel Zeballos,ARG,,19.0,14.9,6.0,3.0,0.0,3.0,3.0,2.0,13.0,15.4,11.0,15.0,1.0,14.0,6.0,12.0,1.0,0.0,,2022
Eduardo Salvio,ARG,,31.0,11.9,10.0,9.0,1.0,5.0,4.0,5.0,13.0,38.5,8.0,9.0,0.0,9.0,4.0,14.0,2.0,0.0,,2022
Agustín Sández,PAR,,21.0,11.8,25.0,19.0,13.0,8.0,4.0,17.0,23.0,73.9,6.0,15.0,3.0,12.0,14.0,39.0,30.0,1.0,,2022
Gabriel Aranda,ARG,,20.0,11.0,20.0,11.0,15.0,5.0,0.0,13.0,19.0,68.4,6.0,10.0,7.0,3.0,11.0,31.0,36.0,0.0,,2022
Aaron Nicolás Molinas,ARG,,21.0,11.0,20.0,14.0,5.0,10.0,5.0,8.0,16.0,50.0,8.0,13.0,1.0,12.0,10.0,30.0,4.0,0.0,,2022
Luca Langoni,ARG,,19.0,10.5,6.0,3.0,1.0,4.0,1.0,2.0,9.0,22.2,7.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,,2022
Jorman Campuzano,COL,,25.0,9.9,35.0,22.0,16.0,19.0,0.0,14.0,26.0,53.8,12.0,7.0,3.0,4.0,17.0,52.0,18.0,0.0,,2022
Marcelo Weigandt,ARG,,22.0,9.0,26.0,14.0,11.0,13.0,2.0,18.0,22.0,81.8,4.0,13.0,4.0,9.0,8.0,34.0,9.0,0.0,,2022
Facundo Roncaglia,ARG,,34.0,8.7,20.0,10.0,17.0,3.0,0.0,9.0,15.0,60.0,6.0,3.0,2.0,1.0,6.0,26.0,30.0,1.0,,2022
Javier Hernán García,ARG,,35.0,8.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,2022
,nan,,,,,,,,,,,,,,,,,,,,,2022
Martín Payero,ARG,,23.0,7.5,16.0,8.0,5.0,8.0,3.0,6.0,10.0,60.0,4.0,15.0,0.0,15.0,3.0,19.0,2.0,0.0,,2022
Nicolás Orsini,ARG,,27.0,5.6,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,,2022
Esteban Rolón,ARG,,26.0,4.4,12.0,6.0,3.0,9.0,0.0,6.0,9.0,66.7,3.0,11.0,5.0,6.0,6.0,18.0,5.0,0.0,,2022
Gastón Ávila,ARG,,20.0,3.6,5.0,2.0,4.0,1.0,0.0,2.0,8.0,25.0,6.0,6.0,3.0,3.0,1.0,6.0,7.0,0.0,,2022
Diego González,ARG,,33.0,3.0,6.0,1.0,1.0,3.0,2.0,1.0,7.0,14.3,6.0,2.0,1.0,1.0,3.0,9.0,4.0,0.0,,2022
Norberto Briasco,ARM,,25.0,1.7,6.0,1.0,1.0,3.0,2.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,2022
Gonzalo Morales,ARG,,18.0,1.5,2.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,2022
Gabriel Vega,ARG,,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,2022
Maximiliano Zalazar,ARG,,20.0,0.6,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2022
