player,nation,position,age,nineties,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,season,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,fbref_comp_id
Agustín Orión,ARG,GK,32.0,26.3,2,0,0.0,,,,,,,,,0.0,2014,,,,,
Leandro Marín,ARG,DF,22.0,19.8,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Federico Carrizo,ARG,"FW,MF",22.0,18.3,3,0,0.0,,,,,,,,,0.0,2014,,,,,
Jonathan Calleri,ARG,FW,20.0,18.0,5,0,0.0,,,,,,,,,0.0,2014,,,,,
Nicolás Colazo,ARG,"DF,MF",23.0,17.1,1,0,0.0,,,,,,,,,0.0,2014,,,,,
Marcelo Meli,ARG,MF,21.0,16.3,7,0,0.0,,,,,,,,,0.0,2014,,,,,
Emmanuel Gigliotti,ARG,FW,26.0,15.4,2,0,0.0,,,,,,,,,0.0,2014,,,,,
Mariano Echeverría,ARG,DF,32.0,15.4,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Cristian Erbes,ARG,MF,24.0,15.1,6,0,0.0,,,,,,,,,0.0,2014,,,,,
Andrés Chávez,ARG,"FW,MF",22.0,14.5,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Fernando Gago,ARG,MF,27.0,14.4,1,1,0.0,,,,,,,,,0.0,2014,,,,,
Cata Díaz,ARG,DF,34.0,11.7,4,1,1.0,,,,,,,,,0.0,2014,,,,,
Gonzalo Castellani,ARG,MF,26.0,10.4,1,1,0.0,,,,,,,,,0.0,2014,,,,,
José Pedro Fuenzalida,CHI,"DF,FW",28.0,10.4,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Emanuel Insúa,ARG,DF,22.0,9.7,4,1,0.0,,,,,,,,,0.0,2014,,,,,
Lisandro Magallán,ARG,DF,20.0,9.4,1,0,0.0,,,,,,,,,1.0,2014,,,,,
Juan Forlín,ARG,"DF,MF",26.0,9.3,3,0,0.0,,,,,,,,,0.0,2014,,,,,
Juan Manuel Martínez,ARG,"FW,MF",28.0,7.8,1,0,0.0,,,,,,,,,0.0,2014,,,,,
Andrés Cubas,PAR,MF,17.0,7.5,2,0,0.0,,,,,,,,,0.0,2014,,,,,
Claudio Pérez,ARG,DF,28.0,7.3,4,0,0.0,,,,,,,,,0.0,2014,,,,,
Hernán Grana,ARG,DF,28.0,5.0,2,0,,,,,,,,,,,2014,,,,,
Luciano Acosta,ARG,"FW,MF",19.0,5.0,1,0,0.0,,,,,,,,,0.0,2014,,,,,
Federico Bravo,ARG,"DF,MF",20.0,4.6,1,0,,,,,,,,,,,2014,,,,,
Nahuel Zárate,ARG,DF,21.0,4.0,2,0,,,,,,,,,,,2014,,,,,
Franco Cristaldo,ARG,"FW,MF",17.0,1.6,0,0,,,,,,,,,,,2014,,,,,
Pablo Ledesma,ARG,MF,29.0,1.2,1,0,0.0,,,,,,,,,0.0,2014,,,,,
Juan Cruz Komar,ARG,DF,17.0,1.0,0,0,,,,,,,,,,,2014,,,,,
Emanuel Trípodi,ARG,GK,33.0,1.0,0,0,,,,,,,,,,,2014,,,,,
Leonardo Suárez,ARG,"FW,MF",17.0,0.6,0,0,,,,,,,,,,,2014,,,,,
Guillermo Burdisso,ARG,DF,25.0,0.5,0,0,,,,,,,,,,,2014,,,,,
Joel Acosta,ARG,"FW,MF",23.0,0.3,0,0,,,,,,,,,,,2014,,,,,
Cata Díaz,ARG,DF,35.0,29.7,4,1,0.0,,,,,,,,,0.0,2015,,,,,
Agustín Orión,ARG,GK,33.0,26.6,3,3,0.0,,,,,,,,,0.0,2015,,,,,
Jonathan Calleri,ARG,FW,21.0,23.6,2,1,0.0,,,,,,,,,0.0,2015,,,,,
Nicolás Colazo,ARG,"DF,MF",24.0,23.2,3,0,0.0,,,,,,,,,0.0,2015,,,,,
Marcelo Meli,ARG,MF,22.0,22.1,5,0,0.0,,,,,,,,,0.0,2015,,,,,
Gino Peruzzi,ARG,DF,22.0,21.4,3,1,1.0,,,,,,,,,0.0,2015,,,,,
Nicolás Lodeiro,URU,"FW,MF",25.0,21.3,3,0,0.0,,,,,,,,,0.0,2015,,,,,
Cristian Erbes,ARG,MF,25.0,20.4,7,1,1.0,,,,,,,,,0.0,2015,,,,,
Fabián Monzón,ARG,DF,27.0,18.8,5,0,0.0,,,,,,,,,0.0,2015,,,,,
Fernando Gago,ARG,MF,28.0,16.8,5,1,0.0,,,,,,,,,0.0,2015,,,,,
Pablo Pérez,ARG,MF,29.0,16.0,14,2,2.0,,,,,,,,,0.0,2015,,,,,
Marco Torsiglieri,ARG,"DF,MF",27.0,15.1,4,0,0.0,,,,,,,,,0.0,2015,,,,,
Sebastián Palacios,ARG,"FW,MF",23.0,13.0,1,0,0.0,,,,,,,,,0.0,2015,,,,,
Carlos Tevez,ARG,"FW,MF",30.0,11.9,4,0,0.0,,,,,,,,,0.0,2015,,,,,
Federico Carrizo,ARG,"FW,MF",23.0,11.7,0,0,0.0,,,,,,,,,0.0,2015,,,,,
Dani Osvaldo,ITA,FW,29.0,11.5,3,0,0.0,,,,,,,,,0.0,2015,,,,,
Guillermo Sara,ARG,GK,27.0,11.3,2,0,0.0,,,,,,,,,0.0,2015,,,,,
Andrés Chávez,ARG,"FW,MF",23.0,10.9,3,0,0.0,,,,,,,,,0.0,2015,,,,,
Rodrigo Bentancur,URU,MF,17.0,10.3,2,0,0.0,,,,,,,,,0.0,2015,,,,,
Fernando Tobio,ARG,DF,25.0,9.9,3,0,0.0,,,,,,,,,0.0,2015,,,,,
Leandro Marín,ARG,DF,23.0,9.6,0,0,0.0,,,,,,,,,0.0,2015,,,,,
Andrés Cubas,PAR,MF,18.0,9.5,4,0,0.0,,,,,,,,,0.0,2015,,,,,
Alexis Rolín,URU,DF,25.0,8.7,4,0,0.0,,,,,,,,,0.0,2015,,,,,
Guillermo Burdisso,ARG,DF,26.0,8.4,3,0,0.0,,,,,,,,,0.0,2015,,,,,
Juan Manuel Martínez,ARG,"FW,MF",29.0,7.2,2,0,0.0,,,,,,,,,0.0,2015,,,,,
José Pedro Fuenzalida,CHI,"DF,FW",29.0,7.2,1,0,0.0,,,,,,,,,0.0,2015,,,,,
Franco Cristaldo,ARG,"FW,MF",18.0,5.1,0,0,0.0,,,,,,,,,0.0,2015,,,,,
Cristian Pavón,ARG,"FW,MF",19.0,4.4,1,0,0.0,,,,,,,,,0.0,2015,,,,,
Juan Cruz Komar,ARG,DF,18.0,3.8,0,0,0.0,,,,,,,,,0.0,2015,,,,,
Gonzalo Castellani,ARG,MF,27.0,2.0,3,0,0.0,,,,,,,,,0.0,2015,,,,,
Federico Bravo,ARG,"DF,MF",21.0,1.0,0,0,0.0,,,,,,,,,0.0,2015,,,,,
Lisandro Magallán,ARG,DF,21.0,1.0,0,0,0.0,,,,,,,,,0.0,2015,,,,,
Emmanuel Gigliotti,ARG,FW,27.0,0.7,0,0,0.0,,,,,,,,,0.0,2015,,,,,
Guido Vadalá,ARG,"FW,MF",17.0,0.3,0,0,0.0,,,,,,,,,0.0,2015,,,,,
Cristian Pavón,ARG,FW,20.0,28.6,2,0,0.0,21.0,20.0,6.0,127.0,25.0,30.0,0.0,0.0,0.0,2016,108.0,18.0,37.0,32.7,21.0
Pablo Pérez,ARG,MF,30.0,25.5,10,0,0.0,55.0,56.0,3.0,60.0,36.0,55.0,1.0,0.0,0.0,2016,200.0,29.0,33.0,46.8,21.0
Gino Peruzzi,ARG,DF,24.0,24.1,6,0,0.0,33.0,26.0,0.0,51.0,52.0,40.0,0.0,0.0,0.0,2016,99.0,18.0,25.0,41.9,21.0
Santiago Vergini,ARG,DF,27.0,24.7,4,0,0.0,28.0,3.0,0.0,0.0,55.0,28.0,0.0,1.0,0.0,2016,74.0,18.0,18.0,50.0,21.0
Darío Benedetto,ARG,FW,26.0,20.5,4,0,0.0,31.0,30.0,9.0,9.0,2.0,3.0,0.0,0.0,0.0,2016,36.0,36.0,78.0,31.6,21.0
Rodrigo Bentancur,URU,MF,19.0,20.4,3,0,0.0,40.0,14.0,1.0,5.0,46.0,44.0,0.0,0.0,0.0,2016,154.0,24.0,19.0,55.8,21.0
Juan Manuel Insaurralde,ARG,DF,31.0,18.5,4,0,0.0,17.0,14.0,2.0,1.0,21.0,17.0,0.0,0.0,0.0,2016,104.0,24.0,15.0,61.5,21.0
Frank Fabra,COL,DF,25.0,17.9,4,0,0.0,15.0,9.0,1.0,34.0,47.0,24.0,0.0,0.0,0.0,2016,92.0,15.0,11.0,57.7,21.0
Ricardo Centurión,ARG,"FW,MF",23.0,15.0,1,1,0.0,15.0,72.0,3.0,29.0,9.0,12.0,1.0,0.0,0.0,2016,71.0,11.0,18.0,37.9,21.0
Agustín Rossi,ARG,GK,20.0,16.0,1,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2016,26.0,0.0,0.0,,21.0
Fernando Gago,ARG,MF,30.0,15.9,4,0,0.0,20.0,29.0,0.0,25.0,22.0,35.0,0.0,0.0,0.0,2016,114.0,23.0,14.0,62.2,21.0
Fernando Tobio,ARG,DF,26.0,12.6,2,0,0.0,13.0,4.0,1.0,0.0,26.0,11.0,0.0,0.0,0.0,2016,34.0,15.0,11.0,57.7,21.0
Jonathan Silva,ARG,DF,22.0,12.1,1,0,0.0,14.0,13.0,1.0,57.0,21.0,23.0,0.0,0.0,0.0,2016,50.0,12.0,14.0,46.2,21.0
Guillermo Sara,ARG,GK,28.0,12.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,12.0,4.0,2.0,66.7,21.0
Wílmar Barrios,COL,MF,22.0,12.0,4,0,0.0,23.0,32.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,2016,82.0,11.0,23.0,32.4,21.0
Carlos Tevez,ARG,"MF,FW",32.0,10.2,1,1,0.0,10.0,25.0,3.0,14.0,2.0,4.0,0.0,0.0,0.0,2016,35.0,4.0,10.0,28.6,21.0
Leonardo Jara,ARG,"DF,MF",25.0,7.4,2,0,0.0,8.0,4.0,1.0,19.0,3.0,16.0,0.0,0.0,0.0,2016,24.0,7.0,7.0,50.0,21.0
Walter Bou,ARG,FW,22.0,9.5,0,0,0.0,14.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,2016,30.0,11.0,38.0,22.4,21.0
Lisandro Magallán,ARG,DF,22.0,4.7,1,0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,2016,15.0,6.0,0.0,100.0,21.0
Fernando Zuqui,ARG,FW,24.0,4.8,2,0,0.0,11.0,16.0,0.0,13.0,3.0,2.0,0.0,0.0,0.0,2016,34.0,5.0,2.0,71.4,21.0
Sebastián Pérez Cardona,COL,MF,23.0,4.7,2,1,0.0,9.0,7.0,0.0,1.0,14.0,14.0,0.0,0.0,0.0,2016,31.0,3.0,4.0,42.9,21.0
Oscar Benítez,ARG,FW,23.0,3.5,1,0,0.0,6.0,7.0,3.0,6.0,5.0,5.0,0.0,0.0,0.0,2016,18.0,5.0,1.0,83.3,21.0
Andrés Cubas,PAR,MF,20.0,2.3,0,0,0.0,3.0,3.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,2016,10.0,0.0,4.0,0.0,21.0
Axel Werner,ARG,GK,20.0,2.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0.0,,21.0
Nazareno Solís,ARG,FW,22.0,1.2,0,0,0.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2016,6.0,0.0,0.0,,21.0
Gonzalo Maroni,ARG,"MF,FW",17.0,1.0,0,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,2.0,0.0,0.0,,21.0
Federico Carrizo,ARG,"FW,MF",25.0,0.8,0,0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2016,4.0,1.0,1.0,50.0,21.0
Gonzalo Castellani,ARG,FW,28.0,0.7,0,0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2016,3.0,1.0,1.0,50.0,21.0
Agustín Rossi,ARG,GK,21.0,26.0,0,0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2017,23.0,7.0,0.0,100.0,21.0
Cristian Pavón,ARG,FW,21.0,25.2,3,0,0.0,10.0,31.0,12.0,127.0,21.0,28.0,1.0,0.0,0.0,2017,123.0,17.0,27.0,38.6,21.0
Lisandro Magallán,ARG,DF,23.0,25.0,0,0,0.0,21.0,11.0,0.0,0.0,51.0,27.0,0.0,0.0,0.0,2017,138.0,39.0,25.0,60.9,21.0
Wílmar Barrios,COL,MF,23.0,22.1,6,0,0.0,37.0,45.0,0.0,1.0,63.0,55.0,0.0,0.0,0.0,2017,144.0,42.0,64.0,39.6,21.0
Frank Fabra,COL,DF,26.0,21.5,6,0,0.0,29.0,20.0,0.0,29.0,36.0,42.0,0.0,0.0,0.0,2017,141.0,29.0,17.0,63.0,21.0
Nahitan Nández,URU,MF,21.0,21.0,5,0,0.0,40.0,55.0,4.0,26.0,18.0,38.0,1.0,0.0,0.0,2017,133.0,17.0,37.0,31.5,21.0
Leonardo Jara,ARG,DF,26.0,19.1,2,0,0.0,13.0,20.0,1.0,33.0,31.0,40.0,0.0,0.0,0.0,2017,93.0,19.0,7.0,73.1,21.0
Paolo Goltz,ARG,DF,32.0,17.5,2,1,1.0,10.0,7.0,2.0,1.0,36.0,15.0,0.0,0.0,0.0,2017,67.0,36.0,19.0,65.5,21.0
Edwin Cardona,COL,"FW,MF",24.0,17.5,7,2,1.0,32.0,39.0,6.0,87.0,15.0,26.0,0.0,0.0,0.0,2017,80.0,29.0,23.0,55.8,21.0
Pablo Pérez,ARG,MF,31.0,16.1,13,1,1.0,52.0,37.0,0.0,9.0,16.0,41.0,0.0,0.0,0.0,2017,147.0,24.0,22.0,52.2,21.0
Carlos Tevez,ARG,"MF,FW",33.0,9.0,0,0,0.0,4.0,20.0,3.0,6.0,2.0,6.0,1.0,0.0,0.0,2017,42.0,6.0,10.0,37.5,21.0
Darío Benedetto,ARG,FW,27.0,8.3,3,0,0.0,10.0,14.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,2017,25.0,6.0,17.0,26.1,21.0
Emanuel Reynoso,ARG,"MF,FW",21.0,8.0,1,0,0.0,11.0,14.0,0.0,25.0,9.0,17.0,0.0,0.0,0.0,2017,66.0,6.0,10.0,37.5,21.0
Santiago Vergini,ARG,DF,28.0,7.9,3,0,0.0,6.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,2017,23.0,11.0,9.0,55.0,21.0
Walter Bou,ARG,FW,23.0,6.4,0,0,0.0,8.0,7.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,2017,18.0,4.0,28.0,12.5,21.0
Fernando Gago,ARG,MF,31.0,5.8,0,0,0.0,5.0,17.0,0.0,4.0,12.0,6.0,0.0,0.0,0.0,2017,32.0,5.0,6.0,45.5,21.0
Ramón Ábila,ARG,FW,27.0,6.0,1,0,0.0,5.0,12.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,2017,12.0,8.0,10.0,44.4,21.0
Emmanuel Más,ARG,DF,28.0,5.4,1,0,0.0,10.0,7.0,0.0,9.0,16.0,11.0,0.0,0.0,0.0,2017,26.0,7.0,12.0,36.8,21.0
Julio Buffarini,ARG,"DF,MF",28.0,5.0,4,0,0.0,7.0,4.0,0.0,21.0,10.0,14.0,0.0,0.0,0.0,2017,17.0,6.0,10.0,37.5,21.0
Gino Peruzzi,ARG,DF,25.0,3.5,2,0,0.0,11.0,3.0,0.0,9.0,5.0,5.0,0.0,0.0,0.0,2017,15.0,2.0,3.0,40.0,21.0
Cristian Espinoza,ARG,FW,22.0,3.1,1,0,0.0,7.0,7.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0,2017,15.0,0.0,1.0,0.0,21.0
Sebastián Pérez Cardona,COL,MF,24.0,2.5,2,0,0.0,4.0,2.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,2017,7.0,2.0,2.0,50.0,21.0
Oscar Benítez,ARG,FW,24.0,3.1,2,0,0.0,5.0,8.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,2017,17.0,4.0,11.0,26.7,21.0
Agustín Heredia,ARG,DF,20.0,2.0,2,0,0.0,5.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2017,11.0,3.0,7.0,30.0,21.0
Guido Vadalá,ARG,FW,20.0,2.0,1,0,0.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2017,4.0,0.0,3.0,0.0,21.0
Agustín Almendra,ARG,MF,17.0,1.1,1,0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,11.0,0.0,3.0,0.0,21.0
Julián Chicco,ARG,MF,19.0,1.0,1,0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2017,7.0,0.0,0.0,,21.0
Gonzalo Goñi,ARG,DF,18.0,1.0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,4.0,3.0,3.0,50.0,21.0
Guillermo Sara,ARG,GK,29.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1.0,0.0,0.0,,21.0
Gonzalo Maroni,ARG,MF,18.0,1.3,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2017,7.0,2.0,1.0,66.7,21.0
Agustín Bouzat,ARG,FW,23.0,0.5,0,0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2017,3.0,0.0,1.0,0.0,21.0
Gonzalo Lamardo,ARG,MF,20.0,0.3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1.0,0.0,1.0,0.0,21.0
Fernando Evangelista,ARG,FW,25.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.0,0.0,0.0,,21.0
Juan Manuel Insaurralde,ARG,DF,32.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.0,1.0,0.0,100.0,21.0
Esteban Andrada,ARG,GK,27.0,18.0,0,0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,17.0,12.0,0.0,100.0,21.0
Emmanuel Más,ARG,DF,29.0,17.5,4,0,0.0,20.0,12.0,2.0,33.0,26.0,25.0,1.0,0.0,0.0,2018,71.0,32.0,24.0,57.1,21.0
Julio Buffarini,ARG,DF,29.0,17.0,5,0,0.0,22.0,25.0,1.0,41.0,23.0,36.0,0.0,0.0,0.0,2018,94.0,20.0,23.0,46.5,21.0
Mauro Zárate,ARG,"FW,MF",31.0,16.6,3,0,0.0,23.0,30.0,0.0,62.0,7.0,10.0,0.0,0.0,0.0,2018,47.0,14.0,21.0,40.0,21.0
Carlos Izquierdoz,ARG,DF,29.0,16.0,2,0,0.0,16.0,9.0,0.0,1.0,40.0,15.0,0.0,1.0,0.0,2018,67.0,47.0,35.0,57.3,21.0
Cristian Pavón,ARG,"FW,MF",22.0,12.8,0,0,0.0,11.0,21.0,7.0,37.0,12.0,14.0,0.0,0.0,0.0,2018,67.0,9.0,22.0,29.0,21.0
Carlos Tevez,ARG,"MF,FW",34.0,12.3,2,0,0.0,13.0,19.0,7.0,15.0,1.0,6.0,2.0,0.0,0.0,2018,45.0,12.0,22.0,35.3,21.0
Agustín Almendra,ARG,MF,18.0,11.9,2,0,0.0,16.0,32.0,0.0,3.0,22.0,35.0,0.0,0.0,0.0,2018,107.0,7.0,11.0,38.9,21.0
Iván Marcone,ARG,MF,28.0,11.0,5,0,0.0,19.0,22.0,0.0,1.0,22.0,34.0,0.0,0.0,0.0,2018,100.0,12.0,5.0,70.6,21.0
Nahitan Nández,URU,MF,22.0,10.1,7,0,0.0,17.0,19.0,2.0,13.0,9.0,25.0,0.0,0.0,0.0,2018,83.0,15.0,22.0,40.5,21.0
Sebastián Villa,COL,"FW,MF",22.0,9.9,2,0,0.0,17.0,16.0,5.0,45.0,7.0,16.0,1.0,0.0,0.0,2018,42.0,6.0,17.0,26.1,21.0
Darío Benedetto,ARG,FW,28.0,9.6,4,0,0.0,7.0,13.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,2018,17.0,11.0,38.0,22.4,21.0
Paolo Goltz,ARG,DF,33.0,9.9,4,0,0.0,10.0,4.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,2018,46.0,23.0,11.0,67.6,21.0
Ramón Ábila,ARG,FW,28.0,8.9,2,0,0.0,8.0,12.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,2018,27.0,10.0,16.0,38.5,21.0
Fernando Gago,ARG,MF,32.0,8.0,3,0,0.0,7.0,19.0,0.0,11.0,5.0,15.0,0.0,0.0,0.0,2018,62.0,14.0,6.0,70.0,21.0
Lisandro López,ARG,DF,28.0,8.0,1,0,0.0,5.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,2018,42.0,28.0,18.0,60.9,21.0
Jorman Campuzano,COL,MF,22.0,7.9,2,0,0.0,15.0,17.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,2018,48.0,12.0,4.0,75.0,21.0
Edwin Cardona,COL,"FW,MF",25.0,7.5,3,0,0.0,13.0,21.0,1.0,53.0,9.0,4.0,0.0,0.0,0.0,2018,39.0,7.0,7.0,50.0,21.0
Lisandro Magallán,ARG,DF,24.0,7.1,4,1,1.0,6.0,3.0,0.0,1.0,8.0,7.0,0.0,0.0,0.0,2018,28.0,18.0,8.0,69.2,21.0
Emanuel Reynoso,ARG,"MF,FW",22.0,7.0,1,0,0.0,16.0,19.0,1.0,23.0,4.0,19.0,0.0,0.0,0.0,2018,57.0,5.0,12.0,29.4,21.0
Júnior Alonso,PAR,DF,25.0,7.0,1,0,0.0,5.0,2.0,2.0,3.0,3.0,11.0,0.0,0.0,0.0,2018,25.0,28.0,11.0,71.8,21.0
Agustín Rossi,ARG,GK,22.0,6.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,15.0,2.0,0.0,100.0,21.0
Wílmar Barrios,COL,MF,24.0,5.7,3,0,0.0,21.0,16.0,0.0,2.0,10.0,17.0,0.0,0.0,0.0,2018,49.0,17.0,11.0,60.7,21.0
Leonardo Balerdi,ARG,DF,19.0,5.0,2,0,0.0,4.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2018,27.0,19.0,4.0,82.6,21.0
Lucas Olaza,URU,DF,24.0,3.5,0,0,0.0,1.0,2.0,0.0,5.0,5.0,8.0,0.0,0.0,0.0,2018,22.0,4.0,9.0,30.8,21.0
Leonardo Jara,ARG,DF,27.0,3.4,0,0,0.0,1.0,2.0,0.0,4.0,9.0,6.0,0.0,0.0,0.0,2018,14.0,5.0,3.0,62.5,21.0
Pablo Pérez,ARG,MF,32.0,3.7,5,0,0.0,18.0,7.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,2018,37.0,6.0,6.0,50.0,21.0
Cristian Espinoza,ARG,FW,23.0,3.3,0,0,0.0,4.0,3.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,2018,10.0,0.0,3.0,0.0,21.0
Gino Peruzzi,ARG,DF,26.0,3.0,1,0,0.0,2.0,8.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,2018,12.0,2.0,4.0,33.3,21.0
Julián Chicco,ARG,MF,20.0,2.5,2,0,0.0,10.0,2.0,0.0,1.0,9.0,3.0,0.0,0.0,0.0,2018,21.0,5.0,3.0,62.5,21.0
Kevin Mac Allister,ARG,DF,20.0,1.2,1,0,0.0,5.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,2018,3.0,3.0,1.0,75.0,21.0
Marcos Guillermo Díaz,ARG,GK,32.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,0.0,0.0,,21.0
