player,nation,position,age,nineties,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,passes_completed_short,passes_attempted_short,pass_pct_short,passes_completed_medium,passes_attempted_medium,pass_pct_medium,passes_completed_long,passes_attempted_long,pass_pct_long,ast,expected_assisted_goals,expected_assists,assists_minus_xag,key_passes,passes_into_final_third,passes_into_pen_area,crosses_into_pen_area,progressive_passes,fbref_comp_id,season
Franco Soldano,ARG,FW,26,6.5,74.0,132.0,56.1,874.0,163.0,52.0,82.0,63.4,17.0,35.0,48.6,0.0,2.0,0.0,0,0.3,0.2,-0.3,1.0,9.0,1.0,0.0,7.0,,2021
Agustín Obando,ARG,"FW,MF",20,5.9,125.0,179.0,69.8,1875.0,325.0,69.0,84.0,82.1,40.0,51.0,78.4,9.0,21.0,42.9,0,0.8,0.3,-0.8,6.0,8.0,5.0,4.0,12.0,,2021
Gonzalo Maroni,ARG,"FW,MF",21,5.7,177.0,218.0,81.2,3226.0,932.0,81.0,94.0,86.2,68.0,79.0,86.1,24.0,38.0,63.2,0,1.0,0.6,-1.0,10.0,28.0,7.0,1.0,35.0,,2021
Eros Mancuso,ARG,DF,21,4.7,197.0,252.0,78.2,3013.0,993.0,101.0,112.0,90.2,76.0,93.0,81.7,10.0,24.0,41.7,1,0.7,0.4,0.3,4.0,8.0,3.0,0.0,16.0,,2021
Nicolás Orsini,ARG,FW,26,4.5,50.0,76.0,65.8,643.0,113.0,29.0,45.0,64.4,15.0,19.0,78.9,1.0,2.0,50.0,0,0.2,0.2,-0.2,3.0,6.0,0.0,0.0,6.0,,2021
Mauro Zárate,ARG,"FW,MF",33,4.4,108.0,140.0,77.1,1718.0,444.0,53.0,59.0,89.8,42.0,48.0,87.5,8.0,22.0,36.4,1,0.7,0.4,0.3,8.0,6.0,0.0,0.0,11.0,,2021
Eduardo Salvio,ARG,"FW,MF",30,4.4,124.0,148.0,83.8,1630.0,274.0,87.0,98.0,88.8,31.0,37.0,83.8,4.0,4.0,100.0,1,0.2,0.2,0.8,2.0,10.0,1.0,0.0,12.0,,2021
Exequiel Zeballos,ARG,MF,18,3.9,95.0,135.0,70.4,1399.0,296.0,63.0,74.0,85.1,24.0,36.0,66.7,7.0,17.0,41.2,1,0.7,1.2,0.3,5.0,4.0,4.0,2.0,10.0,,2021
Emmanuel Más,ARG,DF,32,3.8,191.0,237.0,80.6,3060.0,1198.0,81.0,92.0,88.0,98.0,110.0,89.1,7.0,21.0,33.3,0,0.0,0.1,0.0,1.0,21.0,1.0,1.0,20.0,,2021
Leonardo Jara,ARG,MF,29,3.5,140.0,171.0,81.9,2420.0,472.0,64.0,74.0,86.5,58.0,68.0,85.3,15.0,21.0,71.4,0,0.1,0.1,-0.1,2.0,5.0,1.0,0.0,13.0,,2021
Javier Hernán García,ARG,GK,34,3.0,87.0,112.0,77.7,2428.0,1783.0,17.0,17.0,100.0,41.0,41.0,100.0,29.0,53.0,54.7,0,0.1,0.0,-0.1,1.0,2.0,0.0,0.0,0.0,,2021
Ezequiél Fernández,ARG,MF,18,2.5,161.0,187.0,86.1,2640.0,595.0,73.0,84.0,86.9,74.0,81.0,91.4,9.0,14.0,64.3,0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,11.0,,2021
Valentín Barco,ARG,DF,16,2.3,92.0,129.0,71.3,1739.0,874.0,41.0,46.0,89.1,34.0,43.0,79.1,14.0,30.0,46.7,0,0.2,0.4,-0.2,2.0,10.0,4.0,1.0,11.0,,2021
Vicente Taborda,ARG,"MF,FW",19,2.1,60.0,83.0,72.3,794.0,196.0,31.0,37.0,83.8,22.0,27.0,81.5,1.0,9.0,11.1,0,0.1,0.1,-0.1,2.0,2.0,3.0,0.0,13.0,,2021
Gabriel Vega,ARG,MF,18,2.1,94.0,107.0,87.9,1494.0,357.0,42.0,45.0,93.3,42.0,43.0,97.7,5.0,9.0,55.6,0,0.1,0.1,-0.1,5.0,13.0,0.0,0.0,13.0,,2021
Gabriel Aranda,ARG,DF,19,2.0,66.0,78.0,84.6,1351.0,470.0,21.0,25.0,84.0,34.0,38.0,89.5,10.0,12.0,83.3,0,0.2,0.1,-0.2,1.0,2.0,0.0,0.0,3.0,,2021
Balthazar Bernardi,ARG,DF,19,2.0,79.0,96.0,82.3,1612.0,654.0,23.0,24.0,95.8,42.0,48.0,87.5,13.0,19.0,68.4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,2021
Agustín Lastra,ARG,GK,20,2.0,31.0,51.0,60.8,1006.0,795.0,2.0,2.0,100.0,16.0,16.0,100.0,13.0,33.0,39.4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2021
Renzo Giampaoli,ARG,DF,21,2.0,116.0,137.0,84.7,2665.0,1028.0,32.0,34.0,94.1,63.0,69.0,91.3,21.0,31.0,67.7,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,,2021
Israel Escalante,ARG,FW,22,1.4,11.0,24.0,45.8,151.0,3.0,6.0,11.0,54.5,3.0,6.0,50.0,1.0,4.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Érik Bodencer,ARG,FW,20,1.2,8.0,12.0,66.7,76.0,4.0,8.0,9.0,88.9,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Ezequiel Almirón,ARG,FW,18,0.3,3.0,6.0,50.0,19.0,0.0,2.0,4.0,50.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Nicolás Valentini,ARG,DF,19,0.3,24.0,29.0,82.8,517.0,195.0,2.0,2.0,100.0,20.0,21.0,95.2,2.0,6.0,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Juan Cabaña,ARG,MF,19,0.2,4.0,7.0,57.1,65.0,37.0,1.0,2.0,50.0,3.0,4.0,75.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,2021
Kevin Duarte,ARG,MF,19,0.2,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Nahuel Génez,ARG,DF,17,0.1,3.0,5.0,60.0,82.0,78.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Iván Alvariño,ARG,FW,19,0.1,2.0,3.0,66.7,14.0,9.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Lucas Palma,ARG,FW,17,0.1,1.0,1.0,100.0,3.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Agustín Rossi,ARG,GK,26,44.2,874.0,1318.0,66.3,26069.0,19208.0,139.0,139.0,100.0,407.0,414.0,98.3,325.0,759.0,42.8,0,0.0,0.1,0.0,0.0,15.0,0.0,0.0,2.0,,2022
Guillermo Matías Fernández,ARG,MF,30,42.2,1840.0,2151.0,85.5,33608.0,8578.0,783.0,883.0,88.7,789.0,876.0,90.1,224.0,290.0,77.2,2,3.2,3.9,-1.2,43.0,149.0,12.0,2.0,198.0,,2022
Frank Fabra,COL,DF,30,41.9,1919.0,2503.0,76.7,32701.0,11923.0,927.0,1046.0,88.6,759.0,964.0,78.7,179.0,352.0,50.9,6,3.7,4.1,2.3,40.0,167.0,35.0,15.0,228.0,,2022
Luis Advíncula,PER,DF,31,41.1,1734.0,2148.0,80.7,28705.0,9784.0,842.0,914.0,92.1,683.0,842.0,81.1,151.0,280.0,53.9,0,1.4,1.6,-1.4,23.0,110.0,20.0,12.0,165.0,,2022
Sebastián Villa,COL,"MF,FW",25,32.7,774.0,1174.0,65.9,13975.0,3551.0,383.0,453.0,84.5,253.0,373.0,67.8,108.0,257.0,42.0,14,8.1,8.2,5.9,79.0,50.0,38.0,19.0,97.0,,2022
Alan Varela,ARG,MF,20,32.3,1490.0,1713.0,87.0,28130.0,7719.0,573.0,643.0,89.1,693.0,760.0,91.2,191.0,243.0,78.6,2,1.2,0.9,0.8,11.0,109.0,9.0,5.0,139.0,,2022
Óscar Romero,PAR,MF,29,31.5,1397.0,1860.0,75.1,26929.0,8936.0,611.0,691.0,88.4,510.0,635.0,80.3,240.0,412.0,58.3,6,5.7,6.9,0.3,73.0,231.0,51.0,9.0,291.0,,2022
Darío Benedetto,ARG,FW,31,30.0,378.0,573.0,66.0,6679.0,1233.0,175.0,248.0,70.6,140.0,197.0,71.1,44.0,72.0,61.1,2,3.2,3.1,-1.2,27.0,35.0,26.0,2.0,65.0,,2022
Marcos Rojo,ARG,DF,31,28.4,1405.0,1707.0,82.3,27919.0,10825.0,485.0,539.0,90.0,692.0,751.0,92.1,206.0,354.0,58.2,0,0.1,0.2,-0.1,2.0,64.0,1.0,0.0,89.0,,2022
Juan Ramírez,ARG,MF,28,24.8,849.0,984.0,86.3,11841.0,2742.0,488.0,544.0,89.7,287.0,325.0,88.3,28.0,42.0,66.7,1,1.1,1.1,-0.1,22.0,92.0,12.0,1.0,125.0,,2022
Carlos Zambrano,PER,DF,32,24.7,1017.0,1233.0,82.5,20207.0,7029.0,335.0,383.0,87.5,526.0,576.0,91.3,138.0,236.0,58.5,1,0.1,0.2,0.9,2.0,43.0,3.0,0.0,55.0,,2022
Luis Vázquez,ARG,FW,21,21.5,249.0,392.0,63.5,3193.0,529.0,156.0,222.0,70.3,69.0,102.0,67.6,7.0,16.0,43.8,3,1.4,0.6,1.6,20.0,16.0,8.0,1.0,25.0,,2022
Cristian Medina,ARG,MF,19,16.0,543.0,678.0,80.1,7838.0,1486.0,308.0,350.0,88.0,182.0,210.0,86.7,26.0,48.0,54.2,1,1.0,0.8,0.0,10.0,45.0,6.0,1.0,49.0,,2022
Carlos Izquierdoz,ARG,DF,33,15.7,769.0,907.0,84.8,14942.0,5923.0,254.0,278.0,91.4,408.0,457.0,89.3,94.0,136.0,69.1,0,0.0,0.2,0.0,1.0,21.0,1.0,1.0,38.0,,2022
Jorge Figal,ARG,DF,27,15.1,665.0,867.0,76.7,13857.0,4937.0,191.0,223.0,85.7,353.0,408.0,86.5,109.0,202.0,54.0,0,0.1,0.1,-0.1,3.0,43.0,3.0,0.0,43.0,,2022
Exequiel Zeballos,ARG,"MF,FW",19,14.9,324.0,471.0,68.8,5216.0,1352.0,170.0,207.0,82.1,98.0,138.0,71.0,37.0,75.0,49.3,2,3.7,3.0,-1.7,31.0,21.0,17.0,7.0,34.0,,2022
Eduardo Salvio,ARG,MF,31,11.9,302.0,384.0,78.6,4198.0,580.0,178.0,207.0,86.0,97.0,119.0,81.5,10.0,19.0,52.6,0,0.9,1.0,-0.9,12.0,11.0,12.0,3.0,24.0,,2022
Agustín Sández,PAR,DF,21,11.8,515.0,667.0,77.2,8364.0,3137.0,247.0,277.0,89.2,221.0,274.0,80.7,30.0,70.0,42.9,0,0.3,0.2,-0.3,9.0,31.0,5.0,5.0,43.0,,2022
Gabriel Aranda,ARG,DF,20,11.0,466.0,522.0,89.3,9060.0,3034.0,150.0,167.0,89.8,259.0,273.0,94.9,51.0,68.0,75.0,0,0.0,0.3,0.0,2.0,14.0,0.0,0.0,23.0,,2022
Aaron Nicolás Molinas,ARG,MF,21,11.0,522.0,652.0,80.1,9256.0,2426.0,258.0,284.0,90.8,181.0,215.0,84.2,67.0,104.0,64.4,2,1.3,1.3,0.7,18.0,72.0,8.0,3.0,96.0,,2022
Luca Langoni,ARG,"FW,MF",19,10.5,123.0,172.0,71.5,1777.0,284.0,74.0,85.0,87.1,37.0,52.0,71.2,6.0,16.0,37.5,1,1.3,1.0,-0.3,9.0,5.0,4.0,1.0,11.0,,2022
Jorman Campuzano,COL,MF,25,9.9,403.0,473.0,85.2,7303.0,2008.0,170.0,195.0,87.2,170.0,192.0,88.5,49.0,61.0,80.3,1,0.3,0.3,0.7,2.0,29.0,2.0,0.0,39.0,,2022
Marcelo Weigandt,ARG,DF,22,9.0,432.0,565.0,76.5,7168.0,2657.0,215.0,247.0,87.0,166.0,215.0,77.2,42.0,67.0,62.7,0,0.3,0.7,-0.3,7.0,32.0,8.0,2.0,43.0,,2022
Facundo Roncaglia,ARG,DF,34,8.7,355.0,451.0,78.7,7976.0,3326.0,85.0,104.0,81.7,199.0,222.0,89.6,71.0,119.0,59.7,0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,20.0,,2022
Javier Hernán García,ARG,GK,35,8.0,165.0,231.0,71.4,4658.0,3573.0,25.0,25.0,100.0,82.0,83.0,98.8,58.0,123.0,47.2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2022
Martín Payero,ARG,"MF,FW",23,7.5,181.0,238.0,76.1,2737.0,670.0,89.0,100.0,89.0,65.0,86.0,75.6,13.0,24.0,54.2,0,0.8,0.2,-0.8,7.0,15.0,2.0,0.0,24.0,,2022
Nicolás Orsini,ARG,FW,27,5.6,87.0,123.0,70.7,1124.0,161.0,59.0,74.0,79.7,21.0,29.0,72.4,2.0,3.0,66.7,0,0.2,0.1,-0.2,2.0,7.0,0.0,0.0,7.0,,2022
Esteban Rolón,ARG,MF,26,4.4,226.0,270.0,83.7,4299.0,1432.0,88.0,100.0,88.0,106.0,129.0,82.2,26.0,30.0,86.7,0,0.1,0.1,-0.1,3.0,15.0,2.0,0.0,20.0,,2022
Gastón Ávila,ARG,DF,20,3.6,175.0,213.0,82.2,3936.0,1371.0,51.0,56.0,91.1,82.0,95.0,86.3,41.0,54.0,75.9,0,0.0,0.1,0.0,1.0,19.0,1.0,0.0,17.0,,2022
Diego González,ARG,MF,33,3.0,124.0,154.0,80.5,2106.0,568.0,51.0,60.0,85.0,55.0,65.0,84.6,12.0,17.0,70.6,0,0.2,0.3,-0.2,3.0,13.0,3.0,0.0,16.0,,2022
Norberto Briasco,ARM,"FW,MF",25,1.7,19.0,27.0,70.4,267.0,18.0,13.0,18.0,72.2,6.0,6.0,100.0,0.0,0.0,,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,,2022
Gonzalo Morales,ARG,FW,18,1.5,13.0,20.0,65.0,191.0,44.0,7.0,10.0,70.0,6.0,6.0,100.0,0.0,2.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,2022
Gabriel Vega,ARG,MF,19,1.0,36.0,39.0,92.3,622.0,102.0,16.0,17.0,94.1,15.0,16.0,93.8,4.0,4.0,100.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,,2022
Maximiliano Zalazar,ARG,"FW,MF",20,0.6,10.0,15.0,66.7,208.0,77.0,5.0,8.0,62.5,3.0,4.0,75.0,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,,2022
Leandro Brey,ARG,GK,19,0.5,2.0,3.0,66.7,47.0,48.0,1.0,1.0,100.0,0.0,0.0,,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022
Brandon Cortés,CHI,"MF,FW",20,0.4,17.0,20.0,85.0,253.0,33.0,8.0,11.0,72.7,6.0,6.0,100.0,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,2022
Simón Rivero,ARG,"MF,FW",18,0.2,2.0,3.0,66.7,36.0,11.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022
Agustín Almendra,ARG,MF,21,0.1,8.0,10.0,80.0,177.0,100.0,1.0,1.0,100.0,6.0,8.0,75.0,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,,2022
Vicente Taborda,ARG,MF,20,0.0,3.0,5.0,60.0,20.0,0.0,2.0,2.0,100.0,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022
Sergio Romero,ARG,GK,35,46.3,902.0,1262.0,71.5,25351.0,19005.0,146.0,147.0,99.3,439.0,447.0,98.2,298.0,644.0,46.3,0,0.0,0.1,0.0,0.0,20.0,0.0,0.0,1.0,,2023
Jorge Figal,ARG,DF,28,40.5,1728.0,2129.0,81.2,33343.0,12719.0,599.0,664.0,90.2,928.0,1028.0,90.3,183.0,386.0,47.4,0,0.2,0.5,-0.2,6.0,81.0,8.0,0.0,76.0,,2023
Guillermo Matías Fernández,ARG,MF,31,37.8,1860.0,2205.0,84.4,32678.0,8855.0,824.0,932.0,88.4,812.0,920.0,88.3,186.0,246.0,75.6,2,4.2,3.8,-2.2,46.0,154.0,19.0,3.0,201.0,,2023
Cristian Medina,ARG,"MF,FW",20,33.3,1418.0,1617.0,87.7,21954.0,5025.0,758.0,819.0,92.6,550.0,614.0,89.6,78.0,100.0,78.0,3,2.3,2.3,0.7,29.0,130.0,22.0,1.0,176.0,,2023
Luis Advíncula,PER,"DF,FW",32,32.8,1177.0,1471.0,80.0,19773.0,5958.0,595.0,666.0,89.3,453.0,547.0,82.8,103.0,181.0,56.9,4,4.4,4.4,-0.4,34.0,87.0,34.0,19.0,116.0,,2023
Frank Fabra,COL,DF,31,29.6,1483.0,1831.0,81.0,24125.0,9124.0,757.0,844.0,89.7,584.0,701.0,83.3,113.0,207.0,54.6,2,3.0,3.1,-1.0,30.0,114.0,33.0,20.0,162.0,,2023
Miguel Merentiel,URU,FW,26,27.0,396.0,539.0,73.5,5142.0,958.0,253.0,318.0,79.6,106.0,137.0,77.4,11.0,27.0,40.7,4,3.9,4.0,0.1,21.0,26.0,15.0,0.0,38.0,,2023
Alan Varela,ARG,MF,21,26.3,1421.0,1595.0,89.1,24963.0,7190.0,592.0,648.0,91.4,691.0,733.0,94.3,111.0,154.0,72.1,1,1.5,1.4,-0.5,18.0,99.0,8.0,1.0,95.0,,2023
Nicolás Valentini,ARG,DF,21,25.7,1155.0,1459.0,79.2,21790.0,9621.0,417.0,466.0,89.5,615.0,722.0,85.2,111.0,224.0,49.6,0,0.1,0.2,-0.1,4.0,68.0,1.0,1.0,115.0,,2023
Bruno Valdez,PAR,"DF,FW",30,25.5,1348.0,1579.0,85.4,24605.0,7994.0,485.0,534.0,90.8,756.0,827.0,91.4,93.0,175.0,53.1,0,0.2,0.1,-0.2,2.0,34.0,0.0,0.0,69.0,,2023
Ezequiél Fernández,ARG,MF,20,25.2,1548.0,1765.0,87.7,26687.0,7405.0,719.0,785.0,91.6,627.0,692.0,90.6,159.0,200.0,79.5,1,1.6,1.9,-0.6,19.0,131.0,10.0,1.0,153.0,,2023
Marcelo Weigandt,ARG,DF,23,24.4,978.0,1274.0,76.8,15087.0,5291.0,577.0,653.0,88.4,331.0,432.0,76.6,58.0,114.0,50.9,5,2.1,1.7,2.9,17.0,58.0,17.0,8.0,87.0,,2023
Valentín Barco,ARG,"MF,DF",18,22.9,892.0,1228.0,72.6,14283.0,5232.0,506.0,583.0,86.8,273.0,385.0,70.9,88.0,183.0,48.1,4,3.9,4.4,0.1,32.0,89.0,38.0,12.0,129.0,,2023
Darío Benedetto,ARG,FW,32,19.2,236.0,365.0,64.7,3922.0,624.0,120.0,159.0,75.5,81.0,125.0,64.8,26.0,48.0,54.2,2,1.7,1.1,0.3,17.0,22.0,10.0,1.0,33.0,,2023
Sebastián Villa,COL,"FW,MF",26,18.9,511.0,771.0,66.3,9317.0,2335.0,247.0,306.0,80.7,189.0,250.0,75.6,65.0,155.0,41.9,3,5.0,4.0,-2.0,39.0,43.0,32.0,12.0,75.0,,2023
Facundo Roncaglia,ARG,DF,35,15.7,689.0,826.0,83.4,13256.0,4845.0,229.0,254.0,90.2,383.0,424.0,90.3,69.0,119.0,58.0,0,0.1,0.1,-0.1,2.0,34.0,1.0,0.0,52.0,,2023
Óscar Romero,PAR,"FW,MF",30,13.6,705.0,904.0,78.0,12895.0,3493.0,331.0,383.0,86.4,257.0,298.0,86.2,99.0,168.0,58.9,4,2.3,2.9,1.7,29.0,108.0,26.0,2.0,120.0,,2023
Edinson Cavani,URU,FW,35,12.6,231.0,302.0,76.5,3593.0,496.0,118.0,143.0,82.5,87.0,105.0,82.9,13.0,25.0,52.0,0,1.1,0.7,-1.1,10.0,14.0,9.0,0.0,25.0,,2023
Marcelo Saracchi,URU,DF,24,11.6,574.0,712.0,80.6,10057.0,3268.0,268.0,309.0,86.7,238.0,283.0,84.1,62.0,91.0,68.1,2,2.5,2.0,-0.5,13.0,36.0,12.0,8.0,50.0,,2023
Luca Langoni,ARG,"FW,MF",20,10.3,168.0,229.0,73.4,2449.0,301.0,106.0,124.0,85.5,46.0,58.0,79.3,13.0,24.0,54.2,1,0.7,0.6,0.3,7.0,6.0,5.0,3.0,11.0,,2023
Lucas Janson,ARG,"FW,MF",28,9.5,213.0,293.0,72.7,3234.0,634.0,128.0,149.0,85.9,57.0,80.0,71.3,21.0,36.0,58.3,0,0.2,0.3,-0.2,5.0,11.0,5.0,2.0,26.0,,2023
Marcos Rojo,ARG,DF,32,9.0,486.0,581.0,83.6,8885.0,3773.0,197.0,216.0,91.2,253.0,282.0,89.7,34.0,72.0,47.2,0,0.0,0.1,0.0,0.0,30.0,1.0,0.0,35.0,,2023
Javier Hernán García,ARG,GK,36,9.0,197.0,261.0,75.5,4619.0,3206.0,48.0,48.0,100.0,107.0,111.0,96.4,42.0,100.0,42.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2023
Juan Ramírez,ARG,"MF,FW",29,8.9,342.0,415.0,82.4,4798.0,1072.0,210.0,238.0,88.2,101.0,117.0,86.3,16.0,33.0,48.5,1,1.3,0.7,-0.3,12.0,35.0,10.0,3.0,40.0,,2023
Jorman Campuzano,COL,MF,26,8.3,506.0,550.0,92.0,9133.0,1926.0,208.0,223.0,93.3,244.0,252.0,96.8,48.0,60.0,80.0,0,0.0,0.1,0.0,1.0,27.0,2.0,0.0,36.0,,2023
Exequiel Zeballos,ARG,"FW,DF",20,8.0,167.0,272.0,61.4,3031.0,859.0,84.0,104.0,80.8,58.0,87.0,66.7,21.0,61.0,34.4,4,2.1,2.0,1.9,16.0,8.0,11.0,7.0,18.0,,2023
Martín Payero,ARG,MF,24,7.6,246.0,324.0,75.9,3854.0,945.0,123.0,143.0,86.0,100.0,120.0,83.3,14.0,35.0,40.0,1,1.1,0.6,-0.1,10.0,32.0,2.0,1.0,36.0,,2023
