player,nation,position,age,nineties,passes_attempted,passes_live,passes_dead,passes_from_free_kicks,through_balls,switches,crosses,throw_ins,corner_kicks,corners_inswinging,corners_outswinging,corners_straight,passes_completed,offsides_passes,passes_blocked,fbref_comp_id,season
Ramón Ábila,ARG,FW,29.0,5.2,92.0,86.0,6.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,59.0,0.0,3.0,21.0,2019
Emmanuel Más,ARG,DF,30.0,4.9,175.0,114.0,59.0,3.0,0.0,1.0,5,56.0,0.0,0.0,0.0,0.0,117.0,2.0,3.0,21.0,2019
Paolo Goltz,ARG,DF,34.0,4.0,228.0,212.0,15.0,14.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,178.0,1.0,4.0,21.0,2019
Daniele De Rossi,ITA,MF,36.0,3.8,170.0,155.0,15.0,15.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,21.0,2019
Marcos Guillermo Díaz,ARG,GK,33.0,3.0,98.0,58.0,39.0,11.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0,21.0,2019
Marcelo Weigandt,ARG,DF,19.0,3.0,119.0,78.0,41.0,1.0,0.0,0.0,5,40.0,0.0,0.0,0.0,0.0,72.0,0.0,9.0,21.0,2019
Carlos Zambrano,PER,DF,30.0,0.7,46.0,43.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,21.0,2019
Gastón Ávila,ARG,DF,17.0,0.1,2.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2019
Carlos Izquierdoz,ARG,DF,31.0,19.7,654.0,633.0,20.0,19.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,546.0,1.0,3.0,,2020
Esteban Andrada,ARG,GK,29.0,18.7,420.0,305.0,114.0,29.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,307.0,1.0,1.0,,2020
Nicolás Capaldo,ARG,MF,22.0,17.3,305.0,297.0,8.0,6.0,0.0,2.0,3,2.0,0.0,0.0,0.0,0.0,246.0,0.0,4.0,,2020
Sebastián Villa,COL,"MF,FW",23.0,15.1,230.0,206.0,20.0,6.0,1.0,1.0,83,3.0,11.0,4.0,3.0,0.0,142.0,4.0,10.0,,2020
Jorman Campuzano,COL,MF,23.0,14.8,463.0,439.0,22.0,20.0,0.0,7.0,1,2.0,0.0,0.0,0.0,0.0,395.0,2.0,5.0,,2020
Julio Buffarini,ARG,DF,31.0,14.4,259.0,196.0,63.0,5.0,0.0,2.0,37,57.0,1.0,0.0,1.0,0.0,213.0,0.0,5.0,,2020
Carlos Tevez,ARG,FW,35.0,14.3,405.0,362.0,36.0,6.0,2.0,2.0,32,2.0,21.0,3.0,16.0,0.0,312.0,7.0,13.0,,2020
Leonardo Jara,ARG,DF,28.0,14.1,421.0,323.0,97.0,7.0,0.0,1.0,17,90.0,0.0,0.0,0.0,0.0,330.0,1.0,7.0,,2020
Eduardo Salvio,ARG,MF,29.0,13.7,299.0,292.0,5.0,0.0,0.0,2.0,24,3.0,2.0,0.0,2.0,0.0,211.0,2.0,8.0,,2020
Carlos Zambrano,PER,DF,30.0,13.1,126.0,120.0,6.0,6.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,,2020
Frank Fabra,COL,DF,28.0,12.7,451.0,376.0,73.0,5.0,0.0,0.0,28,68.0,0.0,0.0,0.0,0.0,343.0,2.0,13.0,,2020
Edwin Cardona,COL,"MF,FW",27.0,12.6,286.0,241.0,41.0,9.0,1.0,7.0,70,6.0,26.0,8.0,13.0,0.0,211.0,4.0,2.0,,2020
Emmanuel Más,ARG,"DF,MF",31.0,11.6,188.0,147.0,40.0,6.0,0.0,1.0,37,34.0,0.0,0.0,0.0,0.0,139.0,1.0,5.0,,2020
Lisandro López,ARG,DF,30.0,11.3,513.0,496.0,17.0,16.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,411.0,0.0,4.0,,2020
Franco Soldano,ARG,FW,25.0,10.1,140.0,130.0,8.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,81.0,2.0,8.0,,2020
Ramón Ábila,ARG,FW,30.0,9.2,37.0,36.0,1.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,,2020
Mauro Zárate,ARG,"FW,MF",32.0,7.8,17.0,16.0,1.0,0.0,0.0,0.0,21,0.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,,2020
Agustín Rossi,ARG,GK,24.0,6.0,,,,,,,0,,,,,,,,,,2020
Guillermo Matías Fernández,ARG,MF,28.0,5.4,369.0,348.0,21.0,19.0,0.0,7.0,9,0.0,2.0,1.0,1.0,0.0,327.0,0.0,9.0,,2020
Agustín Obando,ARG,"MF,FW",19.0,5.2,101.0,100.0,1.0,0.0,0.0,0.0,31,1.0,0.0,0.0,0.0,0.0,70.0,0.0,7.0,,2020
Diego González,ARG,MF,31.0,4.7,94.0,90.0,2.0,1.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,72.0,2.0,5.0,,2020
Gastón Ávila,ARG,DF,18.0,4.0,,,,,,,1,,,,,,,,,,2020
Gonzalo Maroni,ARG,"MF,FW",20.0,3.5,42.0,34.0,8.0,1.0,0.0,0.0,16,0.0,7.0,3.0,3.0,0.0,24.0,0.0,3.0,,2020
Alan Varela,ARG,MF,18.0,3.2,,,,,,,1,,,,,,,,,,2020
Exequiel Zeballos,ARG,"FW,MF",17.0,2.7,,,,,,,11,,,,,,,,,,2020
Júnior Alonso,PAR,DF,26.0,1.3,82.0,82.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,,2020
Emanuel Reynoso,ARG,"MF,FW",24.0,1.2,118.0,106.0,12.0,6.0,1.0,2.0,11,1.0,5.0,2.0,3.0,0.0,98.0,0.0,1.0,,2020
Iván Marcone,ARG,MF,29.0,1.1,70.0,67.0,3.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,,2020
Walter Bou,ARG,FW,26.0,1.0,22.0,20.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,,2020
Luis Vázquez,ARG,FW,19.0,0.0,,,,,,,0,,,,,,,,,,2020
Carlos Izquierdoz,ARG,DF,32.0,40.3,2365.0,2250.0,113.0,97.0,2.0,11.0,0,16.0,0.0,0.0,0.0,0.0,2007.0,2.0,13.0,,2021
Agustín Rossi,ARG,GK,25.0,33.0,1036.0,702.0,329.0,90.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,729.0,5.0,0.0,,2021
Frank Fabra,COL,DF,29.0,32.4,1890.0,1537.0,340.0,41.0,0.0,6.0,108,299.0,0.0,0.0,0.0,0.0,1438.0,13.0,49.0,,2021
Sebastián Villa,COL,"FW,MF",24.0,24.9,772.0,734.0,32.0,11.0,2.0,6.0,131,6.0,15.0,3.0,9.0,0.0,512.0,6.0,26.0,,2021
Jorman Campuzano,COL,MF,24.0,23.4,1265.0,1215.0,49.0,46.0,0.0,15.0,3,3.0,0.0,0.0,0.0,0.0,1117.0,1.0,15.0,,2021
Cristian Medina,ARG,MF,18.0,23.0,972.0,954.0,17.0,10.0,1.0,5.0,16,4.0,1.0,0.0,0.0,0.0,833.0,1.0,23.0,,2021
Cristian Pavón,ARG,"FW,MF",25.0,22.2,885.0,793.0,90.0,22.0,1.0,13.0,131,12.0,54.0,12.0,34.0,0.0,612.0,2.0,21.0,,2021
Lisandro López,ARG,DF,31.0,22.2,1352.0,1293.0,55.0,52.0,1.0,10.0,1,3.0,0.0,0.0,0.0,0.0,1167.0,4.0,4.0,,2021
Marcos Rojo,ARG,DF,30.0,21.9,1433.0,1396.0,36.0,32.0,1.0,23.0,5,4.0,0.0,0.0,0.0,0.0,1168.0,1.0,10.0,,2021
Agustín Almendra,ARG,MF,20.0,19.5,1207.0,1164.0,39.0,19.0,3.0,29.0,30,4.0,15.0,9.0,6.0,0.0,975.0,4.0,26.0,,2021
Alan Varela,ARG,MF,19.0,16.2,1026.0,997.0,25.0,24.0,3.0,14.0,1,1.0,0.0,0.0,0.0,0.0,907.0,4.0,13.0,,2021
Luis Vázquez,ARG,FW,20.0,16.0,305.0,288.0,16.0,0.0,0.0,1.0,9,2.0,0.0,0.0,0.0,0.0,205.0,1.0,10.0,,2021
Carlos Tevez,ARG,FW,36.0,15.4,561.0,526.0,29.0,4.0,3.0,4.0,7,2.0,2.0,1.0,1.0,0.0,464.0,6.0,10.0,,2021
Carlos Zambrano,PER,DF,31.0,14.8,896.0,861.0,34.0,29.0,1.0,2.0,2,5.0,0.0,0.0,0.0,0.0,798.0,1.0,5.0,,2021
Nicolás Capaldo,ARG,"DF,MF",23.0,14.6,732.0,594.0,136.0,10.0,0.0,1.0,21,124.0,2.0,0.0,2.0,0.0,578.0,2.0,13.0,,2021
Edwin Cardona,COL,MF,28.0,14.0,940.0,816.0,117.0,39.0,9.0,19.0,97,13.0,61.0,20.0,35.0,1.0,676.0,7.0,15.0,,2021
Juan Ramírez,ARG,MF,27.0,12.5,657.0,634.0,22.0,10.0,4.0,1.0,20,3.0,7.0,2.0,3.0,0.0,565.0,1.0,13.0,,2021
Luis Advíncula,PER,DF,30.0,11.6,623.0,489.0,133.0,3.0,0.0,7.0,28,130.0,0.0,0.0,0.0,0.0,483.0,1.0,17.0,,2021
Norberto Briasco,ARM,FW,24.0,11.0,307.0,296.0,11.0,3.0,1.0,2.0,31,4.0,0.0,0.0,0.0,0.0,215.0,0.0,25.0,,2021
Esteban Andrada,ARG,GK,30.0,11.0,407.0,296.0,107.0,25.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,321.0,4.0,1.0,,2021
Aaron Nicolás Molinas,ARG,FW,20.0,10.6,701.0,638.0,63.0,23.0,4.0,15.0,57,8.0,28.0,8.0,19.0,0.0,574.0,0.0,21.0,,2021
Agustín Sández,PAR,DF,20.0,10.4,567.0,455.0,109.0,7.0,0.0,1.0,44,102.0,0.0,0.0,0.0,0.0,455.0,3.0,16.0,,2021
Marcelo Weigandt,ARG,DF,21.0,10.4,521.0,400.0,118.0,3.0,0.0,2.0,17,115.0,0.0,0.0,0.0,0.0,403.0,3.0,17.0,,2021
Esteban Rolón,ARG,MF,25.0,10.0,478.0,463.0,12.0,11.0,0.0,5.0,0,1.0,0.0,0.0,0.0,0.0,397.0,3.0,10.0,,2021
Rodrigo Montes,ARG,"MF,FW",21.0,8.6,403.0,397.0,6.0,1.0,0.0,1.0,6,2.0,0.0,0.0,0.0,0.0,330.0,0.0,12.0,,2021
Julio Buffarini,ARG,DF,32.0,8.6,471.0,378.0,92.0,18.0,0.0,1.0,15,74.0,0.0,0.0,0.0,0.0,382.0,1.0,7.0,,2021
Diego González,ARG,MF,32.0,7.9,412.0,402.0,5.0,3.0,3.0,2.0,9,1.0,0.0,0.0,0.0,0.0,322.0,5.0,10.0,,2021
Franco Soldano,ARG,FW,26.0,6.5,132.0,123.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,5.0,,2021
Agustín Obando,ARG,"FW,MF",20.0,5.9,179.0,165.0,10.0,1.0,0.0,0.0,24,1.0,8.0,0.0,7.0,0.0,125.0,4.0,9.0,,2021
Gonzalo Maroni,ARG,"FW,MF",21.0,5.7,218.0,192.0,25.0,5.0,1.0,0.0,16,9.0,11.0,2.0,6.0,1.0,177.0,1.0,3.0,,2021
Eros Mancuso,ARG,DF,21.0,4.7,252.0,195.0,56.0,3.0,0.0,1.0,5,53.0,0.0,0.0,0.0,0.0,197.0,1.0,6.0,,2021
Nicolás Orsini,ARG,FW,26.0,4.5,76.0,69.0,6.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,50.0,1.0,3.0,,2021
Mauro Zárate,ARG,"FW,MF",33.0,4.4,140.0,114.0,25.0,8.0,0.0,1.0,20,3.0,10.0,6.0,4.0,0.0,108.0,1.0,3.0,,2021
Eduardo Salvio,ARG,"FW,MF",30.0,4.4,148.0,143.0,5.0,0.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,124.0,0.0,6.0,,2021
Exequiel Zeballos,ARG,MF,18.0,3.9,135.0,121.0,14.0,4.0,0.0,0.0,23,3.0,7.0,3.0,4.0,0.0,95.0,0.0,4.0,,2021
Emmanuel Más,ARG,DF,32.0,3.8,237.0,198.0,39.0,4.0,0.0,0.0,9,35.0,0.0,0.0,0.0,0.0,191.0,0.0,6.0,,2021
Leonardo Jara,ARG,MF,29.0,3.5,171.0,156.0,14.0,5.0,0.0,1.0,1,9.0,0.0,0.0,0.0,0.0,140.0,1.0,4.0,,2021
Javier Hernán García,ARG,GK,34.0,3.0,112.0,82.0,29.0,9.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,87.0,1.0,0.0,,2021
Ezequiél Fernández,ARG,MF,18.0,2.5,187.0,177.0,10.0,9.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,161.0,0.0,2.0,,2021
Valentín Barco,ARG,DF,16.0,2.3,129.0,75.0,54.0,8.0,0.0,3.0,14,44.0,2.0,0.0,2.0,0.0,92.0,0.0,6.0,,2021
Vicente Taborda,ARG,"MF,FW",19.0,2.1,83.0,77.0,6.0,1.0,1.0,0.0,4,0.0,3.0,3.0,0.0,0.0,60.0,0.0,4.0,,2021
Gabriel Vega,ARG,MF,18.0,2.1,107.0,99.0,7.0,3.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,94.0,1.0,2.0,,2021
Gabriel Aranda,ARG,DF,19.0,2.0,78.0,76.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,,2021
Balthazar Bernardi,ARG,DF,19.0,2.0,96.0,94.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,79.0,1.0,2.0,,2021
Agustín Lastra,ARG,GK,20.0,2.0,51.0,35.0,16.0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,,2021
Renzo Giampaoli,ARG,DF,21.0,2.0,137.0,123.0,14.0,6.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,116.0,0.0,2.0,,2021
Israel Escalante,ARG,FW,22.0,1.4,24.0,21.0,3.0,0.0,0.0,0.0,6,1.0,2.0,2.0,0.0,0.0,11.0,0.0,1.0,,2021
Érik Bodencer,ARG,FW,20.0,1.2,12.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,2021
Ezequiel Almirón,ARG,FW,18.0,0.3,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,2021
Nicolás Valentini,ARG,DF,19.0,0.3,29.0,29.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,,2021
Juan Cabaña,ARG,MF,19.0,0.2,7.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,2021
Kevin Duarte,ARG,MF,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021
Nahuel Génez,ARG,DF,17.0,0.1,5.0,3.0,2.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,2021
Iván Alvariño,ARG,FW,19.0,0.1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2021
Lucas Palma,ARG,FW,17.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2021
Agustín Rossi,ARG,GK,26.0,44.2,1318.0,854.0,461.0,140.0,0.0,3.0,0,1.0,0.0,0.0,0.0,0.0,874.0,3.0,0.0,,2022
Guillermo Matías Fernández,ARG,MF,30.0,42.2,2151.0,2083.0,66.0,40.0,2.0,37.0,19,10.0,4.0,3.0,1.0,0.0,1840.0,2.0,28.0,,2022
Frank Fabra,COL,DF,30.0,41.9,2503.0,2067.0,426.0,57.0,3.0,15.0,143,369.0,0.0,0.0,0.0,0.0,1919.0,10.0,47.0,,2022
Luis Advíncula,PER,DF,31.0,41.1,2148.0,1691.0,455.0,35.0,0.0,18.0,64,419.0,1.0,0.0,1.0,0.0,1734.0,2.0,33.0,,2022
Sebastián Villa,COL,"MF,FW",25.0,32.7,1174.0,999.0,172.0,64.0,3.0,21.0,298,5.0,103.0,35.0,48.0,0.0,774.0,3.0,42.0,,2022
Alan Varela,ARG,MF,20.0,32.3,1713.0,1671.0,37.0,34.0,3.0,27.0,8,2.0,1.0,0.0,1.0,0.0,1490.0,5.0,18.0,,2022
Óscar Romero,PAR,MF,29.0,31.5,1860.0,1621.0,225.0,94.0,4.0,42.0,175,30.0,95.0,24.0,55.0,0.0,1397.0,14.0,45.0,,2022
Darío Benedetto,ARG,FW,31.0,30.0,573.0,527.0,42.0,2.0,4.0,14.0,16,4.0,0.0,0.0,0.0,0.0,378.0,4.0,16.0,,2022
Marcos Rojo,ARG,DF,31.0,28.4,1707.0,1646.0,55.0,48.0,0.0,16.0,2,5.0,0.0,0.0,0.0,0.0,1405.0,6.0,15.0,,2022
Juan Ramírez,ARG,MF,28.0,24.8,984.0,958.0,22.0,10.0,1.0,1.0,27,7.0,4.0,0.0,3.0,0.0,849.0,4.0,13.0,,2022
Carlos Zambrano,PER,DF,32.0,24.7,1233.0,1183.0,48.0,42.0,0.0,7.0,0,4.0,0.0,0.0,0.0,0.0,1017.0,2.0,6.0,,2022
Luis Vázquez,ARG,FW,21.0,21.5,392.0,371.0,21.0,0.0,0.0,2.0,6,1.0,0.0,0.0,0.0,0.0,249.0,0.0,14.0,,2022
Cristian Medina,ARG,MF,19.0,16.0,678.0,658.0,18.0,6.0,0.0,2.0,18,11.0,0.0,0.0,0.0,0.0,543.0,2.0,29.0,,2022
Carlos Izquierdoz,ARG,DF,33.0,15.7,907.0,855.0,52.0,43.0,0.0,6.0,1,2.0,0.0,0.0,0.0,0.0,769.0,0.0,10.0,,2022
Jorge Figal,ARG,DF,27.0,15.1,867.0,800.0,66.0,18.0,0.0,16.0,5,48.0,0.0,0.0,0.0,0.0,665.0,1.0,10.0,,2022
Exequiel Zeballos,ARG,"MF,FW",19.0,14.9,471.0,402.0,66.0,9.0,1.0,5.0,95,6.0,49.0,7.0,30.0,1.0,324.0,3.0,21.0,,2022
Eduardo Salvio,ARG,MF,31.0,11.9,384.0,360.0,22.0,1.0,1.0,0.0,26,14.0,3.0,0.0,3.0,0.0,302.0,2.0,19.0,,2022
Agustín Sández,PAR,DF,21.0,11.8,667.0,516.0,149.0,12.0,0.0,3.0,26,137.0,0.0,0.0,0.0,0.0,515.0,2.0,20.0,,2022
Gabriel Aranda,ARG,DF,20.0,11.0,522.0,510.0,12.0,10.0,0.0,3.0,0,1.0,0.0,0.0,0.0,0.0,466.0,0.0,3.0,,2022
Aaron Nicolás Molinas,ARG,MF,21.0,11.0,652.0,591.0,56.0,24.0,4.0,22.0,35,11.0,15.0,1.0,10.0,0.0,522.0,5.0,16.0,,2022
Luca Langoni,ARG,"FW,MF",19.0,10.5,172.0,170.0,2.0,0.0,1.0,1.0,17,2.0,0.0,0.0,0.0,0.0,123.0,0.0,9.0,,2022
Jorman Campuzano,COL,MF,25.0,9.9,473.0,450.0,21.0,19.0,1.0,5.0,0,2.0,0.0,0.0,0.0,0.0,403.0,2.0,3.0,,2022
Marcelo Weigandt,ARG,DF,22.0,9.0,565.0,458.0,106.0,10.0,0.0,2.0,17,96.0,0.0,0.0,0.0,0.0,432.0,1.0,20.0,,2022
Facundo Roncaglia,ARG,DF,34.0,8.7,451.0,438.0,12.0,10.0,0.0,3.0,1,2.0,0.0,0.0,0.0,0.0,355.0,1.0,3.0,,2022
Javier Hernán García,ARG,GK,35.0,8.0,231.0,169.0,62.0,17.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,,2022
Martín Payero,ARG,"MF,FW",23.0,7.5,238.0,222.0,15.0,6.0,0.0,4.0,8,4.0,5.0,0.0,4.0,0.0,181.0,1.0,7.0,,2022
Nicolás Orsini,ARG,FW,27.0,5.6,123.0,119.0,3.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,87.0,1.0,6.0,,2022
Esteban Rolón,ARG,MF,26.0,4.4,270.0,258.0,12.0,12.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,3.0,,2022
Gastón Ávila,ARG,DF,20.0,3.6,213.0,207.0,5.0,5.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,175.0,1.0,4.0,,2022
Diego González,ARG,MF,33.0,3.0,154.0,149.0,3.0,1.0,0.0,2.0,1,2.0,0.0,0.0,0.0,0.0,124.0,2.0,2.0,,2022
Norberto Briasco,ARM,"FW,MF",25.0,1.7,27.0,25.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,,2022
Gonzalo Morales,ARG,FW,18.0,1.5,20.0,19.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,,2022
Gabriel Vega,ARG,MF,19.0,1.0,39.0,38.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,,2022
Maximiliano Zalazar,ARG,"FW,MF",20.0,0.6,15.0,15.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,2022
Leandro Brey,ARG,GK,19.0,0.5,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2022
