player,nation,position,age,matches_played,minutes,minutes_per_match,minutes_pct,nineties,starts,mn_start,compl,subs,mn_sub,unsub,ppm,ong,onga,goals_plus_minus_on_pitch,goals_plus_minus_on_pitch_per90,on_off,season,onxg,onxga,xg_,xg_90,on_off_1,fbref_comp_id
Jorman Campuzano,COL,MF,24.0,28.0,2110.0,75.0,47.8,23.4,24,82.0,15.0,4,35.0,5.0,1.61,33.0,20.0,13.0,0.55,-0.11,2021,29.3,20.2,9.1,0.4,-0.09,
Cristian Medina,ARG,MF,18.0,35.0,2072.0,59.0,47.0,23.0,23,78.0,7.0,12,23.0,7.0,1.72,28.0,18.0,10.0,0.43,-0.34,2021,30.2,19.7,10.5,0.46,0.03,
Cristian Pavón,ARG,"FW,MF",25.0,32.0,2000.0,63.0,45.4,22.2,21,83.0,7.0,11,24.0,3.0,1.65,27.0,15.0,12.0,0.54,-0.13,2021,26.6,15.9,10.7,0.5,0.1,
Lisandro López,ARG,DF,31.0,24.0,1997.0,83.0,45.3,22.2,21,91.0,20.0,3,29.0,20.0,1.92,41.0,15.0,26.0,1.17,1.02,2021,33.7,17.7,16.0,0.73,0.51,
Marcos Rojo,ARG,DF,30.0,26.0,1975.0,76.0,44.8,21.9,22,85.0,18.0,4,27.0,3.0,1.42,20.0,12.0,8.0,0.36,-0.45,2021,24.6,19.2,5.4,0.25,-0.34,
Agustín Almendra,ARG,MF,20.0,29.0,1755.0,61.0,39.8,19.5,24,70.0,5.0,5,17.0,3.0,1.93,25.0,14.0,11.0,0.56,-0.08,2021,28.1,18.0,10.1,0.52,0.12,
Alan Varela,ARG,MF,19.0,27.0,1454.0,54.0,33.0,16.2,15,81.0,10.0,12,20.0,17.0,1.82,23.0,7.0,16.0,0.99,0.56,2021,21.7,11.4,10.3,0.65,0.3,
Luis Vázquez,ARG,FW,20.0,26.0,1444.0,56.0,32.7,16.0,15,83.0,8.0,11,18.0,15.0,1.81,23.0,11.0,12.0,0.75,0.2,2021,23.9,14.8,9.1,0.57,0.18,
Carlos Tevez,ARG,FW,36.0,17.0,1385.0,81.0,64.1,15.4,15,90.0,7.0,2,21.0,0.0,1.59,24.0,12.0,12.0,0.78,0.55,2021,22.2,12.4,9.8,0.66,0.66,
Carlos Zambrano,PER,DF,31.0,15.0,1329.0,89.0,30.1,14.8,14,90.0,11.0,1,70.0,17.0,1.4,28.0,14.0,14.0,0.95,0.48,2021,20.0,9.8,10.2,0.71,0.36,
Nicolás Capaldo,ARG,"DF,MF",23.0,17.0,1317.0,77.0,61.0,14.6,15,83.0,10.0,2,36.0,2.0,1.77,21.0,10.0,11.0,0.75,0.43,2021,19.3,12.4,6.9,0.47,0.16,
Edwin Cardona,COL,MF,28.0,21.0,1258.0,60.0,28.5,14.0,16,70.0,4.0,5,28.0,2.0,1.52,24.0,11.0,13.0,0.93,0.44,2021,19.9,9.3,10.6,0.78,0.46,
Juan Ramírez,ARG,MF,27.0,16.0,1124.0,70.0,50.0,12.5,13,82.0,6.0,3,18.0,1.0,1.69,13.0,7.0,6.0,0.48,-0.32,2021,15.1,10.2,4.9,0.4,-0.18,
Luis Advíncula,PER,DF,30.0,13.0,1042.0,80.0,46.3,11.6,12,86.0,11.0,1,5.0,1.0,1.46,11.0,8.0,3.0,0.26,-0.71,2021,14.5,8.1,6.5,0.56,0.14,
Norberto Briasco,ARM,FW,24.0,17.0,992.0,58.0,33.1,11.0,10,82.0,4.0,7,25.0,4.0,1.59,7.0,6.0,1.0,0.09,-0.76,2021,10.6,9.6,1.0,0.09,-0.49,
Esteban Andrada,ARG,GK,30.0,11.0,990.0,90.0,45.8,11.0,11,90.0,11.0,0,,1.0,1.54,19.0,10.0,9.0,0.82,0.43,2021,14.3,9.3,5.0,0.46,0.09,
Aaron Nicolás Molinas,ARG,FW,20.0,19.0,958.0,50.0,31.9,10.6,10,73.0,4.0,9,26.0,5.0,1.74,22.0,7.0,15.0,1.41,1.19,2021,14.7,9.2,5.5,0.53,0.17,
Agustín Sández,PAR,DF,20.0,13.0,935.0,72.0,21.2,10.4,10,88.0,8.0,3,17.0,22.0,1.62,15.0,5.0,10.0,0.96,0.44,2021,11.9,7.8,4.2,0.41,-0.04,
Marcelo Weigandt,ARG,DF,21.0,12.0,933.0,78.0,31.1,10.4,10,86.0,7.0,2,36.0,4.0,1.58,12.0,6.0,6.0,0.58,-0.03,2021,12.3,10.3,2.1,0.21,-0.3,
Esteban Rolón,ARG,MF,25.0,13.0,897.0,69.0,29.9,10.0,9,88.0,7.0,4,27.0,11.0,1.54,11.0,4.0,7.0,0.7,0.15,2021,11.1,7.5,3.6,0.38,-0.05,
Rodrigo Montes,ARG,"MF,FW",21.0,10.0,776.0,78.0,34.5,8.6,9,83.0,4.0,1,26.0,3.0,2.0,11.0,7.0,4.0,0.46,-0.27,2021,12.6,8.5,4.1,0.47,-0.02,
Julio Buffarini,ARG,DF,32.0,13.0,775.0,60.0,35.9,8.6,7,88.0,6.0,6,27.0,8.0,1.7,9.0,7.0,2.0,0.23,-0.55,2021,8.7,7.0,1.7,0.21,-0.31,
Diego González,ARG,MF,32.0,17.0,713.0,42.0,16.2,7.9,7,72.0,0.0,10,21.0,12.0,1.77,10.0,5.0,5.0,0.63,0.02,2021,7.7,5.5,2.3,0.3,-0.18,
Franco Soldano,ARG,FW,26.0,16.0,581.0,36.0,26.9,6.5,5,84.0,4.0,11,15.0,5.0,1.69,6.0,4.0,2.0,0.31,-0.37,2021,6.1,5.3,0.8,0.12,-0.4,
Agustín Obando,ARG,"FW,MF",20.0,11.0,532.0,48.0,12.1,5.9,5,78.0,1.0,6,23.0,17.0,1.64,4.0,3.0,1.0,0.17,-0.5,2021,6.2,6.6,-0.4,-0.07,-0.59,
Gonzalo Maroni,ARG,"FW,MF",21.0,13.0,516.0,40.0,23.9,5.7,5,73.0,2.0,8,19.0,8.0,1.46,10.0,5.0,5.0,0.87,0.38,2021,8.3,5.4,2.9,0.53,0.16,
Eros Mancuso,ARG,DF,21.0,6.0,423.0,71.0,9.6,4.7,4,90.0,4.0,2,32.0,17.0,1.67,11.0,5.0,6.0,1.28,0.78,2021,8.3,5.0,3.3,0.71,0.27,
Nicolás Orsini,ARG,FW,26.0,9.0,409.0,45.0,13.6,4.5,5,66.0,0.0,4,20.0,0.0,1.78,6.0,4.0,2.0,0.44,-0.19,2021,5.1,2.9,2.2,0.53,0.13,
Mauro Zárate,ARG,"FW,MF",33.0,8.0,400.0,50.0,18.5,4.4,4,66.0,0.0,4,35.0,3.0,1.5,8.0,5.0,3.0,0.68,0.05,2021,5.9,3.4,2.5,0.56,0.06,
Eduardo Salvio,ARG,"FW,MF",30.0,9.0,396.0,44.0,10.8,4.4,5,62.0,0.0,4,22.0,0.0,1.78,10.0,1.0,9.0,2.05,1.58,2021,7.1,2.5,4.6,1.05,0.62,
Exequiel Zeballos,ARG,MF,18.0,11.0,350.0,32.0,7.9,3.9,4,69.0,1.0,7,11.0,28.0,1.55,8.0,3.0,5.0,1.29,0.73,2021,5.4,2.9,2.5,0.63,0.2,
Emmanuel Más,ARG,DF,32.0,6.0,338.0,56.0,15.6,3.8,3,86.0,2.0,3,26.0,11.0,1.5,2.0,1.0,1.0,0.27,-0.38,2021,3.5,2.9,0.5,0.16,-0.3,
Leonardo Jara,ARG,MF,29.0,8.0,313.0,39.0,14.5,3.5,2,74.0,0.0,6,28.0,12.0,2.38,6.0,3.0,3.0,0.86,0.33,2021,5.4,3.1,2.3,0.68,0.31,
Javier Hernán García,ARG,GK,34.0,3.0,270.0,90.0,6.1,3.0,3,90.0,3.0,0,,28.0,1.33,9.0,3.0,6.0,2.0,1.47,2021,4.1,2.7,1.4,0.47,-0.03,
Ezequiél Fernández,ARG,MF,18.0,3.0,225.0,75.0,5.1,2.5,3,75.0,1.0,0,,9.0,0.33,0.0,2.0,-2.0,-0.8,-1.53,2021,1.8,2.5,-0.7,-0.28,-0.83,
Valentín Barco,ARG,DF,16.0,3.0,205.0,68.0,9.1,2.3,2,80.0,0.0,1,45.0,2.0,0.67,1.0,2.0,-1.0,-0.44,-1.19,2021,1.6,2.4,-0.8,-0.37,-0.94,
Vicente Taborda,ARG,"MF,FW",19.0,3.0,188.0,63.0,8.4,2.1,2,88.0,1.0,1,13.0,2.0,0.33,0.0,2.0,-2.0,-0.96,-1.74,2021,1.7,2.4,-0.7,-0.33,-0.89,
Gabriel Vega,ARG,MF,18.0,3.0,187.0,62.0,8.3,2.1,2,90.0,2.0,1,7.0,1.0,0.33,0.0,2.0,-2.0,-0.96,-1.75,2021,1.7,2.5,-0.8,-0.4,-0.97,
Gabriel Aranda,ARG,DF,19.0,2.0,180.0,90.0,8.0,2.0,2,90.0,2.0,0,,0.0,0.5,0.0,2.0,-2.0,-1.0,-1.78,2021,1.5,2.5,-1.0,-0.49,-1.06,
Balthazar Bernardi,ARG,DF,19.0,2.0,180.0,90.0,8.0,2.0,2,90.0,2.0,0,,0.0,0.5,0.0,2.0,-2.0,-1.0,-1.78,2021,1.5,2.5,-1.0,-0.49,-1.06,
Agustín Lastra,ARG,GK,20.0,2.0,180.0,90.0,6.0,2.0,2,90.0,2.0,0,,4.0,0.5,1.0,2.0,-1.0,-0.5,-1.17,2021,1.5,2.5,-1.0,-0.49,-1.06,
Renzo Giampaoli,ARG,DF,21.0,2.0,180.0,90.0,4.1,2.0,2,90.0,2.0,0,,21.0,0.5,1.0,2.0,-1.0,-0.5,-1.2,2021,0.8,2.3,-1.4,-0.7,-1.27,
Israel Escalante,ARG,FW,22.0,2.0,125.0,63.0,5.6,1.4,2,63.0,0.0,0,,1.0,0.5,0.0,1.0,-1.0,-0.72,-1.44,2021,1.1,1.2,-0.1,-0.06,-0.57,
Érik Bodencer,ARG,FW,20.0,2.0,105.0,53.0,4.7,1.2,0,,0.0,2,53.0,1.0,0.5,0.0,1.0,-1.0,-0.86,-1.57,2021,0.8,1.4,-0.6,-0.5,-1.04,
Ezequiel Almirón,ARG,FW,18.0,1.0,30.0,30.0,1.3,0.3,1,30.0,0.0,0,,0.0,1.0,0.0,0.0,0.0,0.0,-0.65,2021,0.3,0.3,0.0,0.15,-0.34,
Nicolás Valentini,ARG,DF,19.0,1.0,30.0,30.0,0.7,0.3,0,,0.0,1,30.0,7.0,0.0,0.0,1.0,-1.0,-3.0,-3.72,2021,0.1,0.8,-0.7,-2.06,-2.64,
Juan Cabaña,ARG,MF,19.0,1.0,22.0,22.0,1.0,0.2,0,,0.0,1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,2021,0.1,0.1,0.0,-0.02,-0.51,
Kevin Duarte,ARG,MF,19.0,1.0,15.0,15.0,0.7,0.2,0,,0.0,1,15.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.64,2021,0.0,0.5,-0.4,-2.58,-3.09,
Nahuel Génez,ARG,DF,17.0,1.0,11.0,11.0,0.5,0.1,0,,0.0,1,11.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.64,2021,0.0,0.3,-0.3,-2.62,-3.12,
Iván Alvariño,ARG,FW,19.0,1.0,10.0,10.0,0.4,0.1,0,,0.0,1,10.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.64,2021,0.0,0.3,-0.3,-2.88,-3.38,
Lucas Palma,ARG,FW,17.0,1.0,5.0,5.0,0.2,0.1,0,,0.0,1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.64,2021,0.0,0.1,-0.1,-1.66,-2.15,
Sebastián Díaz,ARG,GK,17.0,0.0,,,,,0,,,0,,2.0,,,,,,,2021,,,,,,
Simón Rivero,ARG,MF,17.0,0.0,,,,,0,,,0,,2.0,,,,,,,2021,,,,,,
Tomás Díaz,ARG,FW,19.0,0.0,,,,,0,,,0,,2.0,,,,,,,2021,,,,,,
Santiago Pérez,ARG,DF,18.0,0.0,,,,,0,,,0,,2.0,,,,,,,2021,,,,,,
Matías Olguín,ARG,DF,19.0,0.0,,,,,0,,,0,,2.0,,,,,,,2021,,,,,,
Franco Cáceres,ARG,MF,21.0,0.0,,,,,0,,,0,,2.0,,,,,,,2021,,,,,,
Pedro Velurtas,ARG,MF,19.0,0.0,,,,,0,,,0,,1.0,,,,,,,2021,,,,,,
Ramiro Garcia,ARG,GK,19.0,0.0,,,,,0,,0.0,0,,1.0,,,,,,,2021,,,,,,
Agustín Rossi,ARG,GK,26.0,44.0,3975.0,90.0,83.9,44.2,44,90.0,43.0,0,,2.0,1.98,53.0,33.0,20.0,0.45,0.57,2022,48.9,42.5,6.5,0.15,0.45,
Guillermo Matías Fernández,ARG,MF,30.0,46.0,3794.0,82.0,80.0,42.2,44,85.0,24.0,2,20.0,1.0,1.91,50.0,29.0,21.0,0.5,0.69,2022,45.2,40.8,4.4,0.11,0.16,
Frank Fabra,COL,DF,30.0,43.0,3769.0,88.0,79.5,41.9,42,89.0,39.0,1,15.0,4.0,1.88,53.0,35.0,18.0,0.43,0.34,2022,48.5,43.2,5.3,0.13,0.27,
Luis Advíncula,PER,DF,31.0,41.0,3696.0,90.0,78.0,41.1,41,90.0,39.0,0,,5.0,1.9,45.0,30.0,15.0,0.37,0.02,2022,45.8,37.4,8.5,0.21,0.59,
Sebastián Villa,COL,"MF,FW",25.0,37.0,2942.0,80.0,62.1,32.7,32,87.0,23.0,5,35.0,1.0,1.79,45.0,26.0,19.0,0.58,0.58,2022,37.7,35.2,2.6,0.08,0.02,
Alan Varela,ARG,MF,20.0,37.0,2910.0,79.0,61.4,32.3,31,89.0,25.0,6,26.0,10.0,1.92,41.0,25.0,16.0,0.49,0.35,2022,34.4,29.2,5.3,0.17,0.24,
Óscar Romero,PAR,MF,29.0,40.0,2834.0,71.0,59.8,31.5,32,82.0,11.0,8,26.0,4.0,1.85,37.0,25.0,12.0,0.38,0.05,2022,36.5,31.4,5.1,0.16,0.23,
Darío Benedetto,ARG,FW,31.0,38.0,2701.0,71.0,57.0,30.0,33,78.0,10.0,5,24.0,4.0,1.95,41.0,19.0,22.0,0.73,0.87,2022,35.9,30.5,5.4,0.18,0.26,
Marcos Rojo,ARG,DF,31.0,29.0,2555.0,88.0,53.9,28.4,29,88.0,23.0,0,,6.0,1.9,37.0,20.0,17.0,0.6,0.52,2022,33.7,31.5,2.2,0.08,0.02,
Juan Ramírez,ARG,MF,28.0,44.0,2235.0,51.0,47.2,24.8,27,68.0,2.0,17,23.0,2.0,1.84,26.0,20.0,6.0,0.24,-0.23,2022,24.3,26.5,-2.2,-0.09,-0.3,
Carlos Zambrano,PER,DF,32.0,28.0,2226.0,80.0,47.0,24.7,25,85.0,22.0,3,34.0,10.0,1.96,29.0,20.0,9.0,0.36,0.01,2022,27.6,23.3,4.3,0.17,0.2,
Luis Vázquez,ARG,FW,21.0,44.0,1933.0,44.0,40.8,21.5,19,78.0,7.0,25,18.0,7.0,1.96,25.0,22.0,3.0,0.14,-0.37,2022,24.2,25.5,-1.3,-0.06,-0.22,
Cristian Medina,ARG,MF,19.0,35.0,1444.0,41.0,30.5,16.0,14,78.0,3.0,21,17.0,11.0,2.09,11.0,13.0,-2.0,-0.12,-0.7,2022,17.4,19.0,-1.6,-0.1,-0.24,
Carlos Izquierdoz,ARG,DF,33.0,18.0,1415.0,79.0,29.9,15.7,15,86.0,12.0,3,41.0,1.0,1.83,20.0,11.0,9.0,0.57,0.3,2022,20.0,13.5,6.5,0.43,0.5,
Jorge Figal,ARG,DF,27.0,21.0,1362.0,65.0,28.7,15.1,14,86.0,13.0,7,22.0,13.0,2.29,23.0,14.0,9.0,0.59,0.33,2022,15.5,19.7,-4.1,-0.26,-0.47,
Exequiel Zeballos,ARG,"MF,FW",19.0,26.0,1343.0,52.0,28.3,14.9,13,82.0,4.0,13,21.0,11.0,1.54,17.0,18.0,-1.0,-0.07,-0.6,2022,18.6,17.1,1.5,0.1,0.05,
Eduardo Salvio,ARG,MF,31.0,18.0,1072.0,60.0,22.6,11.9,13,75.0,4.0,5,20.0,6.0,1.78,16.0,8.0,8.0,0.67,0.4,2022,15.2,11.8,3.3,0.28,0.27,
Agustín Sández,PAR,DF,21.0,14.0,1060.0,76.0,22.4,11.8,11,89.0,10.0,3,28.0,38.0,1.79,10.0,9.0,1.0,0.08,-0.36,2022,12.1,13.5,-1.4,-0.12,-0.24,
Gabriel Aranda,ARG,DF,20.0,11.0,990.0,90.0,20.9,11.0,11,90.0,11.0,0,,9.0,2.09,11.0,8.0,3.0,0.27,-0.11,2022,11.8,12.7,-0.9,-0.09,-0.19,
Aaron Nicolás Molinas,ARG,MF,21.0,25.0,989.0,40.0,20.9,11.0,11,72.0,1.0,14,14.0,25.0,2.04,18.0,11.0,7.0,0.64,0.28,2022,13.8,12.7,1.2,0.11,0.12,
Luca Langoni,ARG,"FW,MF",19.0,18.0,949.0,53.0,29.8,10.5,11,73.0,1.0,7,21.0,7.0,1.89,15.0,8.0,7.0,0.66,0.72,2022,12.0,9.2,2.9,0.27,0.33,
Jorman Campuzano,COL,MF,25.0,16.0,891.0,56.0,18.8,9.9,9,88.0,7.0,7,15.0,16.0,1.56,10.0,11.0,-1.0,-0.1,-0.57,2022,11.6,12.2,-0.6,-0.06,-0.16,
Marcelo Weigandt,ARG,DF,22.0,11.0,811.0,74.0,17.1,9.0,8,90.0,7.0,3,31.0,25.0,1.36,12.0,14.0,-2.0,-0.22,-0.82,2022,9.7,13.9,-4.2,-0.46,-0.6,
Facundo Roncaglia,ARG,DF,34.0,11.0,781.0,71.0,32.1,8.7,8,87.0,7.0,3,28.0,6.0,2.09,7.0,7.0,0.0,0.0,-0.33,2022,8.9,8.5,0.4,0.04,-0.05,
Javier Hernán García,ARG,GK,35.0,8.0,720.0,90.0,15.2,8.0,8,90.0,8.0,0,,39.0,1.48,11.0,12.0,-1.0,-0.12,-0.57,2022,9.2,13.1,-3.8,-0.48,-0.64,
Martín Payero,ARG,"MF,FW",23.0,14.0,678.0,48.0,27.9,7.5,8,70.0,1.0,6,20.0,3.0,2.36,9.0,4.0,5.0,0.66,0.61,2022,9.7,6.3,3.5,0.46,0.53,
Nicolás Orsini,ARG,FW,27.0,18.0,508.0,28.0,10.7,5.6,4,77.0,2.0,14,14.0,22.0,1.5,0.0,9.0,-9.0,-1.59,-2.19,2022,5.2,7.8,-2.5,-0.45,-0.58,
Esteban Rolón,ARG,MF,26.0,9.0,396.0,44.0,8.4,4.4,5,75.0,2.0,4,6.0,38.0,2.23,6.0,8.0,-2.0,-0.45,-0.98,2022,4.2,7.0,-2.8,-0.63,-0.72,
Gastón Ávila,ARG,DF,20.0,6.0,320.0,53.0,6.8,3.6,4,74.0,3.0,2,12.0,12.0,1.67,3.0,6.0,-3.0,-0.84,-1.29,2022,3.7,4.8,-1.1,-0.3,-0.4,
Diego González,ARG,MF,33.0,7.0,270.0,39.0,6.8,3.0,3,70.0,0.0,4,15.0,10.0,2.43,4.0,2.0,2.0,0.67,0.26,2022,5.4,5.1,0.3,0.1,0.09,
Norberto Briasco,ARM,"FW,MF",25.0,4.0,152.0,38.0,3.2,1.7,2,57.0,0.0,2,19.0,8.0,2.5,2.0,2.0,0.0,0.0,-0.24,2022,0.5,2.0,-1.5,-0.88,-1.02,
Gonzalo Morales,ARG,FW,18.0,5.0,137.0,27.0,5.6,1.5,0,,0.0,5,27.0,2.0,2.6,3.0,2.0,1.0,0.66,0.46,2022,1.2,1.2,0.0,0.01,-0.07,
Gabriel Vega,ARG,MF,19.0,2.0,88.0,44.0,1.9,1.0,1,79.0,0.0,1,9.0,11.0,2.0,0.0,0.0,0.0,0.0,-0.79,2022,0.5,0.6,-0.1,-0.08,-0.01,
Maximiliano Zalazar,ARG,"FW,MF",20.0,2.0,58.0,29.0,2.4,0.6,0,,0.0,2,29.0,3.0,3.0,1.0,0.0,1.0,1.55,1.36,2022,0.6,0.2,0.5,0.71,0.64,
Leandro Brey,ARG,GK,19.0,1.0,45.0,45.0,0.9,0.5,0,,0.0,1,45.0,8.0,3.0,2.0,0.0,2.0,4.0,4.26,2022,1.1,0.0,1.1,2.15,1.9,
Brandon Cortés,CHI,"MF,FW",20.0,2.0,37.0,19.0,1.5,0.4,0,,0.0,2,19.0,5.0,3.0,1.0,0.0,1.0,2.43,2.24,2022,0.4,0.6,-0.3,-0.68,-0.77,
Simón Rivero,ARG,"MF,FW",18.0,2.0,16.0,8.0,0.7,0.2,0,,0.0,2,8.0,2.0,3.0,0.0,0.0,0.0,0.0,-0.22,2022,0.2,0.0,0.2,0.93,0.86,
Agustín Almendra,ARG,MF,21.0,2.0,12.0,6.0,0.8,0.1,0,,0.0,2,6.0,1.0,2.0,0.0,1.0,-1.0,-7.5,-8.31,2022,0.2,0.1,0.1,0.77,0.86,
Vicente Taborda,ARG,MF,20.0,1.0,1.0,1.0,0.0,0.0,0,,0.0,1,1.0,2.0,3.0,0.0,0.0,0.0,0.0,-0.22,2022,0.0,0.2,-0.2,-14.61,-14.69,
Lautaro Di Lollo,ARG,DF,17.0,0.0,,,,,0,,0.0,0,,4.0,,,,,,,2022,,,,,,
Mauricio Benítez,ARG,MF,17.0,0.0,,,,,0,,0.0,0,,1.0,,,,,,,2022,,,,,,
Valentín Barco,ARG,"DF,MF",17.0,0.0,,,,,0,,0.0,0,,1.0,,,,,,,2022,,,,,,
Jabes Saralegui,ARG,MF,19.0,0.0,,,,,0,,0.0,0,,1.0,,,,,,,2022,,,,,,
Nahuel Génez,ARG,DF,18.0,0.0,,,,,0,,0.0,0,,7.0,,,,,,,2022,,,,,,
Iván Alvariño,ARG,DF,20.0,0.0,,,,,0,,0.0,0,,3.0,,,,,,,2022,,,,,,
Pedro Velurtas,ARG,MF,20.0,0.0,,,,,0,,0.0,0,,5.0,,,,,,,2022,,,,,,
Sergio Romero,ARG,GK,35.0,45.0,4170.0,93.0,83.7,46.3,45,93.0,45.0,0,,8.0,1.56,52.0,36.0,16.0,0.35,0.35,2023,52.9,47.2,5.7,0.13,-0.44,
Jorge Figal,ARG,DF,28.0,42.0,3645.0,87.0,73.2,40.5,41,89.0,37.0,1,10.0,5.0,1.6,46.0,32.0,14.0,0.35,0.21,2023,43.1,41.9,1.3,0.03,-0.63,
Guillermo Matías Fernández,ARG,MF,31.0,42.0,3402.0,81.0,68.3,37.8,39,84.0,21.0,3,43.0,4.0,1.55,42.0,31.0,11.0,0.29,0.01,2023,42.8,37.3,5.5,0.15,-0.18,
Cristian Medina,ARG,"MF,FW",20.0,45.0,3001.0,67.0,60.3,33.3,30,87.0,15.0,15,27.0,6.0,1.67,40.0,27.0,13.0,0.39,0.25,2023,40.4,29.3,11.1,0.34,0.32,
Luis Advíncula,PER,"DF,FW",32.0,37.0,2948.0,80.0,59.2,32.8,32,89.0,24.0,5,23.0,4.0,1.46,32.0,24.0,8.0,0.24,-0.11,2023,35.2,32.1,3.1,0.1,-0.26,
Frank Fabra,COL,DF,31.0,33.0,2668.0,81.0,53.6,29.6,29,88.0,22.0,4,28.0,6.0,1.51,32.0,18.0,14.0,0.47,0.39,2023,35.8,27.9,7.9,0.27,0.13,
Miguel Merentiel,URU,FW,26.0,44.0,2434.0,55.0,48.9,27.0,26,73.0,6.0,18,29.0,5.0,1.57,35.0,21.0,14.0,0.52,0.45,2023,33.6,22.2,11.4,0.42,0.42,
Alan Varela,ARG,MF,21.0,32.0,2363.0,74.0,63.5,26.3,28,81.0,14.0,4,24.0,1.0,1.66,31.0,18.0,13.0,0.5,0.36,2023,33.3,29.0,4.3,0.16,-0.06,
Nicolás Valentini,ARG,DF,21.0,36.0,2315.0,64.0,46.5,25.7,23,85.0,14.0,13,28.0,14.0,1.44,29.0,22.0,7.0,0.27,-0.03,2023,27.6,21.8,5.7,0.23,0.04,
Bruno Valdez,PAR,"DF,FW",30.0,32.0,2293.0,72.0,46.0,25.5,26,81.0,21.0,6,32.0,12.0,1.41,27.0,26.0,1.0,0.04,-0.46,2023,32.1,26.4,5.7,0.23,0.04,
Ezequiél Fernández,ARG,MF,20.0,37.0,2270.0,61.0,45.6,25.2,23,83.0,9.0,14,26.0,7.0,1.51,31.0,27.0,4.0,0.16,-0.24,2023,28.1,21.8,6.3,0.26,0.09,
Marcelo Weigandt,ARG,DF,23.0,30.0,2193.0,73.0,44.0,24.4,23,84.0,17.0,7,38.0,19.0,1.7,29.0,21.0,8.0,0.33,0.07,2023,29.1,25.2,3.9,0.17,-0.08,
Valentín Barco,ARG,"MF,DF",18.0,29.0,2065.0,71.0,41.5,22.9,26,76.0,7.0,3,30.0,5.0,1.52,28.0,18.0,10.0,0.44,0.25,2023,26.9,19.7,7.2,0.32,0.18,
Darío Benedetto,ARG,FW,32.0,35.0,1729.0,49.0,34.7,19.2,21,69.0,6.0,14,20.0,4.0,1.34,19.0,22.0,-3.0,-0.16,-0.68,2023,22.3,22.1,0.2,0.01,-0.3,
