player,nation,position,age,matches_played,minutes,minutes_per_match,minutes_pct,nineties,starts,mn_start,compl,subs,mn_sub,unsub,ppm,ong,onga,goals_plus_minus_on_pitch,goals_plus_minus_on_pitch_per90,on_off,season,onxg,onxga,xg_,xg_90,on_off_1,fbref_comp_id
Sebastián Villa,COL,"FW,MF",26.0,22.0,1701.0,77.0,45.7,18.9,19,84.0,11.0,3,34.0,0.0,1.41,19.0,17.0,2.0,0.11,-0.47,2023,21.0,20.3,0.6,0.03,-0.28,
Facundo Roncaglia,ARG,DF,35.0,21.0,1416.0,67.0,28.4,15.7,14,86.0,12.0,7,29.0,24.0,1.62,20.0,14.0,6.0,0.38,0.13,2023,20.1,13.4,6.7,0.43,0.31,
Óscar Romero,PAR,"FW,MF",30.0,19.0,1227.0,65.0,33.0,13.6,14,75.0,3.0,5,36.0,10.0,1.64,12.0,13.0,-1.0,-0.07,-0.65,2023,15.2,17.4,-2.2,-0.17,-0.52,
Edinson Cavani,URU,FW,35.0,14.0,1137.0,81.0,44.6,12.6,13,86.0,7.0,1,21.0,1.0,1.14,9.0,10.0,-1.0,-0.08,-0.59,2023,11.4,10.6,0.8,0.06,-0.51,
Marcelo Saracchi,URU,DF,24.0,14.0,1046.0,75.0,41.0,11.6,11,87.0,9.0,3,28.0,5.0,1.14,14.0,12.0,2.0,0.17,-0.13,2023,13.4,9.2,4.1,0.38,0.04,
Luca Langoni,ARG,"FW,MF",20.0,20.0,925.0,46.0,18.6,10.3,10,65.0,3.0,10,28.0,2.0,1.4,13.0,13.0,0.0,0.0,-0.36,2023,13.0,11.3,1.7,0.17,-0.05,
Lucas Janson,ARG,"FW,MF",28.0,17.0,854.0,50.0,33.5,9.5,8,76.0,3.0,9,27.0,4.0,1.06,9.0,7.0,2.0,0.21,-0.05,2023,8.3,7.9,0.4,0.04,-0.46,
Marcos Rojo,ARG,DF,32.0,13.0,813.0,63.0,16.3,9.0,10,79.0,4.0,3,9.0,2.0,1.23,9.0,6.0,3.0,0.33,0.12,2023,10.3,7.6,2.6,0.3,-0.08,
Javier Hernán García,ARG,GK,36.0,9.0,810.0,90.0,16.3,9.0,9,90.0,9.0,0,,45.0,1.22,11.0,11.0,0.0,0.0,-0.31,2023,11.5,5.7,5.8,0.65,0.67,
Juan Ramírez,ARG,"MF,FW",29.0,21.0,800.0,38.0,16.1,8.9,11,59.0,0.0,10,15.0,22.0,1.43,11.0,5.0,6.0,0.68,0.46,2023,9.7,9.2,0.4,0.05,-0.19,
Jorman Campuzano,COL,MF,26.0,16.0,749.0,47.0,29.4,8.3,10,61.0,1.0,6,23.0,5.0,1.31,8.0,10.0,-2.0,-0.24,-0.69,2023,8.6,7.7,0.8,0.11,-0.35,
Exequiel Zeballos,ARG,"FW,DF",20.0,19.0,717.0,38.0,14.4,8.0,5,82.0,3.0,14,22.0,2.0,1.16,9.0,7.0,2.0,0.25,-0.04,2023,7.3,6.7,0.6,0.09,-0.14,
Martín Payero,ARG,MF,24.0,14.0,688.0,49.0,18.5,7.6,9,64.0,1.0,5,23.0,4.0,1.79,13.0,7.0,6.0,0.78,0.52,2023,8.9,7.4,1.6,0.2,0.02,
Norberto Briasco,ARM,FW,26.0,22.0,642.0,29.0,12.9,7.1,6,59.0,0.0,16,18.0,12.0,1.68,8.0,4.0,4.0,0.56,0.31,2023,8.3,5.7,2.6,0.36,0.17,
Lucas Blondel,SUI,DF,26.0,8.0,597.0,75.0,23.4,6.6,7,81.0,5.0,1,32.0,9.0,1.38,10.0,9.0,1.0,0.15,0.15,2023,8.5,5.9,2.6,0.39,0.22,
Luis Vázquez,ARG,FW,22.0,18.0,569.0,32.0,15.3,6.3,5,70.0,0.0,13,17.0,8.0,1.89,14.0,5.0,9.0,1.42,1.25,2023,11.4,5.6,5.8,0.92,0.86,
Agustín Sández,PAR,DF,22.0,11.0,488.0,44.0,13.1,5.4,5,67.0,2.0,6,26.0,17.0,1.82,10.0,6.0,4.0,0.74,0.43,2023,8.8,5.8,3.0,0.55,0.42,
Ezequiel Bullaude,ARG,"FW,MF",22.0,11.0,389.0,35.0,15.3,4.3,4,68.0,1.0,7,17.0,6.0,1.36,2.0,3.0,-1.0,-0.23,-0.44,2023,4.1,3.2,0.8,0.19,-0.12,
Aaron Anselmino,ARG,DF,17.0,5.0,297.0,59.0,8.0,3.3,3,84.0,2.0,2,23.0,9.0,1.6,2.0,2.0,0.0,0.0,-0.27,2023,3.9,1.6,2.3,0.69,0.62,
Vicente Taborda,ARG,MF,21.0,5.0,212.0,42.0,8.3,2.4,1,76.0,0.0,4,34.0,4.0,0.8,1.0,0.0,1.0,0.42,0.19,2023,2.4,0.6,1.7,0.79,0.46,
Jabes Saralegui,ARG,MF,20.0,4.0,207.0,52.0,16.4,2.3,2,75.0,1.0,2,29.0,1.0,1.75,2.0,2.0,0.0,0.0,-0.09,2023,3.4,1.6,1.8,0.77,0.6,
Esteban Rolón,ARG,FW,27.0,9.0,207.0,23.0,4.2,2.3,1,45.0,0.0,8,20.0,11.0,2.11,4.0,2.0,2.0,0.87,0.61,2023,5.2,2.2,3.1,1.33,1.17,
Nicolás Orsini,ARG,FW,28.0,4.0,204.0,51.0,5.5,2.3,3,63.0,2.0,1,16.0,12.0,1.0,2.0,1.0,1.0,0.44,0.12,2023,2.1,3.2,-1.2,-0.52,-0.62,
Diego González,ARG,MF,34.0,6.0,108.0,18.0,2.2,1.2,1,45.0,0.0,5,13.0,30.0,2.17,0.0,2.0,-2.0,-1.67,-1.97,2023,0.6,1.5,-0.9,-0.75,-0.91,
Brandon Cortés,CHI,MF,21.0,1.0,22.0,22.0,0.6,0.2,0,,0.0,1,22.0,9.0,1.0,1.0,0.0,1.0,4.09,3.79,2023,0.8,0.1,0.8,3.21,3.18,
Gonzalo Morales,ARG,FW,19.0,1.0,9.0,9.0,0.2,0.1,0,,0.0,1,9.0,5.0,3.0,0.0,0.0,0.0,0.0,-0.33,2023,0.1,0.0,0.1,0.61,0.57,
Julian Carrasco,ARG,MF,20.0,0.0,,,,,0,,0.0,0,,8.0,,,,,,,2023,,,,,,
Lautaro Di Lollo,ARG,DF,18.0,0.0,,,,,0,,0.0,0,,8.0,,,,,,,2023,,,,,,
Gabriel Aranda,ARG,DF,21.0,0.0,,,,,0,,0.0,0,,5.0,,,,,,,2023,,,,,,
Rodrigo Montes,ARG,MF,23.0,0.0,,,,,0,,0.0,0,,2.0,,,,,,,2023,,,,,,
Leandro Brey,ARG,GK,20.0,0.0,,,,,0,,0.0,0,,2.0,,,,,,,2023,,,,,,
Federico Aguirre,ARG,FW,20.0,0.0,,,,,0,,0.0,0,,1.0,,,,,,,2023,,,,,,
Román Rodríguez,ARG,MF,19.0,0.0,,,,,0,,0.0,0,,1.0,,,,,,,2023,,,,,,
Miguel Merentiel,URU,FW,27.0,44.0,3443.0,78.0,74.5,38.3,38,86.0,22.0,6,28.0,0.0,1.67,44.0,32.0,12.0,0.31,-0.3,2024,38.8,33.5,5.3,0.17,-0.08,
Sergio Romero,ARG,GK,36.0,36.0,3236.0,90.0,70.0,36.0,35,91.0,34.0,1,65.0,6.0,1.47,40.0,31.0,9.0,0.25,-0.47,2024,29.9,27.5,2.4,0.09,-0.3,
Lautaro Blanco,ARG,DF,24.0,40.0,3146.0,79.0,68.1,35.0,35,88.0,26.0,5,14.0,7.0,1.63,45.0,31.0,14.0,0.4,0.03,2024,36.9,29.9,7.0,0.25,0.18,
Kevin Zenon,ARG,"MF,FW",22.0,39.0,3052.0,78.0,66.1,33.9,35,84.0,17.0,4,30.0,0.0,1.78,47.0,26.0,21.0,0.62,0.68,2024,36.4,27.9,8.5,0.3,0.34,
Luis Advíncula,PER,DF,33.0,40.0,3034.0,76.0,65.7,33.7,34,83.0,26.0,6,35.0,3.0,1.66,37.0,26.0,11.0,0.33,-0.18,2024,36.8,29.5,7.4,0.26,0.21,
Guillermo Matías Fernández,ARG,MF,32.0,39.0,2878.0,74.0,62.3,32.0,32,84.0,15.0,7,27.0,2.0,1.85,42.0,18.0,24.0,0.75,0.96,2024,32.9,27.5,5.3,0.21,0.03,
Cristian Lema,ARG,DF,33.0,29.0,2629.0,91.0,56.9,29.2,29,91.0,26.0,0,,2.0,1.64,35.0,25.0,10.0,0.34,-0.11,2024,27.4,21.2,6.3,0.28,0.19,
Edinson Cavani,URU,FW,36.0,33.0,2430.0,74.0,52.6,27.0,30,78.0,9.0,3,30.0,0.0,1.85,34.0,19.0,15.0,0.56,0.35,2024,27.5,22.2,5.3,0.24,0.1,
Jorge Figal,ARG,DF,29.0,28.0,2280.0,81.0,49.4,25.3,24,87.0,22.0,4,49.0,10.0,1.73,28.0,22.0,6.0,0.24,-0.3,2024,28.5,20.9,7.6,0.36,0.34,
Cristian Medina,ARG,MF,21.0,27.0,2212.0,82.0,47.9,24.6,26,83.0,14.0,1,45.0,0.0,1.38,31.0,29.0,2.0,0.08,-0.59,2024,17.7,21.8,-4.1,-0.22,-0.75,
Marcos Rojo,ARG,DF,33.0,24.0,1625.0,68.0,35.2,18.1,19,77.0,10.0,5,33.0,6.0,1.74,21.0,11.0,10.0,0.55,0.25,2024,14.5,14.6,-0.1,0.0,-0.3,
Marcelo Saracchi,URU,"DF,MF",25.0,22.0,1375.0,63.0,29.8,15.3,15,82.0,8.0,7,22.0,19.0,1.86,26.0,11.0,15.0,0.98,0.84,2024,16.5,13.6,2.9,0.26,0.09,
Leandro Brey,ARG,GK,21.0,17.0,1312.0,77.0,28.4,14.6,15,86.0,14.0,2,14.0,19.0,2.12,20.0,10.0,10.0,0.69,0.41,2024,22.5,16.4,6.1,0.45,0.37,
Jabes Saralegui,ARG,"MF,DF",21.0,35.0,1294.0,37.0,28.0,14.4,11,68.0,1.0,24,23.0,13.0,1.88,14.0,14.0,0.0,0.0,-0.54,2024,11.5,9.7,1.8,0.19,0.0,
Tomás Belmonte,ARG,MF,25.0,18.0,1269.0,71.0,37.8,14.1,14,84.0,9.0,4,24.0,4.0,1.67,17.0,11.0,6.0,0.43,0.17,2024,19.2,14.4,4.8,0.36,0.77,
Lautaro Di Lollo,ARG,DF,19.0,19.0,1260.0,66.0,27.3,14.0,13,84.0,11.0,6,27.0,13.0,1.58,12.0,12.0,0.0,0.0,-0.51,2024,9.9,14.5,-4.6,-0.44,-0.67,
Ezequiél Fernández,ARG,MF,21.0,16.0,1250.0,78.0,27.1,13.9,14,84.0,10.0,2,40.0,0.0,1.72,22.0,15.0,7.0,0.5,0.16,2024,11.7,11.0,0.7,0.07,-0.16,
Milton Giménez,ARG,FW,27.0,22.0,1093.0,50.0,32.5,12.1,10,85.0,5.0,12,21.0,1.0,1.45,16.0,13.0,3.0,0.25,-0.11,2024,13.9,15.3,-1.4,-0.13,-0.17,
Aaron Anselmino,ARG,DF,18.0,15.0,1083.0,72.0,23.4,12.0,12,86.0,11.0,3,16.0,11.0,1.73,14.0,13.0,1.0,0.08,-0.4,2024,14.2,14.8,-0.6,-0.06,-0.33,
Exequiel Zeballos,ARG,"MF,FW",21.0,22.0,1068.0,49.0,31.8,11.9,11,77.0,3.0,11,21.0,4.0,1.59,12.0,9.0,3.0,0.25,-0.1,2024,16.5,14.0,2.5,0.21,0.42,
Brian Aguirre,ARG,"FW,MF",20.0,16.0,891.0,56.0,26.5,9.9,11,72.0,3.0,5,20.0,5.0,1.75,10.0,7.0,3.0,0.3,0.07,2024,14.7,13.0,1.7,0.17,0.31,
Luca Langoni,ARG,FW,21.0,22.0,867.0,39.0,18.8,9.6,9,72.0,1.0,13,17.0,1.0,1.83,18.0,13.0,5.0,0.52,0.16,2024,12.2,8.3,3.9,0.47,0.34,
Ignacio Miramon,ARG,MF,20.0,15.0,794.0,53.0,32.7,8.8,11,67.0,1.0,4,13.0,2.0,1.8,9.0,8.0,1.0,0.11,-0.22,2024,12.7,8.8,3.9,0.44,0.7,
Gary Medel,CHI,"DF,MF",36.0,11.0,704.0,64.0,21.0,7.8,7,83.0,4.0,4,30.0,3.0,1.5,8.0,5.0,3.0,0.38,0.08,2024,6.9,7.2,-0.4,-0.06,-0.03,
Lucas Janson,ARG,"FW,MF",29.0,22.0,693.0,32.0,15.0,7.7,7,67.0,2.0,15,15.0,23.0,1.41,8.0,3.0,5.0,0.65,0.31,2024,5.6,4.0,1.6,0.3,0.12,
Frank Fabra,COL,"DF,MF",32.0,16.0,560.0,35.0,12.1,6.2,6,78.0,2.0,10,9.0,21.0,1.56,5.0,7.0,-2.0,-0.32,-0.81,2024,4.4,4.8,-0.4,-0.08,-0.32,
Milton Delgado,ARG,MF,18.0,15.0,536.0,36.0,11.6,6.0,6,68.0,2.0,9,14.0,15.0,1.6,4.0,6.0,-2.0,-0.34,-0.78,2024,4.2,8.3,-4.0,-0.98,-1.12,
Mauricio Benítez,ARG,MF,19.0,10.0,532.0,53.0,11.5,5.9,6,74.0,1.0,4,23.0,21.0,2.2,6.0,3.0,3.0,0.51,-0.04,2024,5.0,1.8,3.2,1.16,0.66,
Nicolás Valentini,ARG,DF,22.0,9.0,525.0,58.0,24.0,5.8,6,79.0,5.0,3,17.0,1.0,1.89,10.0,6.0,4.0,0.69,0.2,2024,7.0,3.2,3.8,0.98,0.48,
Jorman Campuzano,COL,DF,27.0,10.0,521.0,52.0,11.3,5.8,7,71.0,3.0,3,9.0,8.0,1.6,7.0,4.0,3.0,0.52,0.14,2024,8.5,3.8,4.7,0.83,0.74,
Juan Barinaga,ARG,DF,23.0,8.0,478.0,60.0,19.7,5.3,6,77.0,4.0,2,8.0,6.0,1.63,7.0,5.0,2.0,0.38,0.15,2024,7.7,6.1,1.7,0.31,0.43,
Lucas Blondel,SUI,"DF,MF",27.0,9.0,423.0,47.0,33.6,4.7,6,59.0,1.0,3,22.0,3.0,1.56,11.0,4.0,7.0,1.49,1.38,2024,8.9,4.2,4.7,1.0,0.56,
Agustín Martegani,ARG,MF,23.0,10.0,391.0,39.0,11.6,4.3,5,62.0,1.0,5,17.0,11.0,1.6,7.0,6.0,1.0,0.23,-0.1,2024,4.9,5.5,-0.7,-0.18,-0.17,
Darío Benedetto,ARG,FW,33.0,11.0,332.0,30.0,15.2,3.7,3,70.0,1.0,8,15.0,7.0,1.67,6.0,2.0,4.0,1.08,0.65,2024,5.9,0.7,5.1,2.09,1.77,
Ezequiel Bullaude,ARG,"FW,MF",23.0,6.0,246.0,41.0,5.3,2.7,2,67.0,0.0,4,28.0,11.0,1.5,2.0,1.0,1.0,0.37,-0.19,2024,3.2,2.2,1.0,0.41,-0.26,
Mateo Mendía,ARG,DF,19.0,4.0,209.0,52.0,6.2,2.3,1,90.0,1.0,3,40.0,16.0,1.5,6.0,3.0,3.0,1.29,1.03,2024,4.2,2.6,1.6,0.81,0.9,
Julián Ceballos,ARG,MF,19.0,4.0,180.0,45.0,5.4,2.0,3,59.0,0.0,1,3.0,8.0,1.5,1.0,0.0,1.0,0.5,0.19,2024,0.2,0.8,-0.6,-1.07,-1.06,
Norberto Briasco,ARM,"MF,FW",27.0,6.0,171.0,29.0,3.7,1.9,1,78.0,0.0,5,19.0,8.0,1.33,2.0,2.0,0.0,0.0,-0.4,2024,0.5,1.9,-1.4,-1.87,-2.1,
Juan Ramírez,ARG,MF,30.0,4.0,151.0,38.0,3.3,1.7,2,59.0,0.0,2,17.0,17.0,1.5,0.0,0.0,0.0,0.0,-0.57,2024,0.6,0.8,-0.1,-0.22,-0.89,
Vicente Taborda,ARG,MF,22.0,5.0,144.0,29.0,3.1,1.6,2,59.0,0.0,3,9.0,14.0,2.0,2.0,1.0,1.0,0.62,0.24,2024,1.5,1.2,0.2,0.26,0.06,
Javier Hernán García,ARG,GK,37.0,1.0,72.0,72.0,1.6,0.8,1,72.0,0.0,0,,22.0,3.0,3.0,2.0,1.0,1.25,0.72,2024,0.7,1.2,-0.5,-0.59,-1.3,
Iker Zufiaurre,ARG,MF,18.0,3.0,67.0,22.0,2.0,0.7,0,,0.0,3,22.0,3.0,1.33,0.0,0.0,0.0,0.0,-0.33,2024,0.2,0.0,0.2,2.82,2.85,
Dylan Gorosito,ARG,DF,17.0,1.0,45.0,45.0,1.3,0.5,1,45.0,0.0,0,,3.0,1.0,1.0,2.0,-1.0,-2.0,-2.3,2024,0.9,1.6,-0.7,-1.48,-1.47,
Joaquín Ruíz,ARG,FW,17.0,2.0,15.0,8.0,0.6,0.2,0,,0.0,2,8.0,3.0,1.5,0.0,1.0,-1.0,-6.0,-6.3,2024,0.0,0.5,-0.5,-3.1,-3.09,
Walter Molas,ARG,DF,19.0,2.0,13.0,7.0,0.4,0.1,0,,0.0,2,7.0,6.0,1.0,0.0,0.0,0.0,0.0,-0.32,2024,0.2,0.0,0.2,14.44,14.47,
Santiago Dalmasso,ARG,MF,19.0,2.0,11.0,6.0,0.3,0.1,0,,0.0,2,6.0,5.0,2.0,0.0,0.0,0.0,0.0,-0.32,2024,0.0,0.0,0.0,0.0,0.03,
Juan Payal,ARG,FW,18.0,0.0,,,,,0,,0.0,0,,4.0,,,,,,,2024,,,,,,
Sebastián Díaz,ARG,GK,20.0,0.0,,,,,0,,0.0,0,,3.0,,,,,,,2024,,,,,,
Román Rodríguez,ARG,MF,20.0,0.0,,,,,0,,0.0,0,,1.0,,,,,,,2024,,,,,,
Ignacio Rodríguez,ARG,FW,19.0,0.0,,,,,0,,0.0,0,,6.0,,,,,,,2024,,,,,,
Marcelo Weigandt,ARG,DF,24.0,0.0,,,,,0,,0.0,0,,6.0,,,,,,,2024,,,,,,
Bruno Valdez,PAR,DF,31.0,0.0,,,,,0,,0.0,0,,2.0,,,,,,,2024,,,,,,
Agustín Marchesín,ARG,GK,37-249,32.0,2879.0,90.0,91.4,32.0,32,90.0,31.0,0,,0.0,1.82,54.0,26.0,28.0,0.88,0.88,2025,42.2,26.5,15.7,0.54,0.25,
Lautaro Blanco,ARG,DF,26-274,30.0,2679.0,89.0,85.0,29.8,30,89.0,28.0,0,,3.0,1.78,51.0,24.0,27.0,0.91,0.72,2025,38.4,22.9,15.5,0.58,0.37,
Rodrigo Battaglia,ARG,"DF,MF",34-131,27.0,2237.0,83.0,71.0,24.9,24,89.0,21.0,3,32.0,3.0,1.41,36.0,22.0,14.0,0.56,-0.82,2025,29.8,20.2,9.5,0.44,-0.26,
Miguel Merentiel,URU,FW,29-269,35.0,2167.0,62.0,68.8,24.1,25,79.0,10.0,10,19.0,0.0,1.75,39.0,17.0,22.0,0.91,0.36,2025,29.3,18.4,10.9,0.51,-0.04,
Carlos Palacios,CHI,MF,25-123,28.0,2080.0,74.0,66.0,23.1,26,78.0,6.0,2,30.0,1.0,1.82,35.0,18.0,17.0,0.74,-0.19,2025,24.8,17.4,7.4,0.36,-0.45,
Lautaro Di Lollo,ARG,DF,21-255,26.0,1999.0,77.0,63.5,22.2,21,88.0,20.0,5,31.0,7.0,1.88,40.0,17.0,23.0,1.04,0.64,2025,31.6,15.6,16.0,0.79,0.74,
Ayrton Costa,ARG,DF,26-131,21.0,1715.0,82.0,54.4,19.1,18,90.0,17.0,3,32.0,9.0,1.72,33.0,19.0,14.0,0.73,-0.14,2025,25.4,15.0,10.3,0.61,0.19,
Milton Giménez,ARG,FW,29-100,26.0,1557.0,60.0,49.4,17.3,16,82.0,10.0,10,24.0,3.0,1.74,31.0,18.0,13.0,0.75,-0.1,2025,26.9,14.3,12.6,0.77,0.52,
Edinson Cavani,URU,FW,38-279,19.0,1394.0,73.0,44.3,15.5,17,80.0,6.0,2,21.0,2.0,1.9,23.0,8.0,15.0,0.97,0.3,2025,18.9,11.6,7.4,0.49,-0.04,
Juan Barinaga,ARG,DF,25-041,17.0,1333.0,78.0,46.3,14.8,15,84.0,10.0,2,35.0,13.0,1.88,27.0,12.0,15.0,1.01,0.2,2025,24.6,11.4,13.2,0.89,0.7,
Luis Advíncula,PER,DF,35-263,22.0,1324.0,60.0,42.0,14.7,13,87.0,11.0,9,21.0,12.0,1.78,18.0,13.0,5.0,0.34,-0.79,2025,13.7,12.5,1.2,0.1,-0.66,
Milton Delgado,ARG,MF,20-157,18.0,1317.0,73.0,41.8,14.6,15,86.0,12.0,3,7.0,6.0,2.0,28.0,11.0,17.0,1.16,0.47,2025,19.1,12.1,7.0,0.48,-0.07,
Alan Velasco,ARG,"MF,FW",23-116,25.0,1246.0,50.0,39.6,13.8,16,68.0,1.0,9,17.0,2.0,1.51,18.0,12.0,6.0,0.43,-0.61,2025,14.7,10.3,4.4,0.38,-0.22,
Tomás Belmonte,ARG,MF,27-177,19.0,1212.0,64.0,38.5,13.5,13,79.0,8.0,6,32.0,7.0,1.65,20.0,15.0,5.0,0.37,-0.7,2025,14.1,13.5,0.6,0.05,-0.74,
Leandro Paredes,ARG,MF,31-144,14.0,1187.0,85.0,41.2,13.2,13,89.0,10.0,1,25.0,0.0,1.79,26.0,10.0,16.0,1.21,0.52,2025,21.2,8.7,12.4,0.94,0.72,
Kevin Zenon,ARG,"MF,FW",24-113,25.0,1139.0,46.0,36.2,12.7,11,80.0,5.0,14,18.0,6.0,1.59,20.0,14.0,6.0,0.47,-0.51,2025,15.4,11.4,4.0,0.39,-0.19,
Exequiel Zeballos,ARG,"MF,FW",23-210,28.0,1080.0,39.0,34.3,12.0,10,68.0,1.0,18,22.0,3.0,1.92,21.0,6.0,15.0,1.25,0.68,2025,16.0,8.5,7.4,0.66,0.21,
Marcos Rojo,ARG,DF,35-245,11.0,859.0,78.0,27.3,9.5,11,78.0,7.0,0,,2.0,2.0,17.0,8.0,9.0,0.94,0.2,2025,11.6,8.4,3.2,0.34,-0.26,
William Alarcón,CHI,MF,25-000,21.0,835.0,40.0,26.5,9.3,8,70.0,4.0,13,21.0,7.0,1.73,14.0,10.0,4.0,0.43,-0.5,2025,12.5,9.7,2.8,0.32,-0.28,
Brian Aguirre,ARG,"MF,FW",22-172,16.0,732.0,46.0,23.2,8.1,10,67.0,0.0,6,10.0,19.0,1.94,14.0,5.0,9.0,1.11,0.27,2025,11.9,5.7,6.2,0.76,0.32,
Marco Pellegrino,ARG,DF,23-125,7.0,630.0,90.0,20.0,7.0,7,90.0,7.0,0,,10.0,1.43,8.0,4.0,4.0,0.57,-0.29,2025,8.2,5.1,3.1,0.51,-0.01,
Lucas Blondel,SUI,"DF,MF",29-067,9.0,545.0,61.0,17.3,6.1,7,70.0,3.0,2,28.0,10.0,1.91,14.0,4.0,10.0,1.65,0.92,2025,7.9,4.2,3.7,0.62,0.12,
Ander Herrera,ESP,MF,36-098,13.0,460.0,35.0,14.6,5.1,6,56.0,0.0,7,18.0,0.0,1.85,9.0,2.0,7.0,1.37,0.67,2025,7.6,5.1,2.4,0.5,-0.02,
Marcelo Saracchi,URU,"DF,MF",27-211,7.0,371.0,53.0,11.8,4.1,4,85.0,3.0,3,11.0,8.0,1.35,5.0,4.0,1.0,0.24,-0.63,2025,5.3,3.6,1.6,0.41,-0.12,
Malcom Braida,ARG,"FW,MF",28-187,7.0,325.0,46.0,10.3,3.6,3,76.0,1.0,4,24.0,11.0,1.43,2.0,2.0,0.0,0.0,-0.89,2025,3.7,3.8,-0.1,-0.03,-0.6,
Camilo Rey,ARG,MF,19-255,5.0,305.0,61.0,10.6,3.4,3,90.0,3.0,2,18.0,1.0,2.2,3.0,1.0,2.0,0.59,-0.35,2025,4.0,2.9,1.2,0.34,-0.19,
Leandro Brey,ARG,GK,23-060,4.0,271.0,68.0,8.6,3.0,3,90.0,3.0,1,1.0,31.0,1.5,2.0,2.0,0.0,0.0,-1.0,2025,2.2,1.3,0.9,0.29,-0.25,
Jorge Figal,ARG,DF,31-231,3.0,248.0,83.0,7.9,2.8,3,83.0,0.0,0,,11.0,1.67,4.0,2.0,2.0,0.73,-0.08,2025,1.6,1.3,0.3,0.17,-0.37,
Lucas Janson,ARG,"FW,MF",31-096,4.0,118.0,30.0,3.7,1.3,1,77.0,0.0,3,14.0,23.0,1.75,3.0,2.0,1.0,0.76,-0.15,2025,1.7,1.5,0.3,0.19,-0.34,
Ignacio Miramon,ARG,"MF,FW",22-161,3.0,102.0,34.0,3.2,1.1,1,72.0,0.0,2,15.0,12.0,3.0,0.0,0.0,0.0,0.0,-0.94,2025,0.9,1.1,-0.2,-0.22,-0.76,
Agustín Martegani,ARG,MF,25-184,1.0,57.0,57.0,1.8,0.6,1,57.0,0.0,0,,18.0,3.0,1.0,0.0,1.0,1.58,0.69,2025,0.6,0.0,0.5,0.81,0.3,
Joaquín Ruíz,ARG,"MF,FW",19-122,1.0,26.0,26.0,0.9,0.3,0,,0.0,1,26.0,4.0,3.0,1.0,0.0,1.0,3.46,2.58,2025,0.9,0.3,0.6,2.11,1.61,
Santiago Dalmasso,ARG,MF,21-155,1.0,12.0,12.0,0.4,0.1,0,,0.0,1,12.0,4.0,1.0,0.0,0.0,0.0,0.0,-0.91,2025,0.0,0.0,0.0,-0.18,-0.7,
Cristian Lema,ARG,DF,35-241,0.0,,,,,0,,0.0,0,,3.0,,,,,,,2025,,,,,,
Javier Hernán García,ARG,GK,38-295,0.0,,,,,0,,0.0,0,,7.0,,,,,,,2025,,,,,,
Valentino Simoni,ARG,MF,21-204,0.0,,,,,0,,0.0,0,,2.0,,,,,,,2025,,,,,,
