player,nation,position,age,nineties,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,live,take_ons_attempted,take_ons_successful,take_ons_success_pct,take_ons_tackled,take_ons_tackled_pct,carries,carry_distance_total,carry_distance_progressive,prgc,carries_into_final_third,carries_into_pen_area,miscontrols,dispossessed,passes_received,progressive_passes_received,fbref_comp_id,season
Norberto Briasco,ARM,FW,26.0,7.1,351.0,1.0,26.0,145.0,184.0,25.0,351.0,42.0,18.0,42.9,23.0,54.8,229.0,1673.0,740.0,34.0,11.0,9.0,31.0,12.0,262.0,106.0,,2023
Lucas Blondel,SUI,DF,26.0,6.6,573.0,15.0,155.0,324.0,104.0,9.0,573.0,11.0,5.0,45.5,5.0,45.5,267.0,1317.0,808.0,11.0,14.0,2.0,12.0,2.0,358.0,23.0,,2023
Luis Vázquez,ARG,FW,22.0,6.3,228.0,8.0,14.0,116.0,99.0,33.0,228.0,17.0,7.0,41.2,9.0,52.9,120.0,537.0,281.0,11.0,9.0,7.0,23.0,12.0,157.0,36.0,,2023
Agustín Sández,PAR,DF,22.0,5.4,378.0,11.0,97.0,179.0,105.0,7.0,378.0,15.0,8.0,53.3,6.0,40.0,182.0,1040.0,511.0,14.0,13.0,2.0,5.0,10.0,228.0,32.0,,2023
Ezequiel Bullaude,ARG,"FW,MF",22.0,4.3,230.0,3.0,19.0,138.0,76.0,14.0,230.0,18.0,9.0,50.0,8.0,44.4,136.0,669.0,332.0,8.0,7.0,3.0,15.0,8.0,160.0,23.0,,2023
Aaron Anselmino,ARG,DF,17.0,3.3,219.0,21.0,128.0,89.0,2.0,1.0,219.0,4.0,3.0,75.0,0.0,0.0,145.0,590.0,315.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,,2023
Vicente Taborda,ARG,MF,21.0,2.4,224.0,0.0,10.0,116.0,102.0,5.0,224.0,14.0,8.0,57.1,4.0,28.6,135.0,782.0,466.0,12.0,16.0,0.0,6.0,4.0,168.0,26.0,,2023
Jabes Saralegui,ARG,MF,20.0,2.3,102.0,2.0,18.0,61.0,24.0,4.0,102.0,5.0,2.0,40.0,2.0,40.0,54.0,224.0,107.0,1.0,2.0,1.0,1.0,1.0,74.0,3.0,,2023
Esteban Rolón,ARG,FW,27.0,2.3,214.0,3.0,46.0,134.0,37.0,3.0,214.0,6.0,3.0,50.0,2.0,33.3,110.0,421.0,216.0,1.0,3.0,1.0,6.0,7.0,141.0,1.0,,2023
Nicolás Orsini,ARG,FW,28.0,2.3,71.0,2.0,2.0,25.0,45.0,12.0,71.0,5.0,3.0,60.0,2.0,40.0,33.0,145.0,21.0,1.0,1.0,0.0,6.0,1.0,50.0,15.0,,2023
Diego González,ARG,MF,34.0,1.2,119.0,3.0,28.0,82.0,9.0,0.0,119.0,0.0,0.0,,0.0,,63.0,250.0,82.0,0.0,2.0,0.0,1.0,4.0,83.0,3.0,,2023
Nahuel Génez,ARG,DF,19.0,1.0,70.0,1.0,16.0,37.0,17.0,0.0,70.0,5.0,2.0,40.0,3.0,60.0,50.0,289.0,130.0,3.0,2.0,0.0,0.0,0.0,52.0,8.0,,2023
Brandon Cortés,CHI,MF,21.0,0.2,23.0,1.0,2.0,15.0,6.0,1.0,23.0,1.0,1.0,100.0,0.0,0.0,18.0,93.0,20.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,,2023
Gonzalo Morales,ARG,FW,19.0,0.1,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2023
Miguel Merentiel,URU,FW,27.0,38.3,912.0,14.0,42.0,404.0,477.0,120.0,911.0,64.0,38.0,59.4,26.0,40.6,551.0,3727.0,1713.0,57.0,43.0,26.0,54.0,27.0,692.0,202.0,,2024
Sergio Romero,ARG,GK,36.0,36.0,863.0,720.0,858.0,6.0,0.0,0.0,863.0,0.0,0.0,,0.0,,434.0,2312.0,1546.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,,2024
Lautaro Blanco,ARG,DF,24.0,35.0,1895.0,47.0,475.0,857.0,575.0,13.0,1895.0,60.0,30.0,50.0,26.0,43.3,884.0,5180.0,2602.0,90.0,56.0,5.0,38.0,14.0,1067.0,182.0,,2024
Kevin Zenon,ARG,"MF,FW",22.0,33.9,1566.0,14.0,150.0,750.0,701.0,70.0,1566.0,123.0,57.0,46.3,57.0,46.3,946.0,5711.0,3104.0,101.0,75.0,15.0,79.0,44.0,1083.0,208.0,,2024
Luis Advíncula,PER,DF,33.0,33.7,1604.0,59.0,379.0,791.0,453.0,35.0,1604.0,54.0,26.0,48.1,27.0,50.0,829.0,4320.0,2253.0,64.0,45.0,7.0,28.0,27.0,954.0,142.0,,2024
Guillermo Matías Fernández,ARG,MF,32.0,32.0,1802.0,74.0,476.0,1113.0,225.0,9.0,1802.0,42.0,21.0,50.0,16.0,38.1,923.0,4483.0,2361.0,37.0,21.0,1.0,33.0,13.0,1163.0,35.0,,2024
Cristian Lema,ARG,DF,33.0,29.2,1455.0,180.0,755.0,625.0,82.0,35.0,1455.0,11.0,8.0,72.7,3.0,27.3,702.0,3290.0,1943.0,15.0,9.0,0.0,11.0,6.0,825.0,10.0,,2024
Edinson Cavani,URU,FW,36.0,27.0,597.0,32.0,95.0,252.0,255.0,78.0,596.0,23.0,11.0,47.8,9.0,39.1,314.0,1062.0,358.0,7.0,6.0,3.0,54.0,9.0,419.0,102.0,,2024
Jorge Figal,ARG,DF,29.0,25.3,1347.0,150.0,706.0,584.0,62.0,9.0,1347.0,9.0,5.0,55.6,4.0,44.4,762.0,4272.0,2415.0,15.0,5.0,0.0,7.0,9.0,882.0,10.0,,2024
Cristian Medina,ARG,MF,21.0,24.6,1129.0,35.0,207.0,693.0,240.0,29.0,1129.0,55.0,25.0,45.5,26.0,47.3,656.0,3515.0,1894.0,43.0,30.0,5.0,36.0,32.0,802.0,55.0,,2024
Marcos Rojo,ARG,DF,33.0,18.1,1083.0,123.0,578.0,479.0,31.0,10.0,1083.0,5.0,4.0,80.0,1.0,20.0,581.0,2806.0,1809.0,12.0,4.0,0.0,6.0,2.0,758.0,5.0,,2024
Marcelo Saracchi,URU,"DF,MF",25.0,15.3,751.0,38.0,257.0,324.0,180.0,16.0,751.0,18.0,11.0,61.1,7.0,38.9,349.0,1941.0,878.0,18.0,16.0,5.0,11.0,6.0,437.0,80.0,,2024
Leandro Brey,ARG,GK,21.0,14.6,404.0,348.0,392.0,1.0,11.0,9.0,404.0,0.0,0.0,,0.0,,182.0,875.0,535.0,0.0,1.0,0.0,0.0,0.0,132.0,3.0,,2024
Jabes Saralegui,ARG,"MF,DF",21.0,14.4,440.0,10.0,72.0,227.0,143.0,11.0,440.0,23.0,11.0,47.8,10.0,43.5,211.0,1015.0,518.0,9.0,4.0,1.0,17.0,5.0,271.0,39.0,,2024
Tomás Belmonte,ARG,MF,25.0,14.1,809.0,32.0,208.0,516.0,92.0,10.0,809.0,11.0,4.0,36.4,5.0,45.5,356.0,1249.0,633.0,5.0,6.0,0.0,16.0,6.0,484.0,14.0,,2024
Lautaro Di Lollo,ARG,DF,19.0,14.0,692.0,89.0,366.0,318.0,12.0,1.0,692.0,6.0,3.0,50.0,3.0,50.0,364.0,2157.0,1403.0,4.0,4.0,0.0,6.0,2.0,429.0,2.0,,2024
Ezequiél Fernández,ARG,MF,21.0,13.9,849.0,15.0,166.0,571.0,117.0,9.0,849.0,21.0,12.0,57.1,8.0,38.1,525.0,2140.0,1157.0,15.0,12.0,1.0,17.0,10.0,609.0,16.0,,2024
Milton Giménez,ARG,FW,27.0,12.1,296.0,14.0,30.0,134.0,134.0,38.0,296.0,19.0,9.0,47.4,9.0,47.4,133.0,614.0,161.0,5.0,5.0,1.0,36.0,18.0,201.0,43.0,,2024
Aaron Anselmino,ARG,DF,18.0,12.0,674.0,64.0,320.0,342.0,19.0,3.0,674.0,9.0,4.0,44.4,5.0,55.6,326.0,1795.0,1167.0,9.0,2.0,0.0,13.0,2.0,416.0,1.0,,2024
Exequiel Zeballos,ARG,"MF,FW",21.0,11.9,443.0,3.0,40.0,131.0,281.0,61.0,443.0,60.0,25.0,41.7,33.0,55.0,308.0,2252.0,1207.0,45.0,27.0,18.0,40.0,26.0,335.0,102.0,,2024
Brian Aguirre,ARG,"FW,MF",20.0,9.9,413.0,2.0,25.0,173.0,219.0,30.0,413.0,36.0,15.0,41.7,21.0,58.3,229.0,1814.0,705.0,26.0,15.0,7.0,24.0,14.0,279.0,88.0,,2024
Luca Langoni,ARG,FW,21.0,9.6,260.0,2.0,20.0,94.0,150.0,28.0,260.0,34.0,12.0,35.3,16.0,47.1,158.0,895.0,328.0,9.0,9.0,5.0,28.0,8.0,174.0,65.0,,2024
Ignacio Miramon,ARG,MF,20.0,8.8,503.0,10.0,101.0,335.0,70.0,2.0,503.0,16.0,8.0,50.0,7.0,43.8,257.0,1372.0,586.0,10.0,5.0,0.0,12.0,14.0,308.0,15.0,,2024
Gary Medel,CHI,"DF,MF",36.0,7.8,482.0,55.0,276.0,190.0,17.0,0.0,482.0,1.0,0.0,0.0,1.0,100.0,260.0,1134.0,480.0,0.0,0.0,0.0,5.0,2.0,353.0,0.0,,2024
Lucas Janson,ARG,"FW,MF",29.0,7.7,190.0,6.0,18.0,78.0,97.0,18.0,190.0,12.0,4.0,33.3,6.0,50.0,115.0,620.0,313.0,9.0,11.0,1.0,11.0,7.0,148.0,50.0,,2024
Frank Fabra,COL,"DF,MF",32.0,6.2,334.0,13.0,77.0,167.0,91.0,8.0,334.0,15.0,7.0,46.7,8.0,53.3,179.0,904.0,531.0,16.0,6.0,2.0,5.0,9.0,208.0,33.0,,2024
Milton Delgado,ARG,MF,18.0,6.0,212.0,6.0,60.0,138.0,18.0,0.0,212.0,6.0,2.0,33.3,4.0,66.7,92.0,668.0,360.0,5.0,1.0,0.0,5.0,3.0,127.0,4.0,,2024
Mauricio Benítez,ARG,MF,19.0,5.9,199.0,4.0,44.0,141.0,15.0,1.0,199.0,6.0,3.0,50.0,3.0,50.0,102.0,361.0,184.0,2.0,2.0,0.0,8.0,1.0,126.0,4.0,,2024
Nicolás Valentini,ARG,DF,22.0,5.8,188.0,29.0,101.0,74.0,14.0,5.0,188.0,0.0,0.0,,0.0,,83.0,496.0,281.0,3.0,0.0,0.0,1.0,0.0,103.0,2.0,,2024
Jorman Campuzano,COL,DF,27.0,5.8,356.0,17.0,97.0,241.0,20.0,2.0,356.0,9.0,5.0,55.6,4.0,44.4,178.0,935.0,473.0,6.0,0.0,0.0,8.0,4.0,196.0,3.0,,2024
Juan Barinaga,ARG,DF,23.0,5.3,387.0,19.0,113.0,187.0,89.0,1.0,387.0,19.0,6.0,31.6,12.0,63.2,156.0,699.0,329.0,8.0,5.0,1.0,17.0,12.0,217.0,23.0,,2024
Lucas Blondel,SUI,"DF,MF",27.0,4.7,297.0,14.0,78.0,151.0,73.0,8.0,297.0,11.0,5.0,45.5,3.0,27.3,138.0,597.0,302.0,8.0,3.0,0.0,7.0,2.0,159.0,21.0,,2024
Agustín Martegani,ARG,MF,23.0,4.3,197.0,3.0,31.0,118.0,52.0,4.0,197.0,13.0,3.0,23.1,10.0,76.9,97.0,487.0,278.0,8.0,4.0,1.0,13.0,7.0,126.0,20.0,,2024
Darío Benedetto,ARG,FW,33.0,3.7,72.0,1.0,1.0,27.0,44.0,18.0,72.0,4.0,3.0,75.0,0.0,0.0,44.0,264.0,86.0,6.0,1.0,4.0,14.0,2.0,56.0,24.0,,2024
Ezequiel Bullaude,ARG,"FW,MF",23.0,2.7,123.0,1.0,13.0,72.0,45.0,3.0,123.0,13.0,7.0,53.8,6.0,46.2,75.0,502.0,217.0,6.0,8.0,0.0,7.0,7.0,83.0,13.0,,2024
Mateo Mendía,ARG,DF,19.0,2.3,112.0,8.0,45.0,64.0,4.0,2.0,112.0,1.0,1.0,100.0,0.0,0.0,65.0,355.0,234.0,1.0,0.0,0.0,0.0,0.0,73.0,1.0,,2024
Julián Ceballos,ARG,MF,19.0,2.0,32.0,2.0,5.0,15.0,12.0,0.0,32.0,0.0,0.0,,0.0,,16.0,42.0,24.0,0.0,1.0,0.0,1.0,0.0,20.0,1.0,,2024
Norberto Briasco,ARM,"MF,FW",27.0,1.9,27.0,0.0,4.0,12.0,12.0,2.0,27.0,2.0,0.0,0.0,1.0,50.0,18.0,127.0,35.0,2.0,0.0,2.0,1.0,4.0,19.0,6.0,,2024
Juan Ramírez,ARG,MF,30.0,1.7,27.0,0.0,4.0,20.0,4.0,0.0,27.0,1.0,0.0,0.0,1.0,100.0,11.0,61.0,32.0,0.0,0.0,0.0,0.0,3.0,19.0,3.0,,2024
Vicente Taborda,ARG,MF,22.0,1.6,71.0,1.0,8.0,42.0,23.0,5.0,71.0,3.0,1.0,33.3,2.0,66.7,47.0,192.0,73.0,1.0,1.0,3.0,4.0,2.0,50.0,9.0,,2024
Javier Hernán García,ARG,GK,37.0,0.8,16.0,13.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,,6.0,51.0,48.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,2024
Iker Zufiaurre,ARG,MF,18.0,0.7,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,2024
Dylan Gorosito,ARG,DF,17.0,0.5,19.0,2.0,7.0,10.0,2.0,0.0,19.0,2.0,2.0,100.0,0.0,0.0,6.0,48.0,21.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,,2024
Joaquín Ruíz,ARG,FW,17.0,0.2,10.0,0.0,1.0,6.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,7.0,13.0,3.0,0.0,0.0,0.0,2.0,2.0,8.0,2.0,,2024
Walter Molas,ARG,DF,19.0,0.1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2024
Santiago Dalmasso,ARG,MF,19.0,0.1,8.0,0.0,2.0,6.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,100.0,6.0,49.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,2024
Agustín Marchesín,ARG,GK,37-249,32.0,857.0,730.0,852.0,5.0,0.0,0.0,857.0,2.0,2.0,100.0,0.0,0.0,390.0,2074.0,1284.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,,2025
Lautaro Blanco,ARG,DF,26-274,29.8,1784.0,62.0,490.0,787.0,514.0,26.0,1784.0,47.0,23.0,48.9,24.0,51.1,850.0,4212.0,2175.0,67.0,46.0,7.0,36.0,10.0,1097.0,173.0,,2025
Rodrigo Battaglia,ARG,"DF,MF",34-131,24.9,1513.0,126.0,578.0,814.0,130.0,28.0,1513.0,5.0,3.0,60.0,2.0,40.0,722.0,3956.0,2494.0,26.0,24.0,2.0,15.0,9.0,1036.0,13.0,,2025
Miguel Merentiel,URU,FW,29-269,24.1,644.0,6.0,34.0,274.0,349.0,81.0,643.0,44.0,20.0,45.5,24.0,54.5,377.0,2703.0,1344.0,45.0,39.0,22.0,32.0,26.0,484.0,134.0,,2025
Carlos Palacios,CHI,MF,25-123,23.1,1116.0,19.0,145.0,650.0,342.0,25.0,1116.0,35.0,15.0,42.9,15.0,42.9,609.0,3179.0,1645.0,39.0,46.0,1.0,36.0,20.0,832.0,66.0,,2025
Lautaro Di Lollo,ARG,DF,21-255,22.2,1498.0,129.0,760.0,717.0,31.0,16.0,1498.0,6.0,4.0,66.7,2.0,33.3,809.0,3978.0,2379.0,17.0,5.0,0.0,6.0,2.0,1032.0,0.0,,2025
Ayrton Costa,ARG,DF,26-131,19.1,1026.0,122.0,597.0,387.0,46.0,22.0,1026.0,14.0,8.0,57.1,6.0,42.9,480.0,2257.0,1111.0,9.0,5.0,1.0,8.0,11.0,633.0,1.0,,2025
Milton Giménez,ARG,FW,29-100,17.3,459.0,23.0,43.0,197.0,226.0,94.0,459.0,21.0,8.0,38.1,13.0,61.9,209.0,1173.0,500.0,22.0,11.0,12.0,58.0,25.0,302.0,84.0,,2025
Edinson Cavani,URU,FW,38-279,15.5,388.0,18.0,57.0,188.0,146.0,45.0,385.0,10.0,5.0,50.0,5.0,50.0,173.0,648.0,278.0,7.0,3.0,2.0,36.0,3.0,254.0,58.0,,2025
Juan Barinaga,ARG,DF,25-041,14.8,1024.0,38.0,299.0,480.0,255.0,15.0,1024.0,44.0,19.0,43.2,24.0,54.5,508.0,2500.0,1270.0,32.0,27.0,1.0,26.0,12.0,622.0,88.0,,2025
Luis Advíncula,PER,DF,35-263,14.7,692.0,29.0,197.0,329.0,167.0,9.0,692.0,9.0,6.0,66.7,3.0,33.3,321.0,1434.0,731.0,19.0,18.0,3.0,12.0,12.0,417.0,59.0,,2025
Milton Delgado,ARG,MF,20-157,14.6,1004.0,15.0,215.0,711.0,85.0,1.0,1004.0,20.0,13.0,65.0,7.0,35.0,515.0,2191.0,1060.0,14.0,12.0,0.0,29.0,23.0,709.0,9.0,,2025
Alan Velasco,ARG,"MF,FW",23-116,13.8,665.0,4.0,76.0,350.0,247.0,18.0,665.0,41.0,17.0,41.5,24.0,58.5,353.0,1907.0,913.0,22.0,20.0,2.0,54.0,31.0,452.0,76.0,,2025
Tomás Belmonte,ARG,MF,27-177,13.5,620.0,31.0,171.0,373.0,77.0,14.0,620.0,10.0,3.0,30.0,6.0,60.0,237.0,853.0,299.0,1.0,5.0,1.0,17.0,6.0,366.0,14.0,,2025
Leandro Paredes,ARG,MF,31-144,13.2,1374.0,46.0,315.0,778.0,285.0,2.0,1373.0,9.0,7.0,77.8,2.0,22.2,679.0,3539.0,2114.0,29.0,20.0,0.0,13.0,11.0,987.0,23.0,,2025
Kevin Zenon,ARG,"MF,FW",24-113,12.7,602.0,8.0,60.0,265.0,282.0,24.0,602.0,31.0,14.0,45.2,17.0,54.8,357.0,1852.0,860.0,25.0,20.0,6.0,21.0,27.0,441.0,94.0,,2025
Exequiel Zeballos,ARG,"MF,FW",23-210,12.0,475.0,2.0,35.0,167.0,284.0,68.0,474.0,58.0,28.0,48.3,27.0,46.6,302.0,2314.0,1353.0,50.0,25.0,20.0,47.0,19.0,358.0,138.0,,2025
Marcos Rojo,ARG,DF,35-245,9.5,744.0,76.0,345.0,384.0,17.0,10.0,744.0,2.0,2.0,100.0,0.0,0.0,409.0,1644.0,1121.0,5.0,0.0,0.0,7.0,0.0,547.0,0.0,,2025
William Alarcón,CHI,MF,25-000,9.3,479.0,15.0,83.0,295.0,104.0,7.0,479.0,12.0,8.0,66.7,4.0,33.3,254.0,968.0,437.0,7.0,12.0,0.0,6.0,3.0,371.0,30.0,,2025
Brian Aguirre,ARG,"MF,FW",22-172,8.1,315.0,4.0,44.0,122.0,153.0,29.0,315.0,33.0,16.0,48.5,17.0,51.5,190.0,1300.0,593.0,25.0,17.0,12.0,19.0,11.0,212.0,65.0,,2025
Marco Pellegrino,ARG,DF,23-125,7.0,400.0,50.0,222.0,171.0,9.0,6.0,400.0,5.0,4.0,80.0,1.0,20.0,186.0,889.0,558.0,3.0,1.0,0.0,4.0,1.0,262.0,1.0,,2025
Lucas Blondel,SUI,"DF,MF",29-067,6.1,400.0,14.0,98.0,201.0,104.0,10.0,400.0,11.0,5.0,45.5,5.0,45.5,192.0,814.0,478.0,9.0,12.0,1.0,11.0,2.0,253.0,34.0,,2025
Ander Herrera,ESP,MF,36-098,5.1,470.0,12.0,82.0,281.0,107.0,9.0,470.0,3.0,1.0,33.3,1.0,33.3,246.0,748.0,278.0,1.0,7.0,0.0,6.0,3.0,353.0,18.0,,2025
Marcelo Saracchi,URU,"DF,MF",27-211,4.1,243.0,14.0,93.0,90.0,62.0,4.0,243.0,4.0,3.0,75.0,1.0,25.0,93.0,558.0,371.0,12.0,8.0,0.0,3.0,2.0,123.0,26.0,,2025
Malcom Braida,ARG,"FW,MF",28-187,3.6,92.0,2.0,20.0,45.0,28.0,1.0,92.0,3.0,0.0,0.0,3.0,100.0,33.0,103.0,19.0,1.0,0.0,0.0,6.0,4.0,46.0,13.0,,2025
Camilo Rey,ARG,MF,19-255,3.4,208.0,7.0,66.0,119.0,23.0,0.0,208.0,6.0,3.0,50.0,3.0,50.0,101.0,391.0,158.0,2.0,3.0,0.0,3.0,4.0,142.0,3.0,,2025
Leandro Brey,ARG,GK,23-060,3.0,85.0,78.0,85.0,0.0,0.0,0.0,85.0,0.0,0.0,,0.0,,43.0,226.0,139.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,,2025
Jorge Figal,ARG,DF,31-231,2.8,105.0,12.0,59.0,46.0,1.0,0.0,105.0,1.0,1.0,100.0,0.0,0.0,54.0,230.0,84.0,0.0,0.0,0.0,2.0,0.0,71.0,1.0,,2025
Lucas Janson,ARG,"FW,MF",31-096,1.3,51.0,0.0,3.0,13.0,35.0,9.0,51.0,4.0,3.0,75.0,1.0,25.0,28.0,171.0,60.0,2.0,1.0,0.0,8.0,4.0,36.0,9.0,,2025
Frank Fabra,COL,DF,34-271,1.2,76.0,1.0,22.0,36.0,20.0,5.0,76.0,2.0,1.0,50.0,1.0,50.0,41.0,226.0,149.0,6.0,3.0,1.0,2.0,2.0,44.0,6.0,,2025
Ignacio Miramon,ARG,"MF,FW",22-161,1.1,78.0,2.0,23.0,41.0,15.0,1.0,78.0,2.0,0.0,0.0,2.0,100.0,36.0,150.0,57.0,1.0,0.0,0.0,2.0,1.0,51.0,0.0,,2025
Mateo Mendía,ARG,DF,21-290,1.0,67.0,3.0,29.0,38.0,0.0,0.0,67.0,0.0,0.0,,0.0,,38.0,213.0,153.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,,2025
Agustín Martegani,ARG,MF,25-184,0.6,30.0,0.0,2.0,19.0,9.0,1.0,30.0,1.0,1.0,100.0,0.0,0.0,15.0,52.0,22.0,1.0,0.0,0.0,4.0,0.0,22.0,2.0,,2025
Joaquín Ruíz,ARG,"MF,FW",19-122,0.3,20.0,0.0,4.0,13.0,3.0,1.0,20.0,3.0,2.0,66.7,1.0,33.3,9.0,42.0,8.0,1.0,0.0,1.0,3.0,0.0,14.0,3.0,,2025
Santiago Dalmasso,ARG,MF,21-155,0.1,7.0,0.0,1.0,5.0,1.0,0.0,7.0,1.0,1.0,100.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,2025
