player,nation,position,age,nineties,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalty_goals,penalty_attempts,season,shots_from_free_kicks,xG,npxG,npxg_per_shot,goals_minus_xg,npg_minus_npxg,fbref_comp_id
Marcos Guillermo Díaz,ARG,GK,32,1.0,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Frank Fabra,COL,DF,27,1.0,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Agustín Obando,ARG,MF,18,0.8,0,1,1,100.0,1.2,1.2,0.0,0.0,17.3,0,0,2018,0.0,0.1,0.1,0.05,-0.1,-0.1,21.0
Nicolás Capaldo,ARG,MF,20,0.1,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Brandon Cortés,CHI,MF,17,0.1,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Mateo Retegui,ITA,FW,19,0.1,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Esteban Andrada,ARG,GK,28,20.0,0,0,0,,0.0,0.0,,,,0,0,2019,0.0,0.0,0.0,,0.0,0.0,21.0
Julio Buffarini,ARG,DF,30,19.7,0,5,1,20.0,0.25,0.05,0.0,0.0,21.1,0,0,2019,0.0,0.2,0.2,0.04,-0.2,-0.2,21.0
Frank Fabra,COL,DF,28,17.6,2,3,2,66.7,0.17,0.11,0.67,1.0,12.9,0,0,2019,0.0,0.9,0.9,0.3,1.1,1.1,21.0
Carlos Izquierdoz,ARG,DF,30,16.1,1,10,4,40.0,0.62,0.25,0.1,0.25,12.2,0,0,2019,0.0,0.7,0.7,0.07,0.3,0.3,21.0
Sebastián Villa,COL,"MF,FW",23,12.8,2,27,7,25.9,2.11,0.55,0.07,0.29,20.4,0,0,2019,2.0,3.0,3.0,0.11,-1.0,-1.0,21.0
Lisandro López,ARG,DF,29,12.3,1,9,4,44.4,0.73,0.32,0.11,0.25,12.7,0,0,2019,0.0,0.9,0.9,0.1,0.1,0.1,21.0
Iván Marcone,ARG,MF,29,12.5,0,0,0,,0.0,0.0,,,,0,0,2019,0.0,0.0,0.0,,0.0,0.0,21.0
Eduardo Salvio,ARG,"MF,FW",29,12.4,6,39,20,51.3,3.16,1.62,0.15,0.3,16.9,0,0,2019,0.0,4.3,4.2,0.11,1.7,1.8,21.0
Franco Soldano,ARG,FW,24,11.3,2,16,7,43.8,1.42,0.62,0.13,0.29,14.3,0,1,2019,0.0,2.8,2.0,0.13,-0.8,0.0,21.0
Júnior Alonso,PAR,DF,26,12.8,0,4,0,0.0,0.31,0.0,0.0,,13.2,0,0,2019,0.0,0.3,0.3,0.07,-0.3,-0.3,21.0
Carlos Tevez,ARG,"FW,MF",35,11.7,9,33,19,57.6,2.82,1.62,0.27,0.47,17.5,0,1,2019,5.0,5.7,4.9,0.15,3.3,4.1,21.0
Jorman Campuzano,COL,MF,23,10.5,0,3,0,0.0,0.29,0.0,0.0,,25.3,0,0,2019,0.0,0.1,0.1,0.04,-0.1,-0.1,21.0
Emanuel Reynoso,ARG,"MF,FW",23,10.0,1,13,6,46.2,1.3,0.6,0.08,0.17,23.5,0,0,2019,3.0,1.7,1.7,0.13,-0.7,-0.7,21.0
Nicolás Capaldo,ARG,MF,21,9.7,0,6,2,33.3,0.62,0.21,0.0,0.0,14.9,0,0,2019,0.0,1.1,1.1,0.18,-1.1,-1.1,21.0
Alexis Mac Allister,ARG,MF,20,7.9,1,24,12,50.0,3.05,1.53,0.04,0.08,23.3,0,0,2019,5.0,2.2,2.2,0.09,-1.2,-1.2,21.0
Guillermo Matías Fernández,ARG,MF,27,6.5,1,4,1,25.0,0.61,0.15,0.25,1.0,22.7,0,0,2019,1.0,0.2,0.2,0.05,0.8,0.8,21.0
Agustín Obando,ARG,"MF,FW",19,5.9,0,6,2,33.3,1.02,0.34,0.0,0.0,13.3,0,0,2019,0.0,0.9,0.9,0.15,-0.9,-0.9,21.0
Jan Carlos Hurtado,VEN,FW,19,7.1,1,16,5,31.3,2.25,0.7,0.06,0.2,13.8,0,0,2019,0.0,2.8,2.8,0.17,-1.8,-1.8,21.0
Agustín Almendra,ARG,MF,19,4.8,1,8,2,25.0,1.66,0.41,0.13,0.5,26.1,0,0,2019,0.0,1.1,1.1,0.14,-0.1,-0.1,21.0
Mauro Zárate,ARG,"FW,MF",32,5.4,2,27,13,48.1,5.01,2.41,0.07,0.15,21.2,0,0,2019,9.0,2.6,2.6,0.1,-0.6,-0.6,21.0
Ramón Ábila,ARG,FW,29,5.2,5,11,6,54.5,2.12,1.16,0.36,0.67,10.3,1,1,2019,0.0,4.6,3.8,0.35,0.4,0.2,21.0
Emmanuel Más,ARG,DF,30,4.9,0,8,1,12.5,1.63,0.2,0.0,0.0,14.2,0,0,2019,0.0,0.4,0.4,0.05,-0.4,-0.4,21.0
Paolo Goltz,ARG,DF,34,4.0,0,5,0,0.0,1.25,0.0,0.0,,12.5,0,0,2019,1.0,0.3,0.3,0.07,-0.3,-0.3,21.0
Daniele De Rossi,ITA,MF,36,3.8,0,0,0,,0.0,0.0,,,,0,0,2019,0.0,0.0,0.0,,0.0,0.0,21.0
Marcos Guillermo Díaz,ARG,GK,33,3.0,0,0,0,,0.0,0.0,,,,0,0,2019,0.0,0.0,0.0,,0.0,0.0,21.0
Marcelo Weigandt,ARG,DF,19,3.0,0,5,1,20.0,1.67,0.33,0.0,0.0,18.1,0,0,2019,0.0,0.2,0.2,0.04,-0.2,-0.2,21.0
Carlos Zambrano,PER,DF,30,0.7,0,1,1,100.0,1.34,1.34,0.0,0.0,15.6,0,0,2019,0.0,0.0,0.0,0.03,0.0,0.0,21.0
Gastón Ávila,ARG,DF,17,0.1,0,0,0,,0.0,0.0,,,,0,0,2019,0.0,0.0,0.0,,0.0,0.0,21.0
Carlos Izquierdoz,ARG,DF,31,19.7,0,17,5,29.4,0.86,0.25,0.0,0.0,11.7,0,0,2020,0.0,0.6,0.6,0.05,-0.6,-0.6,
Esteban Andrada,ARG,GK,29,18.7,0,0,0,,0.0,0.0,,,,0,0,2020,0.0,0.0,0.0,,0.0,0.0,
Nicolás Capaldo,ARG,MF,22,17.3,0,18,7,38.9,1.04,0.4,0.0,0.0,19.8,0,0,2020,0.0,0.8,0.8,0.09,-0.8,-0.8,
Sebastián Villa,COL,"MF,FW",23,15.1,2,38,14,36.8,2.51,0.93,0.03,0.07,21.3,1,1,2020,1.0,2.4,1.6,0.09,-1.4,-1.6,
Jorman Campuzano,COL,MF,23,14.8,0,1,0,0.0,0.07,0.0,0.0,,,0,0,2020,0.0,0.0,0.0,,0.0,0.0,
Julio Buffarini,ARG,DF,31,14.4,0,4,2,50.0,0.28,0.14,0.0,0.0,17.5,0,0,2020,0.0,0.2,0.2,0.04,-0.2,-0.2,
Carlos Tevez,ARG,FW,35,14.3,5,50,19,38.0,3.5,1.33,0.1,0.26,20.1,0,0,2020,3.0,3.9,3.9,0.1,-0.9,-0.9,
Leonardo Jara,ARG,DF,28,14.1,0,7,2,28.6,0.5,0.14,0.0,0.0,22.8,0,0,2020,0.0,0.2,0.2,0.04,-0.2,-0.2,
Eduardo Salvio,ARG,MF,29,13.7,6,37,14,37.8,2.69,1.02,0.16,0.43,14.3,0,0,2020,0.0,3.5,3.5,0.13,2.5,2.5,
Carlos Zambrano,PER,DF,30,13.1,0,4,0,0.0,0.31,0.0,0.0,,9.6,0,0,2020,0.0,0.4,0.4,0.19,-0.4,-0.4,
Frank Fabra,COL,DF,28,12.7,0,6,4,66.7,0.47,0.31,0.0,0.0,18.1,0,0,2020,0.0,0.2,0.2,0.06,-0.2,-0.2,
Edwin Cardona,COL,"MF,FW",27,12.6,4,26,12,46.2,2.07,0.96,0.15,0.33,23.1,0,0,2020,0.0,0.5,0.5,0.06,-0.5,-0.5,
Emmanuel Más,ARG,"DF,MF",31,11.6,0,5,1,20.0,0.43,0.09,0.0,0.0,,0,0,2020,0.0,0.0,0.0,,0.0,0.0,
Lisandro López,ARG,DF,30,11.3,2,12,4,33.3,1.06,0.35,0.17,0.5,13.6,0,0,2020,0.0,0.3,0.3,0.05,0.7,0.7,
Franco Soldano,ARG,FW,25,10.1,1,21,8,38.1,2.07,0.79,0.05,0.13,14.0,0,0,2020,0.0,2.1,2.1,0.16,-2.1,-2.1,
Ramón Ábila,ARG,FW,30,9.2,7,25,9,36.0,2.72,0.98,0.28,0.78,11.4,0,2,2020,0.0,0.7,0.7,0.11,0.3,0.3,
Mauro Zárate,ARG,"FW,MF",32,7.8,1,23,11,47.8,2.94,1.41,0.04,0.09,20.5,0,0,2020,0.0,0.1,0.1,0.05,-0.1,-0.1,
Agustín Rossi,ARG,GK,24,6.0,0,0,0,,0.0,0.0,,,,0,0,2020,,0.0,0.0,,0.0,0.0,
Guillermo Matías Fernández,ARG,MF,28,5.4,0,6,2,33.3,1.11,0.37,0.0,0.0,22.2,0,0,2020,0.0,0.3,0.3,0.04,-0.3,-0.3,
Agustín Obando,ARG,"MF,FW",19,5.2,1,8,2,25.0,1.54,0.38,0.13,0.5,15.9,0,0,2020,0.0,0.1,0.1,0.05,-0.1,-0.1,
Unknown,nan,Unknown,,,,,,,,,,,,,,2020,,0.0,0.0,,0.0,0.0,
Diego González,ARG,MF,31,4.7,1,4,1,25.0,0.85,0.21,0.25,1.0,,0,0,2020,0.0,0.0,0.0,,0.0,0.0,
Gastón Ávila,ARG,DF,18,4.0,0,0,0,,0.0,0.0,,,,0,0,2020,,0.0,0.0,,0.0,0.0,
Gonzalo Maroni,ARG,"MF,FW",20,3.5,0,5,2,40.0,1.43,0.57,0.0,0.0,13.1,0,0,2020,0.0,0.6,0.6,0.31,-0.6,-0.6,
Alan Varela,ARG,MF,18,3.2,0,4,1,25.0,1.24,0.31,0.0,0.0,,0,0,2020,,0.0,0.0,,0.0,0.0,
Exequiel Zeballos,ARG,"FW,MF",17,2.7,0,4,2,50.0,1.46,0.73,0.0,0.0,,0,0,2020,,0.0,0.0,,0.0,0.0,
Júnior Alonso,PAR,DF,26,1.3,0,1,0,0.0,0.78,0.0,0.0,,36.0,0,0,2020,0.0,0.0,0.0,0.02,0.0,0.0,
Emanuel Reynoso,ARG,"MF,FW",24,1.2,1,2,1,50.0,1.61,0.8,0.5,1.0,31.5,0,0,2020,1.0,0.1,0.1,0.04,0.9,0.9,
Iván Marcone,ARG,MF,29,1.1,0,0,0,,0.0,0.0,,,,0,0,2020,0.0,0.0,0.0,,0.0,0.0,
Walter Bou,ARG,FW,26,1.0,0,1,0,0.0,0.98,0.0,0.0,,14.2,0,0,2020,0.0,0.1,0.1,0.08,-0.1,-0.1,
Luis Vázquez,ARG,FW,19,0.0,0,0,0,,0.0,0.0,,,,0,0,2020,,0.0,0.0,,0.0,0.0,
Carlos Izquierdoz,ARG,DF,32,40.3,3,34,8,23.5,0.84,0.2,0.09,0.38,11.2,0,0,2021,0.0,3.1,3.1,0.09,-0.1,-0.1,
Agustín Rossi,ARG,GK,25,33.0,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Frank Fabra,COL,DF,29,32.4,2,11,4,36.4,0.34,0.12,0.18,0.5,17.6,0,0,2021,0.0,0.7,0.7,0.06,1.3,1.3,
Sebastián Villa,COL,"FW,MF",24,24.9,9,64,34,53.1,2.57,1.37,0.13,0.24,18.8,1,2,2021,4.0,9.8,8.2,0.13,-0.8,-0.2,
Jorman Campuzano,COL,MF,24,23.4,1,2,2,100.0,0.09,0.09,0.5,0.5,23.5,0,0,2021,0.0,0.1,0.1,0.05,0.9,0.9,
Cristian Medina,ARG,MF,18,23.0,1,17,6,35.3,0.74,0.26,0.06,0.17,20.1,0,0,2021,0.0,2.0,2.0,0.12,-1.0,-1.0,
Cristian Pavón,ARG,"FW,MF",25,22.2,4,57,16,28.1,2.57,0.72,0.05,0.19,20.4,1,1,2021,4.0,5.6,4.8,0.09,-1.6,-1.8,
Lisandro López,ARG,DF,31,22.2,2,19,7,36.8,0.86,0.32,0.11,0.29,14.6,0,0,2021,0.0,1.8,1.8,0.09,0.2,0.2,
Marcos Rojo,ARG,DF,30,21.9,1,11,1,9.1,0.5,0.05,0.0,0.0,25.7,1,1,2021,1.0,1.4,0.6,0.06,-0.4,-0.6,
Agustín Almendra,ARG,MF,20,19.5,4,45,11,24.4,2.31,0.56,0.09,0.36,29.0,0,0,2021,2.0,2.1,2.1,0.05,1.9,1.9,
Alan Varela,ARG,MF,19,16.2,0,8,3,37.5,0.5,0.19,0.0,0.0,28.3,0,0,2021,0.0,0.4,0.4,0.05,-0.4,-0.4,
Luis Vázquez,ARG,FW,20,16.0,7,45,17,37.8,2.8,1.06,0.16,0.41,12.1,0,0,2021,0.0,7.7,7.7,0.17,-0.7,-0.7,
Carlos Tevez,ARG,FW,36,15.4,4,46,18,39.1,2.99,1.17,0.09,0.22,18.8,0,0,2021,8.0,6.2,6.2,0.13,-2.2,-2.2,
Carlos Zambrano,PER,DF,31,14.8,2,7,2,28.6,0.47,0.14,0.29,1.0,17.3,0,0,2021,0.0,0.7,0.6,0.09,1.3,1.4,
Nicolás Capaldo,ARG,"DF,MF",23,14.6,0,8,4,50.0,0.55,0.27,0.0,0.0,17.5,0,0,2021,0.0,1.2,1.2,0.15,-1.2,-1.2,
Edwin Cardona,COL,MF,28,14.0,3,35,6,17.1,2.5,0.43,0.09,0.5,26.6,0,0,2021,10.0,1.8,1.8,0.05,1.2,1.2,
Juan Ramírez,ARG,MF,27,12.5,1,15,4,26.7,1.2,0.32,0.07,0.25,21.2,0,0,2021,0.0,1.1,1.1,0.08,-0.1,-0.1,
Luis Advíncula,PER,DF,30,11.6,0,3,1,33.3,0.26,0.09,0.0,0.0,27.0,0,0,2021,0.0,0.1,0.1,0.05,-0.1,-0.1,
Norberto Briasco,ARM,FW,24,11.0,1,13,2,15.4,1.18,0.18,0.08,0.5,13.1,0,0,2021,0.0,1.3,1.3,0.1,-0.3,-0.3,
Esteban Andrada,ARG,GK,30,11.0,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Aaron Nicolás Molinas,ARG,FW,20,10.6,0,20,6,30.0,1.88,0.56,0.0,0.0,21.7,0,0,2021,2.0,1.7,1.7,0.08,-1.7,-1.7,
Agustín Sández,PAR,DF,20,10.4,0,6,1,16.7,0.58,0.1,0.0,0.0,20.6,0,0,2021,0.0,0.4,0.4,0.07,-0.4,-0.4,
Marcelo Weigandt,ARG,DF,21,10.4,1,11,2,18.2,1.06,0.19,0.09,0.5,17.2,0,0,2021,0.0,0.9,0.9,0.08,0.1,0.1,
Esteban Rolón,ARG,MF,25,10.0,0,4,0,0.0,0.4,0.0,0.0,,25.4,0,0,2021,0.0,0.2,0.2,0.04,-0.2,-0.2,
Rodrigo Montes,ARG,"MF,FW",21,8.6,1,13,4,30.8,1.51,0.46,0.08,0.25,22.7,0,0,2021,0.0,1.0,1.0,0.08,0.0,0.0,
Unknown,nan,Unknown,,,,,,,,,,,,,,2021,,0.0,0.0,,0.0,0.0,
Julio Buffarini,ARG,DF,32,8.6,0,4,0,0.0,0.46,0.0,0.0,,20.2,0,0,2021,0.0,0.2,0.2,0.05,-0.2,-0.2,
Diego González,ARG,MF,32,7.9,2,12,4,33.3,1.51,0.5,0.17,0.5,20.3,0,0,2021,1.0,0.7,0.7,0.06,1.3,1.3,
Franco Soldano,ARG,FW,26,6.5,2,6,3,50.0,0.93,0.46,0.33,0.67,8.9,0,0,2021,0.0,1.8,1.8,0.3,0.2,0.2,
Agustín Obando,ARG,"FW,MF",20,5.9,1,7,2,28.6,1.18,0.34,0.14,0.5,20.1,0,0,2021,0.0,0.3,0.3,0.05,0.7,0.7,
Gonzalo Maroni,ARG,"FW,MF",21,5.7,3,11,5,45.5,1.92,0.87,0.27,0.6,12.8,0,0,2021,0.0,2.8,2.8,0.25,0.2,0.2,
Eros Mancuso,ARG,DF,21,4.7,1,8,3,37.5,1.7,0.64,0.13,0.33,21.8,0,0,2021,0.0,0.5,0.5,0.06,0.5,0.5,
Nicolás Orsini,ARG,FW,26,4.5,1,10,3,30.0,2.2,0.66,0.1,0.33,11.3,0,0,2021,0.0,1.6,1.6,0.16,-0.6,-0.6,
Mauro Zárate,ARG,"FW,MF",33,4.4,1,10,4,40.0,2.25,0.9,0.1,0.25,17.0,0,0,2021,0.0,1.3,1.3,0.16,-0.3,-0.3,
Eduardo Salvio,ARG,"FW,MF",30,4.4,1,13,9,69.2,2.95,2.05,0.08,0.11,18.6,0,0,2021,0.0,0.9,0.9,0.07,0.1,0.1,
Exequiel Zeballos,ARG,MF,18,3.9,1,4,0,0.0,1.03,0.0,0.0,,32.2,1,1,2021,1.0,1.0,0.2,0.05,0.0,-0.2,
Emmanuel Más,ARG,DF,32,3.8,0,1,0,0.0,0.27,0.0,0.0,,33.2,0,0,2021,0.0,0.0,0.0,0.02,0.0,0.0,
Leonardo Jara,ARG,MF,29,3.5,0,3,1,33.3,0.86,0.29,0.0,0.0,22.9,0,0,2021,0.0,0.3,0.3,0.09,-0.3,-0.3,
Javier Hernán García,ARG,GK,34,3.0,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Ezequiél Fernández,ARG,MF,18,2.5,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Valentín Barco,ARG,DF,16,2.3,0,1,0,0.0,0.44,0.0,0.0,,21.0,0,0,2021,1.0,0.1,0.1,0.08,-0.1,-0.1,
Vicente Taborda,ARG,"MF,FW",19,2.1,0,3,0,0.0,1.44,0.0,0.0,,24.3,0,0,2021,0.0,0.2,0.2,0.06,-0.2,-0.2,
Gabriel Vega,ARG,MF,18,2.1,0,2,0,0.0,0.96,0.0,0.0,,19.0,0,0,2021,0.0,0.1,0.1,0.07,-0.1,-0.1,
Gabriel Aranda,ARG,DF,19,2.0,0,1,0,0.0,0.5,0.0,0.0,,10.1,0,0,2021,0.0,0.1,0.1,0.1,-0.1,-0.1,
Balthazar Bernardi,ARG,DF,19,2.0,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Agustín Lastra,ARG,GK,20,2.0,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Renzo Giampaoli,ARG,DF,21,2.0,0,1,0,0.0,0.5,0.0,0.0,,16.5,0,0,2021,0.0,0.0,0.0,0.05,0.0,0.0,
Israel Escalante,ARG,FW,22,1.4,0,1,0,0.0,0.72,0.0,0.0,,5.3,0,0,2021,0.0,0.1,0.1,0.14,-0.1,-0.1,
Érik Bodencer,ARG,FW,20,1.2,0,4,1,25.0,3.43,0.86,0.0,0.0,22.3,0,0,2021,0.0,0.3,0.3,0.07,-0.3,-0.3,
Ezequiel Almirón,ARG,FW,18,0.3,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Nicolás Valentini,ARG,DF,19,0.3,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Juan Cabaña,ARG,MF,19,0.2,0,1,0,0.0,4.09,0.0,0.0,,30.1,0,0,2021,0.0,0.0,0.0,0.03,0.0,0.0,
Kevin Duarte,ARG,MF,19,0.2,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Nahuel Génez,ARG,DF,17,0.1,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Iván Alvariño,ARG,FW,19,0.1,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Lucas Palma,ARG,FW,17,0.1,0,0,0,,0.0,0.0,,,,0,0,2021,0.0,0.0,0.0,,0.0,0.0,
Agustín Rossi,ARG,GK,26,44.2,0,0,0,,0.0,0.0,,,,0,0,2022,0.0,0.0,0.0,,0.0,0.0,
Guillermo Matías Fernández,ARG,MF,30,42.2,3,29,14,48.3,0.69,0.33,0.1,0.21,15.5,0,1,2022,1.0,3.9,3.1,0.11,-0.9,-0.1,
Frank Fabra,COL,DF,30,41.9,3,18,10,55.6,0.43,0.24,0.17,0.3,18.3,0,0,2022,0.0,1.5,1.5,0.08,1.5,1.5,
Luis Advíncula,PER,DF,31,41.1,1,18,5,27.8,0.44,0.12,0.06,0.2,21.4,0,0,2022,0.0,1.4,1.4,0.08,-0.4,-0.4,
Sebastián Villa,COL,"MF,FW",25,32.7,9,97,41,42.3,2.97,1.25,0.09,0.22,23.3,0,0,2022,12.0,6.8,6.8,0.07,2.2,2.2,
Alan Varela,ARG,MF,20,32.3,1,25,5,20.0,0.77,0.15,0.04,0.2,28.7,0,0,2022,0.0,0.6,0.6,0.02,0.4,0.4,
Óscar Romero,PAR,MF,29,31.5,2,63,25,39.7,2.0,0.79,0.03,0.08,25.6,0,0,2022,16.0,4.2,4.2,0.07,-2.2,-2.2,
Darío Benedetto,ARG,FW,31,30.0,15,73,28,38.4,2.43,0.93,0.18,0.46,16.0,2,4,2022,1.0,13.0,9.9,0.14,2.0,3.1,
Marcos Rojo,ARG,DF,31,28.4,5,23,6,26.1,0.81,0.21,0.13,0.5,17.6,2,3,2022,0.0,3.9,1.5,0.07,1.1,1.5,
Juan Ramírez,ARG,MF,28,24.8,1,36,4,11.1,1.45,0.16,0.03,0.25,19.7,0,0,2022,0.0,2.2,2.2,0.06,-1.2,-1.2,
Carlos Zambrano,PER,DF,32,24.7,0,10,2,20.0,0.4,0.08,0.0,0.0,11.6,0,0,2022,0.0,0.5,0.5,0.05,-0.5,-0.5,
Luis Vázquez,ARG,FW,21,21.5,4,48,15,31.3,2.23,0.7,0.08,0.27,14.4,0,0,2022,0.0,4.4,4.4,0.09,-0.4,-0.4,
Cristian Medina,ARG,MF,19,16.0,0,15,4,26.7,0.93,0.25,0.0,0.0,18.5,0,0,2022,0.0,1.0,1.0,0.06,-1.0,-1.0,
Carlos Izquierdoz,ARG,DF,33,15.7,1,12,4,33.3,0.76,0.25,0.08,0.25,12.3,0,0,2022,0.0,0.7,0.7,0.06,0.3,0.3,
Jorge Figal,ARG,DF,27,15.1,0,3,0,0.0,0.2,0.0,0.0,,14.7,0,0,2022,0.0,0.3,0.3,0.11,-0.3,-0.3,
Exequiel Zeballos,ARG,"MF,FW",19,14.9,3,41,12,29.3,2.75,0.8,0.07,0.25,20.9,0,0,2022,5.0,3.2,3.2,0.08,-0.2,-0.2,
Eduardo Salvio,ARG,MF,31,11.9,4,32,11,34.4,2.69,0.92,0.06,0.18,15.6,2,2,2022,0.0,4.7,3.2,0.1,-0.7,-1.2,
Agustín Sández,PAR,DF,21,11.8,1,4,1,25.0,0.34,0.08,0.25,1.0,17.3,0,0,2022,0.0,0.4,0.4,0.1,0.6,0.6,
Gabriel Aranda,ARG,DF,20,11.0,0,5,3,60.0,0.45,0.27,0.0,0.0,10.2,0,0,2022,0.0,0.5,0.5,0.09,-0.5,-0.5,
Aaron Nicolás Molinas,ARG,MF,21,11.0,0,14,8,57.1,1.27,0.73,0.0,0.0,25.3,0,0,2022,3.0,0.7,0.7,0.05,-0.7,-0.7,
