player,nation,position,age,nineties,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalty_goals,penalty_attempts,season,shots_from_free_kicks,xG,npxG,npxg_per_shot,goals_minus_xg,npg_minus_npxg,fbref_comp_id
Luca Langoni,ARG,"FW,MF",19,10.5,6,15,10,66.7,1.42,0.95,0.4,0.6,15.4,0,0,2022,0.0,1.9,1.9,0.13,4.1,4.1,
Jorman Campuzano,COL,MF,25,9.9,0,3,0,0.0,0.3,0.0,0.0,,18.9,0,0,2022,0.0,0.1,0.1,0.03,-0.1,-0.1,
Marcelo Weigandt,ARG,DF,22,9.0,0,9,0,0.0,1.0,0.0,0.0,,19.8,0,0,2022,0.0,0.7,0.7,0.08,-0.7,-0.7,
Facundo Roncaglia,ARG,DF,34,8.7,0,5,2,40.0,0.58,0.23,0.0,0.0,15.8,0,0,2022,0.0,0.3,0.3,0.07,-0.3,-0.3,
Javier Hernán García,ARG,GK,35,8.0,0,0,0,,0.0,0.0,,,,0,0,2022,0.0,0.0,0.0,,0.0,0.0,
Unknown,nan,Unknown,,,,,,,,,,,,,,2022,,0.0,0.0,,0.0,0.0,
Martín Payero,ARG,"MF,FW",23,7.5,1,13,2,15.4,1.73,0.27,0.08,0.5,25.8,0,0,2022,2.0,1.0,1.0,0.08,0.0,0.0,
Nicolás Orsini,ARG,FW,27,5.6,0,12,3,25.0,2.13,0.53,0.0,0.0,12.2,0,0,2022,0.0,0.8,0.8,0.07,-0.8,-0.8,
Esteban Rolón,ARG,MF,26,4.4,0,1,1,100.0,0.23,0.23,0.0,0.0,28.5,0,0,2022,0.0,0.0,0.0,0.03,0.0,0.0,
Gastón Ávila,ARG,DF,20,3.6,0,4,1,25.0,1.13,0.28,0.0,0.0,18.6,0,0,2022,0.0,0.1,0.1,0.04,-0.1,-0.1,
Diego González,ARG,MF,33,3.0,0,6,3,50.0,2.0,1.0,0.0,0.0,15.6,0,0,2022,0.0,0.4,0.4,0.07,-0.4,-0.4,
Norberto Briasco,ARM,"FW,MF",25,1.7,1,1,1,100.0,0.59,0.59,1.0,1.0,15.3,0,0,2022,0.0,0.0,0.0,0.04,1.0,1.0,
Gonzalo Morales,ARG,FW,18,1.5,1,5,3,60.0,3.28,1.97,0.2,0.33,21.6,0,0,2022,0.0,0.3,0.3,0.05,0.7,0.7,
Gabriel Vega,ARG,MF,19,1.0,0,1,0,0.0,1.02,0.0,0.0,,25.6,0,0,2022,0.0,0.0,0.0,0.02,0.0,0.0,
Maximiliano Zalazar,ARG,"FW,MF",20,0.6,0,0,0,,0.0,0.0,,,,0,0,2022,0.0,0.0,0.0,,0.0,0.0,
Leandro Brey,ARG,GK,19,0.5,0,0,0,,0.0,0.0,,,,0,0,2022,0.0,0.0,0.0,,0.0,0.0,
Brandon Cortés,CHI,"MF,FW",20,0.4,0,0,0,,0.0,0.0,,,,0,0,2022,0.0,0.0,0.0,,0.0,0.0,
Simón Rivero,ARG,"MF,FW",18,0.2,0,1,0,0.0,5.63,0.0,0.0,,12.8,0,0,2022,0.0,0.1,0.1,0.07,-0.1,-0.1,
Agustín Almendra,ARG,MF,21,0.1,0,0,0,,0.0,0.0,,,,0,0,2022,0.0,0.0,0.0,,0.0,0.0,
Vicente Taborda,ARG,MF,20,0.0,0,0,0,,0.0,0.0,,,,0,0,2022,0.0,0.0,0.0,,0.0,0.0,
Sergio Romero,ARG,GK,35,46.3,0,0,0,,0.0,0.0,,,,0,0,2023,0.0,0.0,0.0,,0.0,0.0,
Jorge Figal,ARG,DF,28,40.5,4,31,7,22.6,0.77,0.17,0.13,0.57,15.9,0,0,2023,0.0,3.0,3.0,0.1,1.0,1.0,
Guillermo Matías Fernández,ARG,MF,31,37.8,2,21,5,23.8,0.56,0.13,0.1,0.4,17.2,0,0,2023,0.0,2.7,2.7,0.13,-0.7,-0.7,
Cristian Medina,ARG,"MF,FW",20,33.3,4,40,15,37.5,1.2,0.45,0.1,0.27,18.7,0,0,2023,0.0,5.1,5.1,0.13,-1.1,-1.1,
Luis Advíncula,PER,"DF,FW",32,32.8,4,24,10,41.7,0.73,0.31,0.17,0.4,22.4,0,0,2023,0.0,0.8,0.8,0.04,3.2,3.2,
Frank Fabra,COL,DF,31,29.6,0,10,5,50.0,0.34,0.17,0.0,0.0,16.8,0,0,2023,0.0,0.8,0.8,0.08,-0.8,-0.8,
Miguel Merentiel,URU,FW,26,27.0,15,59,23,39.0,2.18,0.85,0.22,0.57,14.9,2,2,2023,4.0,13.2,11.6,0.2,1.8,1.4,
Alan Varela,ARG,MF,21,26.3,1,20,4,20.0,0.76,0.15,0.05,0.25,26.0,0,0,2023,0.0,1.0,1.0,0.05,0.0,0.0,
Nicolás Valentini,ARG,DF,21,25.7,1,13,6,46.2,0.51,0.23,0.08,0.17,12.4,0,0,2023,0.0,1.4,1.4,0.11,-0.4,-0.4,
Bruno Valdez,PAR,"DF,FW",30,25.5,0,12,2,16.7,0.47,0.08,0.0,0.0,9.2,0,0,2023,0.0,1.4,1.4,0.11,-1.4,-1.4,
Ezequiél Fernández,ARG,MF,20,25.2,0,18,4,22.2,0.71,0.16,0.0,0.0,23.2,0,0,2023,0.0,1.1,1.1,0.06,-1.1,-1.1,
Marcelo Weigandt,ARG,DF,23,24.4,2,20,8,40.0,0.82,0.33,0.1,0.25,15.7,0,0,2023,0.0,2.0,2.0,0.1,0.0,0.0,
Valentín Barco,ARG,"MF,DF",18,22.9,2,29,10,34.5,1.26,0.44,0.07,0.2,21.6,0,0,2023,0.0,2.5,2.5,0.09,-0.5,-0.5,
Darío Benedetto,ARG,FW,32,19.2,5,47,11,23.4,2.45,0.57,0.11,0.45,15.9,0,1,2023,0.0,6.9,6.1,0.13,-1.9,-1.1,
Sebastián Villa,COL,"FW,MF",26,18.9,1,46,15,32.6,2.43,0.79,0.02,0.07,24.1,0,0,2023,10.0,3.1,3.1,0.07,-2.1,-2.1,
Facundo Roncaglia,ARG,DF,35,15.7,0,4,1,25.0,0.25,0.06,0.0,0.0,9.3,0,0,2023,0.0,0.3,0.3,0.09,-0.3,-0.3,
Óscar Romero,PAR,"FW,MF",30,13.6,2,43,13,30.2,3.15,0.95,0.05,0.15,26.5,0,0,2023,12.0,2.5,2.5,0.06,-0.5,-0.5,
Edinson Cavani,URU,FW,35,12.6,2,19,8,42.1,1.5,0.63,0.11,0.25,12.7,0,0,2023,2.0,3.1,3.1,0.17,-1.1,-1.1,
Marcelo Saracchi,URU,DF,24,11.6,0,8,1,12.5,0.69,0.09,0.0,0.0,19.1,0,0,2023,0.0,0.3,0.3,0.04,-0.3,-0.3,
Luca Langoni,ARG,"FW,MF",20,10.3,3,22,5,22.7,2.14,0.49,0.14,0.6,15.3,0,0,2023,0.0,2.7,2.7,0.12,0.3,0.3,
Lucas Janson,ARG,"FW,MF",28,9.5,2,16,4,25.0,1.69,0.42,0.13,0.5,21.3,0,0,2023,0.0,0.8,0.8,0.05,1.2,1.2,
Marcos Rojo,ARG,DF,32,9.0,1,3,2,66.7,0.33,0.22,0.33,0.5,24.2,0,0,2023,0.0,0.8,0.8,0.26,0.2,0.2,
Javier Hernán García,ARG,GK,36,9.0,0,0,0,,0.0,0.0,,,,0,0,2023,0.0,0.0,0.0,,0.0,0.0,
Juan Ramírez,ARG,"MF,FW",29,8.9,0,5,1,20.0,0.56,0.11,0.0,0.0,23.8,0,0,2023,0.0,0.2,0.2,0.04,-0.2,-0.2,
Jorman Campuzano,COL,MF,26,8.3,0,0,0,,0.0,0.0,,,,0,0,2023,0.0,0.0,0.0,,0.0,0.0,
Unknown,nan,Unknown,,,,,,,,,,,,,,2023,,0.0,0.0,,0.0,0.0,
Exequiel Zeballos,ARG,"FW,DF",20,8.0,2,24,8,33.3,3.01,1.0,0.08,0.25,24.1,0,0,2023,6.0,1.8,1.8,0.07,0.2,0.2,
Martín Payero,ARG,MF,24,7.6,4,20,6,30.0,2.62,0.78,0.2,0.67,20.7,0,0,2023,4.0,1.4,1.4,0.07,2.6,2.6,
Norberto Briasco,ARM,FW,26,7.1,1,14,6,42.9,1.96,0.84,0.07,0.17,18.8,0,0,2023,0.0,0.8,0.8,0.06,0.2,0.2,
Lucas Blondel,SUI,DF,26,6.6,1,11,2,18.2,1.66,0.3,0.09,0.5,30.4,0,0,2023,0.0,0.5,0.5,0.04,0.5,0.5,
Luis Vázquez,ARG,FW,22,6.3,3,17,12,70.6,2.69,1.9,0.18,0.25,14.3,0,0,2023,0.0,3.7,3.7,0.22,-0.7,-0.7,
Agustín Sández,PAR,DF,22,5.4,0,4,2,50.0,0.74,0.37,0.0,0.0,18.3,0,0,2023,0.0,0.3,0.3,0.07,-0.3,-0.3,
Ezequiel Bullaude,ARG,"FW,MF",22,4.3,0,4,0,0.0,0.93,0.0,0.0,,15.8,0,0,2023,0.0,0.2,0.2,0.06,-0.2,-0.2,
Aaron Anselmino,ARG,DF,17,3.3,0,0,0,,0.0,0.0,,,,0,0,2023,0.0,0.0,0.0,,0.0,0.0,
Vicente Taborda,ARG,MF,21,2.4,0,7,2,28.6,2.97,0.85,0.0,0.0,27.7,0,0,2023,3.0,0.3,0.3,0.05,-0.3,-0.3,
Jabes Saralegui,ARG,MF,20,2.3,0,4,2,50.0,1.74,0.87,0.0,0.0,19.6,0,0,2023,0.0,0.3,0.3,0.06,-0.3,-0.3,
Esteban Rolón,ARG,FW,27,2.3,0,2,1,50.0,0.87,0.43,0.0,0.0,20.7,0,0,2023,0.0,0.2,0.2,0.11,-0.2,-0.2,
Nicolás Orsini,ARG,FW,28,2.3,0,7,1,14.3,3.09,0.44,0.0,0.0,12.0,0,0,2023,0.0,0.7,0.7,0.1,-0.7,-0.7,
Diego González,ARG,MF,34,1.2,0,1,0,0.0,0.83,0.0,0.0,,31.4,0,0,2023,0.0,0.0,0.0,0.02,0.0,0.0,
Nahuel Génez,ARG,DF,19,1.0,0,0,0,,0.0,0.0,,,,0,0,2023,0.0,0.0,0.0,,0.0,0.0,
Brandon Cortés,CHI,MF,21,0.2,0,0,0,,0.0,0.0,,,,0,0,2023,0.0,0.0,0.0,,0.0,0.0,
Gonzalo Morales,ARG,FW,19,0.1,0,1,0,0.0,10.0,0.0,0.0,,24.8,0,0,2023,0.0,0.0,0.0,0.04,0.0,0.0,
Miguel Merentiel,URU,FW,27,38.3,12,86,29,33.7,2.25,0.76,0.13,0.38,15.9,1,1,2024,2.0,13.5,12.8,0.18,-2.5,-2.8,
Sergio Romero,ARG,GK,36,36.0,0,0,0,,0.0,0.0,,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Lautaro Blanco,ARG,DF,24,35.0,0,6,2,33.3,0.17,0.06,0.0,0.0,19.4,0,0,2024,0.0,0.1,0.1,0.02,-0.1,-0.1,
Kevin Zenon,ARG,"MF,FW",22,33.9,6,75,31,41.3,2.21,0.91,0.08,0.19,23.9,0,0,2024,9.0,4.8,4.8,0.08,-0.8,-0.8,
Luis Advíncula,PER,DF,33,33.7,0,32,6,18.8,0.95,0.18,0.0,0.0,23.3,0,0,2024,0.0,1.5,1.5,0.05,-1.5,-1.5,
Guillermo Matías Fernández,ARG,MF,32,32.0,0,5,0,0.0,0.16,0.0,0.0,,25.0,0,0,2024,0.0,0.1,0.1,0.03,-0.1,-0.1,
Cristian Lema,ARG,DF,33,29.2,1,28,7,25.0,0.96,0.24,0.04,0.14,16.9,0,0,2024,1.0,0.9,0.9,0.05,0.1,0.1,
Edinson Cavani,URU,FW,36,27.0,15,57,31,54.4,2.11,1.15,0.25,0.45,12.7,1,1,2024,1.0,10.5,9.7,0.23,-0.5,-0.7,
Jorge Figal,ARG,DF,29,25.3,1,13,3,23.1,0.51,0.12,0.08,0.33,17.1,0,0,2024,0.0,0.6,0.6,0.05,-0.6,-0.6,
Cristian Medina,ARG,MF,21,24.6,3,24,12,50.0,0.98,0.49,0.13,0.25,27.8,0,0,2024,0.0,2.3,2.3,0.14,0.7,0.7,
Marcos Rojo,ARG,DF,33,18.1,1,8,2,25.0,0.44,0.11,0.13,0.5,12.8,0,0,2024,0.0,1.0,1.0,0.16,-1.0,-1.0,
Marcelo Saracchi,URU,"DF,MF",25,15.3,2,12,3,25.0,0.79,0.2,0.17,0.67,23.9,0,0,2024,0.0,1.1,1.1,0.12,-0.1,-0.1,
Leandro Brey,ARG,GK,21,14.6,0,0,0,,0.0,0.0,,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Jabes Saralegui,ARG,"MF,DF",21,14.4,1,22,7,31.8,1.53,0.49,0.05,0.14,23.0,0,0,2024,0.0,1.3,1.3,0.09,-0.3,-0.3,
Tomás Belmonte,ARG,MF,25,14.1,0,9,2,22.2,0.64,0.14,0.0,0.0,11.4,0,0,2024,0.0,1.0,1.0,0.12,-1.0,-1.0,
Lautaro Di Lollo,ARG,DF,19,14.0,0,3,0,0.0,0.21,0.0,0.0,,30.0,0,0,2024,0.0,0.0,0.0,0.01,0.0,0.0,
Ezequiél Fernández,ARG,MF,21,13.9,2,16,5,31.3,1.15,0.36,0.13,0.4,21.9,0,0,2024,0.0,1.0,1.0,0.09,1.0,1.0,
Milton Giménez,ARG,FW,27,12.1,7,33,9,27.3,2.72,0.74,0.21,0.78,14.0,0,0,2024,0.0,4.1,4.1,0.14,1.9,1.9,
Aaron Anselmino,ARG,DF,18,12.0,1,2,1,50.0,0.17,0.08,0.5,1.0,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Exequiel Zeballos,ARG,"MF,FW",21,11.9,1,28,11,39.3,2.36,0.93,0.04,0.09,18.0,0,0,2024,3.0,3.3,3.3,0.12,-2.3,-2.3,
Brian Aguirre,ARG,"FW,MF",20,9.9,2,16,7,43.8,1.62,0.71,0.13,0.29,18.5,0,0,2024,1.0,1.7,1.7,0.11,0.3,0.3,
Luca Langoni,ARG,FW,21,9.6,1,12,7,58.3,1.25,0.73,0.08,0.14,15.4,0,0,2024,0.0,1.0,1.0,0.08,0.0,0.0,
Ignacio Miramon,ARG,MF,20,8.8,0,3,0,0.0,0.34,0.0,0.0,,25.0,0,0,2024,0.0,0.1,0.1,0.04,-0.1,-0.1,
Gary Medel,CHI,"DF,MF",36,7.8,0,1,0,0.0,0.13,0.0,0.0,,24.7,0,0,2024,0.0,0.0,0.0,0.02,0.0,0.0,
Lucas Janson,ARG,"FW,MF",29,7.7,0,23,12,52.2,2.99,1.56,0.0,0.0,13.8,0,0,2024,0.0,1.7,1.7,0.13,-1.7,-1.7,
Unknown,nan,Unknown,,,,,,,,,,,,,,2024,,0.0,0.0,,0.0,0.0,
Frank Fabra,COL,"DF,MF",32,6.2,0,1,0,0.0,0.16,0.0,0.0,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Milton Delgado,ARG,MF,18,6.0,0,2,0,0.0,0.34,0.0,0.0,,35.0,0,0,2024,0.0,0.0,0.0,0.02,0.0,0.0,
Mauricio Benítez,ARG,MF,19,5.9,0,6,0,0.0,1.02,0.0,0.0,,21.7,0,0,2024,0.0,0.1,0.1,0.1,-0.1,-0.1,
Nicolás Valentini,ARG,DF,22,5.8,1,6,2,33.3,1.03,0.34,0.17,0.5,7.9,0,0,2024,0.0,0.1,0.1,0.06,0.9,0.9,
Jorman Campuzano,COL,DF,27,5.8,0,0,0,,0.0,0.0,,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Juan Barinaga,ARG,DF,23,5.3,0,3,1,33.3,0.56,0.19,0.0,0.0,27.8,0,0,2024,0.0,0.1,0.1,0.02,-0.1,-0.1,
Lucas Blondel,SUI,"DF,MF",27,4.7,2,9,2,22.2,1.91,0.43,0.22,1.0,31.4,0,0,2024,0.0,1.1,1.1,0.12,0.9,0.9,
Agustín Martegani,ARG,MF,23,4.3,0,2,1,50.0,0.46,0.23,0.0,0.0,24.9,0,0,2024,0.0,0.0,0.0,0.02,0.0,0.0,
Darío Benedetto,ARG,FW,33,3.7,1,11,3,27.3,2.98,0.81,0.09,0.33,13.6,0,1,2024,0.0,1.0,1.0,0.15,0.0,0.0,
Ezequiel Bullaude,ARG,"FW,MF",23,2.7,0,2,2,100.0,0.73,0.73,0.0,0.0,8.9,0,0,2024,0.0,0.5,0.5,0.23,-0.5,-0.5,
Mateo Mendía,ARG,DF,19,2.3,0,1,1,100.0,0.43,0.43,0.0,0.0,15.0,0,0,2024,0.0,0.0,0.0,0.02,0.0,0.0,
Julián Ceballos,ARG,MF,19,2.0,0,3,2,66.7,1.5,1.0,0.0,0.0,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Norberto Briasco,ARM,"MF,FW",27,1.9,0,4,0,0.0,2.11,0.0,0.0,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Juan Ramírez,ARG,MF,30,1.7,0,2,0,0.0,1.19,0.0,0.0,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Vicente Taborda,ARG,MF,22,1.6,0,1,0,0.0,0.62,0.0,0.0,,32.2,0,0,2024,0.0,0.0,0.0,0.02,0.0,0.0,
Javier Hernán García,ARG,GK,37,0.8,0,0,0,,0.0,0.0,,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Iker Zufiaurre,ARG,MF,18,0.7,0,1,0,0.0,1.34,0.0,0.0,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Dylan Gorosito,ARG,DF,17,0.5,0,0,0,,0.0,0.0,,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Joaquín Ruíz,ARG,FW,17,0.2,0,0,0,,0.0,0.0,,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Walter Molas,ARG,DF,19,0.1,0,0,0,,0.0,0.0,,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Santiago Dalmasso,ARG,MF,19,0.1,0,0,0,,0.0,0.0,,,,0,0,2024,0.0,0.0,0.0,,0.0,0.0,
Agustín Marchesín,ARG,GK,,32.0,0,0,0,,0.0,0.0,,,,0,0,2025,0.0,0.0,0.0,,0.0,0.0,
Lautaro Blanco,ARG,DF,,29.8,1,7,3,42.9,0.24,0.1,0.14,0.33,17.7,0,0,2025,0.0,0.5,0.5,0.07,0.5,0.5,
Rodrigo Battaglia,ARG,"DF,MF",,24.9,5,27,9,33.3,1.09,0.36,0.19,0.56,11.8,0,0,2025,0.0,2.8,2.6,0.12,1.2,1.4,
Miguel Merentiel,URU,FW,,24.1,13,51,25,49.0,2.12,1.04,0.24,0.48,15.7,1,1,2025,0.0,9.4,8.6,0.2,1.6,1.4,
Carlos Palacios,CHI,MF,,23.1,3,28,7,25.0,1.21,0.3,0.11,0.43,20.5,0,0,2025,0.0,1.6,1.6,0.08,1.4,1.4,
Lautaro Di Lollo,ARG,DF,,22.2,3,15,4,26.7,0.68,0.18,0.2,0.75,12.7,0,0,2025,0.0,0.7,0.7,0.06,2.3,2.3,
Ayrton Costa,ARG,DF,,19.1,2,13,4,30.8,0.68,0.21,0.15,0.5,10.1,0,0,2025,0.0,1.7,1.7,0.14,0.3,0.3,
Milton Giménez,ARG,FW,,17.3,9,50,19,38.0,2.89,1.1,0.18,0.47,13.9,0,0,2025,0.0,7.8,7.8,0.17,1.2,1.2,
Edinson Cavani,URU,FW,,15.5,4,22,9,40.9,1.42,0.58,0.14,0.33,14.2,1,3,2025,1.0,6.1,3.7,0.21,-2.1,-0.7,
Juan Barinaga,ARG,DF,,14.8,0,6,2,33.3,0.41,0.14,0.0,0.0,18.7,0,0,2025,0.0,0.2,0.2,0.04,-0.2,-0.2,
Luis Advíncula,PER,DF,,14.7,1,13,4,30.8,0.88,0.27,0.08,0.25,20.9,0,0,2025,0.0,0.7,0.7,0.11,0.3,0.3,
Milton Delgado,ARG,MF,,14.6,0,1,0,0.0,0.07,0.0,0.0,,13.8,0,0,2025,0.0,0.1,0.1,0.15,-0.1,-0.1,
Alan Velasco,ARG,"MF,FW",,13.8,1,30,7,23.3,2.17,0.51,0.03,0.14,21.3,0,0,2025,2.0,1.6,1.6,0.06,-0.6,-0.6,
Tomás Belmonte,ARG,MF,,13.5,0,11,0,0.0,0.82,0.0,0.0,,20.2,0,0,2025,0.0,0.8,0.8,0.08,-0.8,-0.8,
Leandro Paredes,ARG,MF,,13.2,1,24,6,25.0,1.82,0.45,0.0,0.0,28.9,1,1,2025,7.0,1.6,0.8,0.03,-0.6,-0.8,
Kevin Zenon,ARG,"MF,FW",,12.7,2,26,16,61.5,2.05,1.26,0.08,0.13,19.8,0,0,2025,0.0,1.6,1.6,0.1,0.4,0.4,
Exequiel Zeballos,ARG,"MF,FW",,12.0,5,36,13,36.1,3.0,1.08,0.14,0.38,20.9,0,1,2025,4.0,4.7,3.9,0.11,0.3,1.1,
Marcos Rojo,ARG,DF,,9.5,1,7,1,14.3,0.73,0.1,0.14,1.0,13.3,0,0,2025,0.0,0.6,0.6,0.08,0.4,0.4,
William Alarcón,CHI,MF,,9.3,0,13,2,15.4,1.4,0.22,0.0,0.0,27.3,0,0,2025,3.0,0.5,0.5,0.04,-0.5,-0.5,
Brian Aguirre,ARG,"MF,FW",,8.1,1,13,5,38.5,1.6,0.61,0.08,0.2,19.6,0,0,2025,0.0,1.2,1.2,0.09,-0.2,-0.2,
Unknown,nan,Unknown,,,,,,,,,,,,,,2025,,0.0,0.0,,0.0,0.0,
Marco Pellegrino,ARG,DF,,7.0,0,4,1,25.0,0.57,0.14,0.0,0.0,10.4,0,0,2025,0.0,0.3,0.3,0.09,-0.3,-0.3,
Lucas Blondel,SUI,"DF,MF",,6.1,0,9,0,0.0,1.49,0.0,0.0,,20.8,0,0,2025,0.0,0.5,0.5,0.06,-0.5,-0.5,
Ander Herrera,ESP,MF,,5.1,0,7,1,14.3,1.37,0.2,0.0,0.0,22.8,0,0,2025,0.0,0.3,0.3,0.04,-0.3,-0.3,
Marcelo Saracchi,URU,"DF,MF",,4.1,1,2,1,50.0,0.49,0.24,0.5,1.0,21.4,0,0,2025,0.0,0.1,0.1,0.03,0.9,0.9,
Malcom Braida,ARG,"FW,MF",,3.6,0,1,1,100.0,0.28,0.28,0.0,0.0,,0,0,2025,0.0,0.0,0.0,,0.0,0.0,
Camilo Rey,ARG,MF,,3.4,0,0,0,,0.0,0.0,,,,0,0,2025,0.0,0.0,0.0,,0.0,0.0,
Leandro Brey,ARG,GK,,3.0,0,0,0,,0.0,0.0,,,,0,0,2025,0.0,0.0,0.0,,0.0,0.0,
Jorge Figal,ARG,DF,,2.8,0,0,0,,0.0,0.0,,,,0,0,2025,0.0,0.0,0.0,,0.0,0.0,
Lucas Janson,ARG,"FW,MF",,1.3,0,2,0,0.0,1.53,0.0,0.0,,16.0,0,0,2025,0.0,0.1,0.1,0.07,-0.1,-0.1,
Frank Fabra,COL,DF,,1.2,0,2,1,50.0,1.62,0.81,0.0,0.0,10.7,0,0,2025,0.0,0.3,0.3,0.16,-0.3,-0.3,
Ignacio Miramon,ARG,"MF,FW",,1.1,0,3,0,0.0,2.65,0.0,0.0,,22.2,0,0,2025,0.0,0.2,0.2,0.06,-0.2,-0.2,
Mateo Mendía,ARG,DF,,1.0,0,0,0,,0.0,0.0,,,,0,0,2025,0.0,0.0,0.0,,0.0,0.0,
Agustín Martegani,ARG,MF,,0.6,0,1,1,100.0,1.58,1.58,0.0,0.0,22.2,0,0,2025,0.0,0.1,0.1,0.07,-0.1,-0.1,
Joaquín Ruíz,ARG,"MF,FW",,0.3,0,1,1,100.0,3.46,3.46,0.0,0.0,15.6,0,0,2025,0.0,0.1,0.1,0.13,-0.1,-0.1,
Santiago Dalmasso,ARG,MF,,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,26.0,0,0,2025,0.0,0.0,0.0,0.02,0.0,0.0,
